ID,Perioden,OutputBasisprijzen_1,IntermediairVerbruik_2,Totaal_3,ALandbouwBosbouwEnVisserij_4,BENijverheidGeenBouwEnEnergie_5,BDelfstoffenwinning_6,CIndustrie_7,DEnergievoorziening_8,EWaterbedrijvenEnAfvalbeheer_9,FBouwnijverheid_10,GIHandelVervoerEnHoreca_11,JInformatieEnCommunicatie_12,KFinancieleDienstverlening_13,LVerhuurEnHandelVanOnroerendGoed_14,MNZakelijkeDienstverlening_15,OQOverheidEnZorg_16,RUCultuurRecreatieOverigeDiensten_17,Saldo_18,ProductgebondenBelastingen_19,ProductgebondenSubsidies_20,BrutoBinnenlandsProduct_21,OutputBasisprijzen_22,IntermediairVerbruik_23,Totaal_24,ALandbouwBosbouwEnVisserij_25,BENijverheidGeenBouwEnEnergie_26,BDelfstoffenwinning_27,CIndustrie_28,DEnergievoorziening_29,EWaterbedrijvenEnAfvalbeheer_30,FBouwnijverheid_31,GIHandelVervoerEnHoreca_32,JInformatieEnCommunicatie_33,KFinancieleDienstverlening_34,LVerhuurEnHandelVanOnroerendGoed_35,MNZakelijkeDienstverlening_36,OQOverheidEnZorg_37,RUCultuurRecreatieOverigeDiensten_38,Saldo_39,ProductgebondenBelastingen_40,ProductgebondenSubsidies_41,BrutoBinnenlandsProduct_42,OutputBasisprijzen_43,IntermediairVerbruik_44,Totaal_45,ALandbouwBosbouwEnVisserij_46,BENijverheidGeenBouwEnEnergie_47,BDelfstoffenwinning_48,CIndustrie_49,DEnergievoorziening_50,EWaterbedrijvenEnAfvalbeheer_51,FBouwnijverheid_52,GIHandelVervoerEnHoreca_53,JInformatieEnCommunicatie_54,KFinancieleDienstverlening_55,LVerhuurEnHandelVanOnroerendGoed_56,MNZakelijkeDienstverlening_57,OQOverheidEnZorg_58,RUCultuurRecreatieOverigeDiensten_59,Saldo_60,ProductgebondenBelastingen_61,ProductgebondenSubsidies_62,BrutoBinnenlandsProduct_63,OutputBasisprijzen_64,IntermediairVerbruik_65,Totaal_66,ALandbouwBosbouwEnVisserij_67,BENijverheidGeenBouwEnEnergie_68,BDelfstoffenwinning_69,CIndustrie_70,DEnergievoorziening_71,EWaterbedrijvenEnAfvalbeheer_72,FBouwnijverheid_73,GIHandelVervoerEnHoreca_74,JInformatieEnCommunicatie_75,KFinancieleDienstverlening_76,LVerhuurEnHandelVanOnroerendGoed_77,MNZakelijkeDienstverlening_78,OQOverheidEnZorg_79,RUCultuurRecreatieOverigeDiensten_80,Saldo_81,ProductgebondenBelastingen_82,ProductgebondenSubsidies_83,BrutoBinnenlandsProduct_84,Totaal_85,Lonen_86,SocialePremiesTLVWerkgevers_87,Saldo_88,BelastingenOpProductieEnInvoer_89,Subsidies_90,Bruto_91,VerbruikVanVasteActiva_92,Netto_93,BrutoBinnenlandsProduct_94,Totaal_95,Lonen_96,SocialePremiesTLVWerkgevers_97,Saldo_98,BelastingenOpProductieEnInvoer_99,Subsidies_100,Bruto_101,VerbruikVanVasteActiva_102,Netto_103,BrutoBinnenlandsProduct_104,Totaal_105,Lonen_106,SocialePremiesTLVWerkgevers_107,Saldo_108,BelastingenOpProductieEnInvoer_109,Subsidies_110,Bruto_111,VerbruikVanVasteActiva_112,Netto_113,BrutoBinnenlandsProduct_114,Totaal_115,Lonen_116,SocialePremiesTLVWerkgevers_117,Saldo_118,BelastingenOpProductieEnInvoer_119,Subsidies_120,Bruto_121,VerbruikVanVasteActiva_122,Netto_123,BrutoBinnenlandsProduct_124,Totaal_125,Totaal_126,Huishoudens_127,Overheid_128,Totaal_129,BedrijvenEnHuishoudens_130,Overheid_131,VeranderingInVoorraden_132,Totaal_133,Goederen_134,Diensten_135,Totaal_136,Goederen_137,Diensten_138,BrutoBinnenlandsProduct_139,Totaal_140,Totaal_141,Huishoudens_142,Overheid_143,Totaal_144,BedrijvenEnHuishoudens_145,Overheid_146,VeranderingInVoorraden_147,Totaal_148,Goederen_149,Diensten_150,Totaal_151,Goederen_152,Diensten_153,BrutoBinnenlandsProduct_154,Totaal_155,Totaal_156,Huishoudens_157,Overheid_158,Totaal_159,BedrijvenEnHuishoudens_160,Overheid_161,VeranderingInVoorraden_162,Totaal_163,Goederen_164,Diensten_165,Totaal_166,Goederen_167,Diensten_168,BrutoBinnenlandsProduct_169,Totaal_170,Totaal_171,Huishoudens_172,Overheid_173,Totaal_174,BedrijvenEnHuishoudens_175,Overheid_176,VeranderingInVoorraden_177,Totaal_178,Goederen_179,Diensten_180,Totaal_181,Goederen_182,Diensten_183,BrutoBinnenlandsProduct_184
0,1995JJ00,594268.0,294994.0,299274.0,10230.0,63778.0,7145.0,50578.0,4349.0,1706.0,15539.0,58441.0,9470.0,22054.0,22509.0,32988.0,57484.0,6781.0,30273.0,32739.0,2466.0,329547.0,846761.0,429648.0,416848.0,9358.0,77645.0,19758.0,53795.0,4763.0,2266.0,25846.0,75976.0,8645.0,32092.0,27419.0,53725.0,94558.0,12439.0,52890.0,55043.0,1061.0,469502.0,,,,,,,,,,,,,,,,,,,,,,70.2,68.7,71.8,109.3,82.1,36.2,94.0,91.3,75.3,60.1,76.9,109.5,68.7,82.1,61.4,60.8,54.5,57.2,59.5,232.4,70.2,165485.0,139141.0,26344.0,31178.0,35959.0,4781.0,132884.0,52442.0,80442.0,329547.0,,,,56726.0,61127.0,5271.0,,68591.0,,469502.0,,,,,,,,,,,,,,55.0,58.8,90.7,,76.5,,70.2,307720.0,236115.0,162211.0,73904.0,68972.0,56863.0,12109.0,2633.0,188570.0,148867.0,39703.0,166743.0,129241.0,37502.0,329547.0,437744.0,344372.0,231328.0,113245.0,91511.0,74543.0,16828.0,1936.0,223221.0,169054.0,53175.0,192815.0,139776.0,51285.0,469502.0,,,,,,,,,,,,,,,,70.3,68.6,70.1,65.3,75.4,76.3,72.0,,84.5,88.1,74.7,86.5,92.5,73.1,70.2
1,1996JJ00,629836.0,318500.0,311336.0,9916.0,65686.0,8509.0,50611.0,4682.0,1884.0,15910.0,60131.0,10452.0,22783.0,24047.0,37010.0,58401.0,7000.0,33289.0,35075.0,1786.0,344625.0,885890.0,455764.0,430122.0,8923.0,80342.0,22468.0,54710.0,5040.0,2428.0,25342.0,78847.0,9198.0,34391.0,27866.0,58735.0,95007.0,12406.0,56384.0,57636.0,864.0,485928.0,4.6,6.1,3.2,-4.6,3.5,13.7,1.7,5.8,7.2,-1.9,3.8,6.4,7.2,1.6,9.3,0.5,-0.3,6.6,4.7,-18.6,3.5,71.1,69.9,72.4,111.1,81.8,37.9,92.5,92.9,77.6,62.8,76.3,113.6,66.2,86.3,63.0,61.5,56.4,59.0,60.9,206.7,70.9,171905.0,144457.0,27448.0,33373.0,38372.0,4999.0,139347.0,54428.0,84919.0,344625.0,,,,59230.0,63998.0,5616.0,,70372.0,,485928.0,,,,4.4,4.7,6.5,,2.6,,3.5,,,,56.3,60.0,89.0,,77.3,,70.9,323796.0,246044.0,172382.0,73662.0,74340.0,61166.0,13174.0,3412.0,197775.0,154854.0,42921.0,176946.0,136621.0,40325.0,344625.0,455608.0,354685.0,242724.0,111836.0,97679.0,79384.0,18156.0,2982.0,232474.0,174636.0,57060.0,203043.0,146963.0,54294.0,485928.0,4.1,3.0,4.9,-1.2,6.7,6.5,7.9,,4.1,3.3,7.3,5.3,5.1,5.9,3.5,71.1,69.4,71.0,65.9,76.1,77.1,72.6,,85.1,88.7,75.2,87.1,93.0,74.3,70.9
2,1997JJ00,678780.0,345849.0,332931.0,10953.0,67364.0,8228.0,52516.0,4523.0,2097.0,16524.0,66269.0,12351.0,24035.0,26199.0,40580.0,60958.0,7698.0,36115.0,37854.0,1739.0,369046.0,935290.0,486181.0,449279.0,9566.0,80696.0,20089.0,56091.0,4828.0,2570.0,25509.0,84320.0,10841.0,37128.0,28777.0,62650.0,97092.0,13062.0,58167.0,59404.0,875.0,506964.0,5.6,6.7,4.5,7.2,0.4,-10.6,2.5,-4.2,5.8,0.7,6.9,17.9,8.0,3.3,6.7,2.2,5.3,3.2,3.1,1.3,4.3,72.6,71.1,74.1,114.5,83.5,41.0,93.6,93.7,81.6,64.8,78.6,113.9,64.7,91.0,64.8,62.8,58.9,62.1,63.7,198.7,72.8,181552.0,153756.0,27796.0,35558.0,41149.0,5591.0,151936.0,56672.0,95264.0,369046.0,,,,59945.0,65774.0,6360.0,,72494.0,,506964.0,,,,1.2,2.8,13.2,,3.0,,4.3,,,,59.3,62.6,87.9,,78.2,,72.8,345504.0,261203.0,183736.0,77467.0,80015.0,66727.0,13288.0,4286.0,222756.0,173169.0,49587.0,199214.0,152448.0,46766.0,369046.0,476873.0,368446.0,252860.0,115399.0,103906.0,85426.0,18272.0,3970.0,254970.0,190153.0,64211.0,225226.0,161495.0,62132.0,506964.0,4.7,3.9,4.2,3.2,6.4,7.6,0.6,,9.7,8.9,12.5,10.9,9.9,14.4,4.3,72.5,70.9,72.7,67.1,77.0,78.1,72.7,,87.4,91.1,77.2,88.5,94.4,75.3,72.8
3,1998JJ00,722710.0,367345.0,355365.0,10082.0,70459.0,7481.0,55859.0,4962.0,2157.0,17694.0,72814.0,14418.0,25035.0,28395.0,44330.0,63902.0,8236.0,38930.0,40602.0,1672.0,394295.0,988210.0,518538.0,470044.0,9120.0,83542.0,19339.0,58729.0,5086.0,2535.0,26433.0,90073.0,12906.0,40153.0,29313.0,66085.0,98895.0,13481.0,61105.0,62222.0,861.0,530609.0,5.7,6.7,4.6,-4.7,3.5,-3.7,4.7,5.4,-1.4,3.6,6.8,19.1,8.1,1.9,5.5,1.9,3.2,5.1,4.7,-1.6,4.7,73.1,70.8,75.6,110.5,84.3,38.7,95.1,97.6,85.1,66.9,80.8,111.7,62.3,96.9,67.1,64.6,61.1,63.7,65.3,194.2,74.3,194591.0,155329.0,39262.0,37731.0,44045.0,6314.0,161973.0,59572.0,102401.0,394295.0,,,,61961.0,68901.0,7224.0,,75419.0,,530609.0,,,,3.4,4.8,13.6,,4.0,,4.7,,,,60.9,63.9,87.4,,79.0,,74.3,370130.0,279664.0,197542.0,82122.0,86138.0,72297.0,13841.0,4328.0,233976.0,180848.0,53128.0,209811.0,158262.0,51549.0,394295.0,502965.0,387375.0,267063.0,120015.0,110935.0,91755.0,18917.0,3971.0,272050.0,203584.0,67696.0,244009.0,174438.0,67973.0,530609.0,5.5,5.1,5.6,4.0,6.8,7.4,3.5,,6.7,7.1,5.4,8.3,8.0,9.4,4.7,73.6,72.2,74.0,68.4,77.6,78.8,73.2,,86.0,88.8,78.5,86.0,90.7,75.8,74.3
4,1999JJ00,770165.0,394276.0,375889.0,9772.0,70910.0,6460.0,57187.0,4840.0,2423.0,19935.0,76726.0,16328.0,27084.0,30083.0,48905.0,67313.0,8833.0,43570.0,45163.0,1593.0,419459.0,1040720.0,548894.0,492394.0,9736.0,85832.0,18328.0,61214.0,4800.0,2813.0,28430.0,94392.0,15200.0,42971.0,29743.0,71040.0,100474.0,14095.0,65739.0,67088.0,976.0,557320.0,5.3,5.9,4.8,6.8,2.7,-5.2,4.2,-5.6,11.0,7.6,4.8,17.8,7.0,1.5,7.5,1.6,4.6,7.6,7.8,13.3,5.0,74.0,71.8,76.3,100.4,82.6,35.2,93.4,100.8,86.1,70.1,81.3,107.4,63.0,101.1,68.8,67.0,62.7,66.3,67.3,163.3,75.3,209544.0,167029.0,42515.0,41914.0,49028.0,7114.0,168001.0,63554.0,104447.0,419459.0,,,,66934.0,74366.0,7757.0,,79181.0,,557320.0,,,,8.0,7.9,7.4,,5.0,,5.0,,,,62.6,65.9,91.7,,80.3,,75.3,396774.0,299389.0,213006.0,86383.0,96130.0,80347.0,15783.0,1255.0,251277.0,192177.0,59100.0,228592.0,169612.0,58980.0,419459.0,529173.0,406152.0,282971.0,122630.0,122013.0,100479.0,21279.0,197.0,296569.0,221210.0,74615.0,267880.0,190126.0,76269.0,557320.0,5.2,4.8,6.0,2.2,10.0,9.5,12.5,,9.0,8.7,10.2,9.8,9.0,12.2,5.0,75.0,73.7,75.3,70.4,78.8,80.0,74.2,,84.7,86.9,79.2,85.3,89.2,77.3,75.3
5,2000JJ00,845591.0,439759.0,405832.0,10390.0,76617.0,9174.0,60357.0,4451.0,2635.0,21651.0,83322.0,18248.0,28749.0,32526.0,53360.0,71488.0,9481.0,46175.0,47675.0,1500.0,452007.0,1090567.0,577164.0,514117.0,9841.0,89413.0,17114.0,64598.0,4857.0,3009.0,29084.0,101184.0,17710.0,44371.0,30140.0,74326.0,101959.0,14575.0,67272.0,68554.0,958.0,580703.0,4.8,5.2,4.4,1.1,4.2,-6.6,5.5,1.2,7.0,2.3,7.2,16.5,3.3,1.3,4.6,1.5,3.4,2.3,2.2,-1.8,4.2,77.5,76.2,78.9,105.6,85.7,53.6,93.4,91.6,87.6,74.4,82.3,103.0,64.8,107.9,71.8,70.1,65.0,68.6,69.5,156.6,77.8,226691.0,179031.0,47660.0,44720.0,51827.0,7107.0,180596.0,69130.0,111466.0,452007.0,,,,68318.0,76086.0,8048.0,,83274.0,,580703.0,,,,2.1,2.3,3.8,,5.2,,4.2,,,,65.5,68.1,88.3,,83.0,,77.8,422425.0,320406.0,227496.0,92910.0,101856.0,84920.0,16936.0,163.0,298475.0,233076.0,65399.0,268893.0,203973.0,64920.0,452007.0,545313.0,420607.0,293337.0,126680.0,124865.0,102532.0,22096.0,-915.0,333430.0,252613.0,79602.0,298036.0,214187.0,81790.0,580703.0,3.1,3.6,3.7,3.3,2.3,2.0,3.8,,12.4,14.2,6.7,11.3,12.7,7.2,4.2,77.5,76.2,77.6,73.3,81.6,82.8,76.6,,89.5,92.3,82.2,90.2,95.2,79.4,77.8
6,2001JJ00,896568.0,466160.0,430408.0,10720.0,81876.0,11538.0,63238.0,4262.0,2838.0,23624.0,88501.0,20376.0,31244.0,27144.0,58852.0,77911.0,10160.0,51473.0,52627.0,1154.0,481881.0,1115174.0,589663.0,526221.0,9346.0,91746.0,17636.0,66240.0,5024.0,3046.0,29508.0,102070.0,19624.0,44140.0,30419.0,77676.0,105293.0,14835.0,68675.0,69818.0,904.0,594216.0,2.3,2.2,2.4,-5.0,2.6,3.1,2.5,3.4,1.2,1.5,0.9,10.8,-0.5,0.9,4.5,3.3,1.8,2.1,1.8,-5.6,2.3,80.4,79.1,81.8,114.7,89.2,65.4,95.5,84.8,93.2,80.1,86.7,103.8,70.8,89.2,75.8,74.0,68.5,75.0,75.4,127.6,81.1,239070.0,191740.0,47330.0,49973.0,57213.0,7240.0,192838.0,74670.0,118168.0,481881.0,,,,69609.0,77864.0,8463.0,,87102.0,,594216.0,,,,1.9,2.3,5.1,,4.6,,2.3,,,,71.8,73.5,85.6,,85.7,,81.1,450279.0,340804.0,239644.0,101160.0,106706.0,87945.0,18761.0,2769.0,305023.0,235447.0,69576.0,273421.0,203301.0,70120.0,481881.0,561802.0,432203.0,299335.0,132381.0,126475.0,102768.0,23553.0,2259.0,338341.0,254554.0,82773.0,305408.0,217386.0,86332.0,594216.0,3.0,2.8,2.0,4.5,1.3,0.2,6.6,,1.5,0.8,4.0,2.5,1.5,5.6,2.3,80.1,78.9,80.1,76.4,84.4,85.6,79.7,,90.2,92.5,84.1,89.5,93.5,81.2,81.1
7,2002JJ00,918460.0,470066.0,448394.0,10412.0,81091.0,10576.0,62854.0,4689.0,2972.0,24887.0,92494.0,21931.0,32766.0,29064.0,59107.0,85839.0,10803.0,52743.0,54062.0,1319.0,501137.0,1112870.0,586216.0,527289.0,9427.0,91797.0,17817.0,65871.0,5182.0,3201.0,28938.0,100209.0,20498.0,45089.0,30674.0,74936.0,109340.0,14951.0,68907.0,69837.0,779.0,595507.0,-0.2,-0.6,0.2,0.9,0.1,1.0,-0.6,3.1,5.1,-1.9,-1.8,4.5,2.2,0.8,-3.5,3.8,0.8,0.3,0.0,-13.9,0.2,82.5,80.2,85.0,110.5,88.3,59.4,95.4,90.5,92.8,86.0,92.3,107.0,72.7,94.8,78.9,78.5,72.3,76.5,77.4,169.3,84.2,251061.0,199254.0,51807.0,51413.0,58851.0,7438.0,198663.0,79534.0,119129.0,501137.0,,,,70106.0,78019.0,8179.0,,90083.0,,595507.0,,,,0.7,0.2,-3.4,,3.4,,0.2,,,,73.3,75.4,90.9,,88.3,,84.2,466862.0,361580.0,250713.0,110867.0,105657.0,84711.0,20946.0,-375.0,301426.0,229437.0,71989.0,267151.0,193376.0,73775.0,501137.0,561605.0,441338.0,302819.0,138157.0,121321.0,95791.0,25591.0,-1330.0,340530.0,256056.0,83469.0,306267.0,216413.0,88399.0,595507.0,0.0,2.1,1.2,4.4,-4.1,-6.8,8.7,,0.6,0.6,0.8,0.3,-0.4,2.4,0.2,83.1,81.9,82.8,80.2,87.1,88.4,81.9,,88.5,89.6,86.2,87.2,89.4,83.5,84.2
8,2003JJ00,931903.0,473287.0,458616.0,10563.0,81508.0,11057.0,62445.0,4862.0,3144.0,25047.0,91330.0,23264.0,34006.0,31669.0,59082.0,91055.0,11092.0,54194.0,55518.0,1324.0,512810.0,1109806.0,582374.0,527938.0,9686.0,91069.0,17628.0,65226.0,5214.0,3262.0,27711.0,101227.0,21334.0,45117.0,30558.0,72803.0,112021.0,14671.0,69205.0,70109.0,769.0,596434.0,-0.3,-0.7,0.1,2.7,-0.8,-1.1,-1.0,0.6,1.9,-4.2,1.0,4.1,0.1,-0.4,-2.8,2.5,-1.9,0.4,0.4,-1.3,0.2,84.0,81.3,86.9,109.1,89.5,62.7,95.7,93.3,96.4,90.4,90.2,109.0,75.4,103.6,81.2,81.3,75.6,78.3,79.2,172.2,86.0,257855.0,203442.0,54413.0,52894.0,60341.0,7447.0,202061.0,82760.0,119301.0,512810.0,,,,70414.0,78161.0,8048.0,,92320.0,,596434.0,,,,0.4,0.2,-1.6,,2.5,,0.2,,,,75.1,77.2,92.5,,89.6,,86.0,478717.0,373652.0,256214.0,117438.0,105636.0,83869.0,21767.0,-571.0,304015.0,231428.0,72587.0,269922.0,194628.0,75294.0,512810.0,562418.0,444698.0,302424.0,141995.0,119223.0,93315.0,26033.0,-1630.0,346800.0,262553.0,83153.0,312511.0,223018.0,87852.0,596434.0,0.1,0.8,-0.1,2.8,-1.7,-2.6,1.7,,1.8,2.5,-0.4,2.0,3.1,-0.6,0.2,85.1,84.0,84.7,82.7,88.6,89.9,83.6,,87.7,88.1,87.3,86.4,87.3,85.7,86.0
9,2004JJ00,965400.0,492822.0,472578.0,9878.0,84289.0,11721.0,64925.0,4516.0,3127.0,25327.0,94388.0,23642.0,34587.0,34264.0,60758.0,94039.0,11406.0,56708.0,57894.0,1186.0,529286.0,1132087.0,593741.0,538840.0,10224.0,94776.0,19186.0,67730.0,5268.0,3150.0,27302.0,104959.0,21561.0,46599.0,31018.0,72530.0,113191.0,14668.0,70109.0,70978.0,757.0,608273.0,2.0,2.0,2.1,5.6,4.1,8.8,3.8,1.0,-3.4,-1.5,3.7,1.1,3.3,1.5,-0.4,1.0,0.0,1.3,1.2,-1.5,2.0,85.3,83.0,87.7,96.6,88.9,61.1,95.9,85.7,99.3,92.8,89.9,109.7,74.2,110.5,83.8,83.1,77.8,80.9,81.6,156.6,87.0,261594.0,205504.0,56090.0,55001.0,62919.0,7918.0,212691.0,85625.0,127066.0,529286.0,,,,70812.0,79164.0,8561.0,,94268.0,,608273.0,,,,0.6,1.3,6.4,,2.1,,2.0,,,,77.7,79.5,92.5,,90.8,,87.0,488320.0,380762.0,261633.0,119129.0,107404.0,86624.0,20780.0,154.0,331726.0,256337.0,75389.0,290760.0,214020.0,76740.0,529286.0,565232.0,446353.0,304722.0,141323.0,119466.0,94846.0,24644.0,-748.0,375282.0,289126.0,84923.0,332406.0,242225.0,88345.0,608273.0,0.5,0.4,0.8,-0.5,0.2,1.6,-5.3,,8.2,10.1,2.1,6.4,8.6,0.6,2.0,86.4,85.3,85.9,84.3,89.9,91.3,84.3,,88.4,88.7,88.8,87.5,88.4,86.9,87.0
10,2005JJ00,1014965.0,523571.0,491394.0,10235.0,89111.0,12883.0,67769.0,5328.0,3131.0,26702.0,97158.0,24543.0,35474.0,35520.0,64142.0,96789.0,11720.0,59489.0,60762.0,1273.0,550883.0,1159922.0,610532.0,550014.0,10254.0,96128.0,15945.0,69911.0,6553.0,3141.0,28407.0,107748.0,22505.0,46972.0,31497.0,74928.0,114373.0,14931.0,71413.0,72229.0,735.0,620748.0,2.5,2.8,2.1,0.3,1.4,-16.9,3.2,24.4,-0.3,4.0,2.7,4.4,0.8,1.5,3.3,1.0,1.8,1.9,1.8,-3.0,2.1,87.5,85.8,89.3,99.8,92.7,80.8,96.9,81.3,99.7,94.0,90.2,109.1,75.5,112.8,85.6,84.6,78.5,83.3,84.1,173.2,88.7,265786.0,209475.0,56311.0,58575.0,66167.0,7592.0,226522.0,88591.0,137931.0,550883.0,,,,73104.0,80776.0,8022.0,,96177.0,,620748.0,,,,3.2,2.0,-6.3,,2.0,,2.1,,,,80.1,81.9,94.6,,92.1,,88.7,504292.0,391614.0,268879.0,122735.0,112454.0,91840.0,20614.0,224.0,361556.0,281680.0,79876.0,314965.0,233889.0,81076.0,550883.0,573945.0,450841.0,307495.0,143039.0,123361.0,99134.0,24153.0,-551.0,396899.0,306568.0,89028.0,350447.0,256340.0,92155.0,620748.0,1.5,1.0,0.9,1.2,3.3,4.5,-2.0,,5.8,6.0,4.8,5.4,5.8,4.3,2.1,87.9,86.9,87.4,85.8,91.2,92.6,85.3,,91.1,91.9,89.7,89.9,91.2,88.0,88.7
11,2006JJ00,1075215.0,554629.0,520586.0,11375.0,95432.0,16351.0,69730.0,6052.0,3299.0,28529.0,101372.0,25961.0,34610.0,40916.0,69803.0,100419.0,12169.0,63960.0,65313.0,1353.0,584546.0,1201074.0,633330.0,568437.0,10290.0,97821.0,15598.0,71593.0,6695.0,3244.0,29211.0,112582.0,23947.0,49865.0,31930.0,79330.0,115923.0,15457.0,74543.0,75340.0,741.0,642232.0,3.5,3.7,3.3,0.4,1.8,-2.2,2.4,2.2,3.3,2.8,4.5,6.4,6.2,1.4,5.9,1.4,3.5,4.4,4.3,0.8,3.5,89.5,87.6,91.6,110.5,97.6,104.8,97.4,90.4,101.7,97.7,90.0,108.4,69.4,128.1,88.0,86.6,78.7,85.8,86.7,182.7,91.0,274630.0,219149.0,55481.0,62783.0,70788.0,8005.0,247133.0,92481.0,154652.0,584546.0,,,,76061.0,84048.0,8351.0,,98303.0,,642232.0,,,,4.0,4.1,4.1,,2.2,,3.5,,,,82.5,84.2,95.9,,94.1,,91.0,534333.0,411440.0,275889.0,135551.0,122994.0,100104.0,22890.0,-101.0,398550.0,314930.0,83620.0,348337.0,264231.0,84106.0,584546.0,593552.0,462123.0,307016.0,154949.0,131959.0,105714.0,26193.0,-1051.0,425368.0,331601.0,92298.0,377257.0,280433.0,94556.0,642232.0,3.4,2.5,-0.2,8.3,7.0,6.6,8.4,,7.2,8.2,3.7,7.7,9.4,2.6,3.5,90.0,89.0,89.9,87.5,93.2,94.7,87.4,,93.7,95.0,90.6,92.3,94.2,88.9,91.0
12,2007JJ00,1143316.0,590811.0,552505.0,11251.0,99956.0,15783.0,74330.0,6400.0,3443.0,31030.0,107782.0,28443.0,34002.0,46262.0,76496.0,104438.0,12845.0,66665.0,67561.0,896.0,619170.0,1248795.0,659210.0,590337.0,10551.0,101315.0,15095.0,75581.0,6728.0,3266.0,31203.0,117359.0,25969.0,53055.0,32214.0,83544.0,117257.0,16068.0,76870.0,77588.0,714.0,666462.0,4.0,4.1,3.9,2.5,3.6,-3.2,5.6,0.5,0.7,6.8,4.2,8.4,6.4,0.9,5.3,1.2,4.0,3.1,3.0,-3.5,3.8,91.6,89.6,93.6,106.6,98.7,104.6,98.3,95.1,105.4,99.4,91.8,109.5,64.1,143.6,91.6,89.1,79.9,86.7,87.1,125.4,92.9,290422.0,232353.0,58069.0,64571.0,73184.0,8613.0,264177.0,97227.0,166950.0,619170.0,,,,78825.0,86498.0,8123.0,,101291.0,,666462.0,,,,3.6,2.9,-2.7,,3.0,,3.8,,,,81.9,84.6,106.0,,96.0,,92.9,575252.0,430679.0,286818.0,143861.0,144226.0,120495.0,23731.0,347.0,425837.0,336377.0,89460.0,381919.0,283423.0,98496.0,619170.0,624575.0,472690.0,312772.0,159791.0,151468.0,124716.0,26412.0,-734.0,448146.0,348582.0,98053.0,406732.0,295467.0,109227.0,666462.0,5.2,2.3,1.9,3.1,14.8,18.0,0.8,,5.4,5.1,6.2,7.8,5.4,15.5,3.8,92.1,91.1,91.7,90.0,95.2,96.6,89.9,,95.0,96.5,91.2,93.9,95.9,90.2,92.9
13,2008JJ00,1203927.0,625540.0,578387.0,10582.0,105876.0,22064.0,74158.0,5951.0,3703.0,33336.0,110575.0,29087.0,33834.0,47868.0,82629.0,111227.0,13373.0,68811.0,69513.0,702.0,647198.0,1274557.0,670179.0,605034.0,10820.0,102756.0,16644.0,75121.0,6899.0,3353.0,32455.0,117543.0,26789.0,55912.0,32658.0,88114.0,120615.0,16178.0,76504.0,77228.0,718.0,680926.0,2.1,1.7,2.5,2.6,1.4,10.3,-0.6,2.5,2.7,4.0,0.2,3.2,5.4,1.4,5.5,2.9,0.7,-0.5,-0.5,0.4,2.2,94.5,93.3,95.6,97.8,103.0,132.6,98.7,86.3,110.4,102.7,94.1,108.6,60.5,146.6,93.8,92.2,82.7,89.9,90.0,97.8,95.0,307606.0,243231.0,64375.0,66532.0,75614.0,9082.0,273060.0,102612.0,170448.0,647198.0,,,,77868.0,86202.0,8627.0,,104632.0,,680926.0,,,,-1.2,-0.3,6.2,,3.3,,2.2,,,,85.4,87.7,105.3,,98.1,,95.0,592009.0,447484.0,295433.0,152051.0,143141.0,117555.0,25586.0,1384.0,451703.0,354202.0,97501.0,396514.0,302001.0,94513.0,647198.0,628784.0,480563.0,315556.0,164923.0,146982.0,119280.0,27504.0,299.0,455392.0,350698.0,103361.0,403882.0,299641.0,101819.0,680926.0,0.7,1.7,0.9,3.2,-3.0,-4.4,4.1,,1.6,0.6,5.4,-0.7,1.4,-6.8,2.2,94.2,93.1,93.6,92.2,97.4,98.6,93.0,,99.2,101.0,94.3,98.2,100.8,92.8,95.0
14,2009JJ00,1156238.0,595053.0,561185.0,9705.0,93380.0,16023.0,65630.0,8182.0,3545.0,33516.0,104730.0,27754.0,43029.0,36499.0,80489.0,118356.0,13727.0,63657.0,64714.0,1057.0,624842.0,1229362.0,644910.0,585049.0,11200.0,93555.0,15225.0,67550.0,6848.0,3280.0,30975.0,109722.0,25961.0,55991.0,32672.0,84182.0,124683.0,15751.0,71360.0,72232.0,851.0,655958.0,-3.5,-3.8,-3.3,3.5,-9.0,-8.5,-10.1,-0.7,-2.2,-4.6,-6.7,-3.1,0.1,0.0,-4.5,3.4,-2.6,-6.7,-6.5,18.5,-3.7,94.1,92.3,95.9,86.7,99.8,105.2,97.2,119.5,108.1,108.2,95.5,106.9,76.8,111.7,95.6,94.9,87.2,89.2,89.6,124.3,95.3,312196.0,246623.0,65573.0,60399.0,71193.0,10794.0,252247.0,106530.0,145717.0,624842.0,,,,72363.0,81254.0,8971.0,,107026.0,,655958.0,,,,-7.1,-5.7,4.0,,2.3,,-3.7,,,,83.5,87.6,120.3,,99.5,,95.3,577451.0,447976.0,285532.0,162444.0,133128.0,106152.0,26976.0,-3653.0,388883.0,292382.0,96501.0,341492.0,244960.0,96532.0,624842.0,612161.0,482223.0,309606.0,172641.0,134388.0,105685.0,28722.0,-4765.0,416038.0,315183.0,100006.0,372353.0,267641.0,103218.0,655958.0,-2.6,0.3,-1.9,4.7,-8.6,-11.4,4.4,,-8.6,-10.1,-3.2,-7.8,-10.7,1.4,-3.7,94.3,92.9,92.2,94.1,99.1,100.4,93.9,,93.5,92.8,96.5,91.7,91.5,93.5,95.3
