ID,Periods,Beer_1,Bread_2,Butter_3,Cheese_4,Coffee_5,Eggs_6,Margarine_7,Milk_8,PorkSteak_9,Potatoes_10,Rice_11,StewingSteak_12,Sugar_13,Tea_14
148,1948JJ00,,0.16,0.42,1.03,0.74,0.08,0.31,0.1,1.35,0.05,0.32,0.98,0.27,0.29
149,1949JJ00,,0.16,0.51,1.47,0.88,0.08,0.31,0.09,1.53,0.05,0.45,1.03,0.34,0.28
150,1950JJ00,,0.17,0.54,1.46,1.18,0.08,0.32,0.09,1.7,0.07,0.46,1.65,0.34,0.32
151,1951JJ00,0.37,0.19,0.52,1.56,1.74,0.08,0.45,0.1,1.96,0.07,0.49,1.75,0.4,0.26
152,1952JJ00,0.39,0.19,0.56,1.55,1.85,0.09,0.41,0.1,2.18,0.07,0.56,1.74,0.41,0.24
153,1953JJ00,0.39,0.18,0.53,1.52,1.91,0.09,0.4,0.1,2.08,0.08,0.69,1.67,0.41,0.23
154,1954JJ00,0.39,0.19,0.52,1.51,2.3,0.08,0.39,0.11,2.19,0.09,0.56,1.71,0.37,0.32
155,1955JJ00,0.39,0.19,0.55,1.55,2.06,0.09,0.36,0.13,2.18,0.08,0.46,1.68,0.36,0.36
156,1956JJ00,0.39,0.19,0.55,1.55,1.72,0.09,0.34,0.14,2.34,0.09,0.45,1.92,0.35,0.3
157,1957JJ00,0.44,0.2,0.55,1.61,1.73,0.08,0.35,0.15,2.45,0.1,0.48,1.95,0.4,0.3
158,1958JJ00,0.47,0.2,0.46,1.47,1.62,0.08,0.34,0.16,2.49,0.1,0.48,1.78,0.43,0.29
159,1959JJ00,0.47,0.2,0.53,1.58,1.5,0.08,0.35,0.16,2.6,0.11,0.47,1.88,0.44,0.29
160,1960JJ00,0.47,0.2,0.44,1.49,1.38,0.08,0.33,0.18,2.54,0.11,0.45,1.78,0.44,0.32
161,1961JJ00,0.47,0.2,0.46,1.52,1.34,0.08,0.33,0.19,2.7,0.1,0.45,1.84,0.44,0.32
162,1962JJ00,0.47,0.21,0.45,1.53,1.33,0.07,0.31,0.19,2.67,0.15,0.46,1.79,0.44,0.32
163,1963JJ00,0.47,0.23,0.49,1.59,1.33,0.09,0.32,0.2,2.94,0.11,0.46,1.81,0.45,0.32
164,1964JJ00,0.5,0.25,0.59,1.84,1.59,0.08,0.33,0.22,3.26,0.12,0.46,2.58,0.49,0.3
165,1965JJ00,0.5,0.26,0.63,1.93,1.62,0.09,0.37,0.22,3.29,0.14,0.52,2.65,0.51,0.29
166,1966JJ00,0.53,0.29,0.67,2.14,1.72,0.08,0.34,0.23,3.42,0.17,0.54,2.68,0.53,0.29
167,1967JJ00,0.53,0.31,0.74,2.32,1.63,0.08,0.34,0.24,3.62,0.14,0.61,2.7,0.55,0.3
168,1968JJ00,0.54,0.33,0.79,2.38,1.63,0.09,0.36,0.25,3.77,0.12,0.69,2.78,0.57,0.3
169,1969JJ00,0.54,0.35,0.82,2.6,1.64,0.09,0.35,0.25,4.27,0.16,0.74,3.06,0.56,0.3
170,1970JJ00,0.54,0.36,0.83,2.68,1.98,0.08,0.48,0.29,4.52,0.21,0.83,3.12,0.52,0.31
171,1971JJ00,0.58,0.39,0.86,3.18,2.01,0.09,0.52,0.31,4.52,0.15,0.9,3.24,0.56,0.32
172,1972JJ00,0.58,0.43,0.88,3.25,1.98,0.09,0.48,0.34,4.86,0.18,0.93,3.79,0.56,0.34
173,1973JJ00,0.59,0.46,0.88,3.35,2.11,0.1,0.54,0.36,5.59,0.25,0.93,4.25,0.56,0.33
174,1974JJ00,0.63,0.53,0.85,3.55,2.11,0.1,0.78,0.39,5.29,0.2,1.11,4.1,0.59,0.34
175,1975JJ00,0.67,0.59,0.94,3.96,2.03,0.1,0.68,0.43,5.55,0.27,1.09,4.37,0.7,0.36
176,1976JJ00,0.68,0.64,1.01,4.16,2.88,0.11,0.64,0.45,6.23,0.56,1.01,4.89,0.76,0.36
177,1977JJ00,0.69,0.67,1.05,4.48,4.95,0.11,0.69,0.49,6.23,0.31,1.13,5.11,0.77,0.48
178,1978JJ00,0.71,0.73,1.04,4.74,3.75,0.1,0.68,0.5,6.31,0.22,1.17,5.32,0.79,0.49
179,1979JJ00,0.73,0.75,1.04,4.73,3.26,0.1,0.7,0.5,6.32,0.33,1.16,5.51,0.81,0.48
180,1980JJ00,0.75,0.79,1.09,5.05,3.3,0.11,0.69,0.52,6.6,0.29,1.21,5.73,0.83,0.54
181,1981JJ00,0.77,0.87,1.15,5.15,2.98,0.13,0.74,0.56,6.93,0.31,1.23,6.21,0.9,0.55
182,1982JJ00,0.89,0.94,1.19,5.44,3.23,0.11,0.75,0.6,7.46,0.34,1.24,6.78,1.0,0.57
183,1983JJ00,0.92,0.95,1.26,5.54,3.26,0.12,0.79,0.6,7.33,0.37,1.28,6.9,1.04,0.61
184,1984JJ00,0.9,0.98,1.15,5.67,3.88,0.13,1.17,0.58,7.12,0.47,1.41,6.85,1.05,0.82
185,1985JJ00,0.91,0.98,1.09,5.8,3.92,0.12,1.12,0.59,7.24,0.28,1.54,6.9,1.06,0.79
186,1986JJ00,0.91,0.98,1.12,5.79,4.14,0.11,0.89,0.6,7.23,0.28,1.62,6.92,1.06,0.66
187,1987JJ00,0.91,0.99,1.12,5.94,2.7,0.11,0.81,0.59,6.87,0.29,1.59,6.82,1.06,0.63
188,1988JJ00,0.9,1.01,1.11,6.22,2.65,0.11,0.8,0.61,6.68,0.29,1.7,6.82,1.06,0.63
189,1989JJ00,1.02,1.0,1.14,6.39,2.72,0.11,0.83,0.63,7.1,0.35,1.69,7.07,0.93,0.63
190,1990JJ00,1.05,1.02,1.11,6.43,2.25,0.11,0.85,0.62,7.51,0.36,1.72,7.42,0.92,0.68
191,1991JJ00,1.1,1.04,1.1,6.46,2.25,0.11,0.92,0.62,7.52,0.4,1.74,7.5,0.92,0.68
192,1992JJ00,1.13,1.09,1.12,6.51,2.25,0.11,0.96,0.64,7.81,0.34,1.74,7.75,0.93,0.69
193,1993JJ00,1.18,1.12,1.09,6.61,2.27,0.12,0.98,0.66,7.51,0.32,1.72,7.77,0.89,0.7
194,1994JJ00,1.16,1.11,1.06,6.6,3.0,0.12,1.14,0.65,7.4,0.39,1.87,8.94,0.88,0.69
195,1995JJ00,1.19,1.1,1.04,6.52,3.35,0.11,1.04,0.65,7.33,0.47,2.12,8.71,0.86,0.7
196,1996JJ00,1.19,1.11,1.03,6.53,2.89,0.13,1.03,0.66,7.47,0.38,2.11,8.59,0.85,0.69
197,1997JJ00,1.18,1.09,1.05,6.59,3.43,0.13,1.03,0.67,7.99,0.35,2.09,8.57,0.86,0.73
198,1998JJ00,1.17,1.12,1.09,6.83,3.45,0.11,1.05,0.69,8.06,0.48,2.09,8.56,0.85,0.78
199,1999JJ00,1.18,1.14,1.08,6.92,3.02,0.11,1.06,0.69,7.82,0.51,2.05,8.79,0.87,0.77
200,2000JJ00,1.17,1.29,1.09,7.01,6.16,1.4,0.64,0.51,7.63,0.63,2.12,8.65,0.88,1.02
201,2001JJ00,1.29,1.34,1.11,7.34,5.96,1.4,0.69,0.57,8.81,0.75,2.21,9.27,0.89,1.1
202,2002JJ00,1.38,1.38,1.12,7.58,5.76,1.4,0.72,0.61,8.12,0.87,2.27,9.4,0.88,1.15
203,2003JJ00,1.43,1.39,1.09,7.67,5.54,1.9,0.76,0.62,8.0,0.79,2.27,9.01,0.85,1.12
204,2004JJ00,1.29,1.41,1.05,7.34,4.94,1.6,0.73,0.6,7.75,0.73,1.81,8.59,0.82,0.97
205,2005JJ00,1.28,1.43,1.01,7.18,5.5,1.4,0.68,0.6,7.55,0.58,1.5,8.6,0.79,0.87
206,2006JJ00,1.31,1.37,1.01,7.24,5.8,1.4,0.68,0.6,7.93,0.86,1.39,9.0,0.78,0.85
207,2007JJ00,1.37,1.35,1.08,7.11,6.0,1.4,0.7,0.58,7.73,0.81,1.48,9.02,0.8,0.84
208,2008JJ00,1.46,1.48,1.22,8.39,6.6,1.5,0.78,0.7,7.84,0.77,1.73,9.19,0.78,0.9
209,2009JJ00,1.6,1.46,1.15,8.15,6.58,1.5,0.79,0.71,8.29,0.72,2.03,9.29,0.79,0.91
210,2010JJ00,1.41,1.17,1.04,8.8,6.18,1.6,0.77,0.64,7.44,0.88,1.82,7.91,0.75,0.94
211,2011JJ00,1.4,1.29,1.16,9.3,8.16,1.6,0.79,0.67,8.18,0.83,1.75,8.57,0.79,1.03
212,2012JJ00,1.33,1.17,1.12,8.63,8.34,1.7,0.72,0.71,7.68,0.79,1.72,8.94,0.93,1.11
213,2013JJ00,1.45,1.21,1.19,8.89,8.74,1.89,0.74,0.76,7.41,1.03,2.09,8.64,1.04,1.07
214,2014JJ00,1.49,1.2,1.33,9.24,9.34,1.84,0.79,0.8,6.86,0.94,2.24,8.8,0.99,1.08
215,2015JJ00,1.48,1.19,1.28,7.19,10.39,1.96,0.9,0.77,7.0,1.09,2.31,9.5,0.98,1.14
216,2016JJ00,1.49,1.17,1.26,6.94,9.51,2.07,0.91,0.76,7.1,1.24,2.17,9.45,0.8,1.19
217,2017JJ00,1.48,1.14,1.69,10.22,9.43,2.24,0.93,0.9,7.61,1.31,2.1,9.79,0.67,1.16
