ID,EnergyCommodities,Periods,TotalSupply_1,Production_2,TotalPureAndBlended_3,Pure_4,Blended_5,StockMutationPureAndBlended_6,BunkersPureAndBlended_7,TotalConsumptionPureAndBlended_8,RoadTransport_9,RailTransport_10,DomesticNavigation_11,Construction_12,Agriculture_13,Blending_14,ProductionCapacity_15
0,E006677     ,2006JJ00,1766,998.0,750.0,750.0,0,0,,1766.0,,,,,,1652,2974.0
1,E006677     ,2007JJ00,13031,3438.0,12487.0,13290.0,-803,-2895,,13031.0,,,,,,13723,7307.0
2,E006677     ,2008JJ00,12048,3257.0,12934.0,16791.0,-3857,-4143,,12048.0,,,,,,15905,19551.0
3,E006677     ,2009JJ00,15606,10138.0,5928.0,7912.0,-1984,-461,,15606.0,,,,,,17590,48951.0
4,E006677     ,2010JJ00,9577,,,,940,2585,,9577.0,,,,,,8637,
5,E006677     ,2011JJ00,13438,,,,3385,-1765,,13438.0,,,,,,10053,
6,E006677     ,2012JJ00,14017,,,,163,-2308,,14017.0,13055.0,37.0,,481.0,444.0,13854,
7,E006677     ,2013JJ00,13378,62053.0,-44651.0,-42410.0,-2241,-4010,,13378.0,12490.0,37.0,,444.0,407.0,15619,88099.0
8,E006677     ,2014JJ00,15686,,,,-1476,2959,,15686.0,14576.0,37.0,,555.0,518.0,17162,
9,E006677     ,2015JJ00,13439,,,,-2074,498,,13439.0,12285.0,35.0,,614.0,505.0,15513,
10,E006677     ,2016JJ00,10747,,,,-1492,-684,,10747.0,9839.0,27.0,,513.0,367.0,12238,
11,E006677     ,2017JJ00,13891,,,,-2917,-4039,,13891.0,12637.0,37.0,,693.0,525.0,16808,
12,E006677     ,2018JJ00,22992,,,,-2678,-6694,698.0,22992.0,20540.0,57.0,59.0,1259.0,1077.0,26368,
13,E006677     ,2019JJ00,28437,,,,-4420,146,1982.0,28437.0,25363.0,66.0,118.0,1551.0,1341.0,34838,
14,E006677     ,2020JJ00,24329,,,,-8648,2042,9894.0,24329.0,21684.0,55.0,63.0,1355.0,1172.0,42872,
15,E006677     ,2021JJ00,27739,,,,-4672,-3058,6954.0,27739.0,24573.0,63.0,40.0,1583.0,1479.0,39365,
16,E006677     ,2022JJ00,26141,,,,-5125,-15907,19004.0,26141.0,23018.0,59.0,53.0,1400.0,1148.0,49808,
17,E006677     ,2023JJ00,25853,,,,-3357,13515,16416.0,25853.0,22886.0,66.0,43.0,1383.0,1133.0,45283,
18,E006678     ,2006JJ00,798,314.0,484.0,484.0,0,0,,798.0,798.0,,,,,798,314.0
19,E006678     ,2007JJ00,3687,293.0,4087.0,4087.0,0,-693,,3687.0,3687.0,,,,,3687,314.0
20,E006678     ,2008JJ00,4524,186.0,4229.0,4979.0,-749,109,,4524.0,4524.0,,,,,5274,311.0
21,E006678     ,2009JJ00,5771,0.0,6121.0,5798.0,322,-350,,5771.0,5771.0,,,,,5448,0.0
22,E006678     ,2010JJ00,5614,,,,1010,199,,5614.0,5614.0,,,,,4604,
23,E006678     ,2011JJ00,6231,,,,4307,-1,,6231.0,6231.0,,,,,1923,
24,E006678     ,2012JJ00,5211,,,,1458,-259,,5211.0,5211.0,,,,,3753,
25,E006678     ,2013JJ00,5238,11178.0,-6061.0,-5818.0,-243,121,,5238.0,5238.0,,,,,5481,13581.0
26,E006678     ,2014JJ00,5379,,,,131,353,,5379.0,5379.0,,,,,5248,
27,E006678     ,2015JJ00,5950,,,,-279,57,,5950.0,5950.0,,,,,6230,
28,E006678     ,2016JJ00,5049,,,,-444,-438,,5049.0,5049.0,,,,,5493,
29,E006678     ,2017JJ00,5399,,,,-656,-190,,5399.0,5399.0,,,,,6054,
30,E006678     ,2018JJ00,7146,,,,-798,257,,7146.0,7146.0,,,,,7944,
31,E006678     ,2019JJ00,8321,,,,-741,4,,8321.0,8321.0,,,,,9062,
32,E006678     ,2020JJ00,9481,,,,-2746,-1747,,9481.0,9481.0,,,,,12227,
33,E006678     ,2021JJ00,9766,,,,-2102,834,,9766.0,9766.0,,,,,11868,
34,E006678     ,2022JJ00,10975,,,,-2867,-4094,,10975.0,10512.0,,,,,13380,
35,E006678     ,2023JJ00,11123,,,,-2867,345,,11123.0,10781.0,,,,,13648,
36,E006679     ,2006JJ00,698,684.0,266.0,266.0,0,0,,968.0,,,,,,854,2660.0
37,E006679     ,2007JJ00,9344,3145.0,8401.0,9204.0,-803,-2202,,9344.0,,,,,,10036,6993.0
38,E006679     ,2008JJ00,7524,3071.0,8704.0,11812.0,-3108,-4252,,7524.0,,,,,,10631,19240.0
39,E006679     ,2009JJ00,9835,10138.0,-192.0,2114.0,-2306,-111,,9835.0,,,,,,12141,48951.0
40,E006679     ,2010JJ00,3963,14134.0,-12557.0,-12487.0,-70,2386,,3963.0,,,,,,4033,48322.0
41,E006679     ,2011JJ00,7207,18167.0,-9195.0,-8272.0,-923,-1764,,7207.0,,,,,,8130,75110.0
42,E006679     ,2012JJ00,8806,43549.0,-32693.0,-31398.0,-1295,-2050,,8806.0,7844.0,37.0,,481.0,444.0,10101,75887.0
43,E006679     ,2013JJ00,8140,50875.0,-38590.0,-36592.0,-1998,-4130,,8140.0,7252.0,37.0,,444.0,407.0,10138,74518.0
44,E006679     ,2014JJ00,10307,63640.0,-55939.0,-54332.0,-1607,2606,,10307.0,9197.0,37.0,,555.0,518.0,11914,81252.0
45,E006679     ,2015JJ00,7488,60273.0,-53226.0,-51431.0,-1795,442,,7488.0,6334.0,35.0,,614.0,505.0,9283,80512.0
46,E006679     ,2016JJ00,5698,54094.0,-48150.0,-47102.0,-1047,-246,,5698.0,4790.0,27.0,,513.0,367.0,6745,71299.0
47,E006679     ,2017JJ00,8493,71373.0,-59031.0,-56770.0,-2261,-3849,,8493.0,7238.0,37.0,,693.0,525.0,10754,76146.0
48,E006679     ,2018JJ00,15846,68034.0,-44538.0,-42659.0,-1880,-6952,698.0,15846.0,13394.0,57.0,59.0,1259.0,1077.0,18424,77034.0
49,E006679     ,2019JJ00,20116,72832.0,-50876.0,-47197.0,-3679,142,1982.0,20116.0,17042.0,66.0,118.0,1551.0,1341.0,25777,81349.0
50,E006679     ,2020JJ00,14848,73266.0,-52312.0,-46410.0,-5902,3789,9894.0,14848.0,12203.0,55.0,63.0,1355.0,1172.0,30645,80930.0
51,E006679     ,2021JJ00,17973,75575.0,-46755.0,-44185.0,-2570,-3892,6954.0,17973.0,14808.0,63.0,40.0,1583.0,1479.0,27497,86903.0
52,E006679     ,2022JJ00,15167,71942.0,-26836.0,-23700.0,-3136,-11813,18126.0,15167.0,12506.0,59.0,53.0,1400.0,1148.0,36429,83872.0
53,E006679     ,2023JJ00,14730,79791.0,-64463.0,-61327.0,-3136,13171,13769.0,14730.0,12106.0,66.0,43.0,1383.0,1133.0,31635,81753.0
54,E007020     ,2006JJ00,0,0.0,0.0,0.0,0,0,,,,,,,,0,0.0
55,E007020     ,2007JJ00,0,0.0,0.0,0.0,0,0,,,,,,,,0,0.0
56,E007020     ,2008JJ00,0,0.0,0.0,0.0,0,0,,,,,,,,0,0.0
57,E007020     ,2009JJ00,0,0.0,0.0,0.0,0,0,,,,,,,,0,0.0
58,E007020     ,2010JJ00,0,0.0,0.0,0.0,0,0,,,,,,,,0,0.0
59,E007020     ,2011JJ00,0,0.0,0.0,0.0,0,0,,,,,,,,0,0.0
60,E007020     ,2012JJ00,0,0.0,0.0,0.0,0,0,,,,,,,,0,0.0
61,E007020     ,2013JJ00,0,0.0,0.0,0.0,0,0,,,,,,,,0,0.0
62,E007020     ,2014JJ00,0,0.0,0.0,0.0,0,0,,,,,,,,0,0.0
63,E007020     ,2015JJ00,0,0.0,0.0,0.0,0,0,,,,,,,,0,0.0
64,E007020     ,2016JJ00,0,0.0,0.0,0.0,0,0,,,,,,,,0,0.0
65,E007020     ,2017JJ00,0,0.0,0.0,0.0,0,0,,,,,,,,0,0.0
66,E007020     ,2018JJ00,0,0.0,0.0,0.0,0,0,,,,,,,,0,0.0
67,E007020     ,2019JJ00,0,0.0,0.0,0.0,0,0,,,,,,,,0,0.0
68,E007020     ,2020JJ00,0,0.0,0.0,0.0,0,0,,,,,,,,0,0.0
