ID,SoortGegevens,Perioden,Totaal_1,BrutoBinnenlandsProduct_2,Totaal_3,Goederen_4,Diensten_5,Totaal_6,Totaal_7,Totaal_8,Huishoudens_9,Overheid_10,Totaal_11,BedrijvenEnHuishoudens_12,Overheid_13,VeranderingInVoorraden_14,Totaal_15,Goederen_16,Diensten_17,Totaal_18,Totaal_19,ALandbouwBosbouwEnVisserij_20,Totaal_21,BDelfstoffenwinning_22,Totaal_23,k_1012VoedingsGenotmiddelenindustrie_24,k_1315TextielKledingLederindustrie_25,k_1618HoutPapierGrafischeIndustr_26,k_19AardolieIndustrie_27,k_2021ChemieEnFarmaceutischeIndustrie_28,k_2223KunststofEnBouwmateriaalindustr_29,k_2425BasismetaalMetaalprodIndustrie_30,k_2627ElektrischeEnElektronIndustrie_31,k_28MachineIndustrie_32,k_2930Transportmiddelenindustrie_33,k_3133OverigeIndustrieEnReparatie_34,DEnergievoorziening_35,EWaterbedrijvenEnAfvalbeheer_36,FBouwnijverheid_37,Totaal_38,Totaal_39,GHandel_40,HVervoerEnOpslag_41,IHoreca_42,JInformatieEnCommunicatie_43,KFinancieleDienstverlening_44,LVerhuurEnHandelVanOnroerendGoed_45,Totaal_46,MSpecialistischeZakelijkeDiensten_47,Totaal_48,k_77VerhuurVanRoerendeGoederen_49,k_78UitzendbureausEnArbeidsbemiddeling_50,k_79ReisbureausReisorganisatieEnInfo_51,k_8082BeveiligingEnOverigeDiensten_52,Totaal_53,Totaal_54,Totaal_55,OOpenbaarBestuurEnOverheidsdiensten_56,POnderwijs_57,QGezondheidsEnWelzijnszorg_58,RUCultuurRecreatieOverigeDiensten_59,Saldo_60,ProductgebondenBelastingen_61,ProductgebondenSubsidies_62,VerschilToegerekendeEnAfgedragenBtw_63,BrutoBinnenlandsProduct_64,BeloningVanWerknemers_65,Exploitatieoverschot_66,Saldo_67,BelastingenOpProductieEnInvoer_68,Subsidies_69,NettoBinnenlandsProduct_70,VerbruikVanVasteActiva_71,BrutoBinnenlandsProduct_72,BrutoBinnenlandsProduct_73,Saldo_74,OntvangenPrimaireInkomensBuitenland_75,BetaaldePrimaireInkomensBuitenland_76,BrutoNationaalInkomen_77,Saldo_78,OntvangenInkomensoverdrachtBuitenland_79,BetaaldeInkomensoverdrachtenBuitenland_80,BrutoBeschikbaarNationaalInkomen_81,ConsumptieveBestedingen_82,CorrectiePensioenvoorziening_83,BrutoNationaleBesparingen_84,BrutoInvesteringen_85,NationaalInkomensoverschot_86,UitvoersaldoGoederen_87,UitvoersaldoDiensten_88,SaldoPrimaireInkomensBuitenland_89,SaldoInkomensoverdrachtenBuitenland_90,CorrectiePensioenvoorziening_91,SaldoLopendeTransactiesBuitenland_92,Saldo_93,OntvangenKapitaaloverdrachten_94,BetaaldeKapitaaloverdrachten_95,SaldoAanEnVerkopenVanNietGeprod_96,NationaalVorderingensaldo_97,Totaal_98,Totaal_99,Totaal_100,Totaal_101,Voedingsmiddelen_102,DrankenEnTabak_103,Totaal_104,KledingEnTextiel_105,SchoenenEnLederwaren_106,WoninginrichtingEnWoningdecoratie_107,ElektrischeApparatuur_108,VervoermiddelenEnOnderdelen_109,OverigeDuurzameGoederen_110,TotaalOverigeGoederen_111,EnergieEnWater_112,BrandstoffenEnOverigeGoederen_113,Totaal_114,Huisvesting_115,Horecadiensten_116,RecreatieEnCultuurdiensten_117,VervoerEnCommunicatieDiensten_118,MedischeDienstenEnWelzijnzorg_119,FinancieleEnZakelijkeDiensten_120,OverigeDiensten_121,BinnenlandsConsumptieHuishoudens_122,ConsumptieIngezetenenInHetBuitenland_123,ConsumptieNietIngezetenenInNederland_124,Totaal_125,IndividueleConsumptieOverheid_126,CollectieveConsumptieOverheid_127,Totaal_128,WerkelijkeIndividueleConsumptie_129,WerkelijkeCollectieveConsumptie_130,Totaal_131,Totaal_132,Woningen_133,Totaal_134,Gebouwen_135,GrondWegEnWaterbouwkundigeWerken_136,OverdrachtskostenOpGrond_137,Vervoermiddelen_138,Totaal_139,Computers_140,Telecommunicatieapparatuur_141,MachinesEnOverigeMaterieleActiva_142,InCultuurGebrachteActiva_143,Totaal_144,ComputerprogrammatuurEnDatabanken_145,OnderzoekEnOntwikkeling_146,OverigeImmaterieleActiva_147,VerkoopVanGebruikteVasteActiva_148,Totaal_149,Totaal_150,ALandbouwBosbouwEnVisserij_151,BFNijverheidEnEnergie_152,GNCommercieleDienstverlening_153,OUNietCommercieleDienstverlening_154,VerkoopVanGebruikteVasteActiva_155,Totaal_156,LandbouwBosbouwEnVisserijproducten_157,WinningVanDelfstoffen_158,VoedingsmiddelenDrankenEnTabak_159,TextielKledingEnProductenVanLeder_160,HoutEnPapierwarenDrukwerk_161,AardolieProducten_162,ChemischeEnFarmaceutischeProducten_163,RubberKunststofEnMineraleProducten_164,BasismetalenEnMetaalproducten_165,MachinesEnElektrischeApparatuur_166,ElektrotechnischeEnOptischeApparatuur_167,Transportmiddelen_168,OverigeIndustrieleProducten_169,OverigeProducten_170,ConsumptieNietIngezetenenInNederland_171,UitvoerVanGebruikteVasteActiva_172,CifFobCorrectie_173,Totaal_174,UitvoerGoederenUitProductie_175,Wederuitvoer_176,UitvoerVanGebruikteVasteActiva_177,Totaal_178,ConsumptieNietIngezetenenInNederland_179,OverigeUitvoerVanDiensten_180,CifFobCorrectie_181,Totaal_182,LandbouwBosbouwEnVisserijproducten_183,WinningVanDelfstoffen_184,VoedingsmiddelenDrankenEnTabak_185,TextielKledingEnProductenVanLeder_186,HoutEnPapierwarenDrukwerk_187,AardolieProducten_188,ChemischeEnFarmaceutischeProducten_189,RubberKunststofEnMineraleProducten_190,BasismetalenEnMetaalproducten_191,MachinesEnElektrischeApparatuur_192,ElektrotechnischeEnOptischeApparaten_193,Transportmiddelen_194,OverigeIndustrieleProducten_195,OverigeProducten_196,ConsumptieIngezetenenInHetBuitenland_197,CifFobCorrectie_198,Totaal_199,InvoerGoederenCif_200,CifFobCorrectieEnHerclassificatie_201,Totaal_202,InvoerDienstenCif_203,CifFobHerclassificatie_204,Totaal_205,ProductgebondenBelastingen_206,NietProductgebondenBelastingen_207,TotaalSubsidies_208,ProductgebondenSubsidies_209,NietProductgebondenSubsidies_210
0,vlwans,1995KW01,155594.0,111691.0,45236.0,34968.0,10028.0,155594.0,100700.0,78729.0,52480.0,26278.0,22566.0,18837.0,3674.0,-447.0,55007.0,43700.0,11189.0,99771.0,30378.0,2126.0,21240.0,6629.0,13310.0,2803.0,319.0,1114.0,281.0,1805.0,1069.0,1730.0,842.0,999.0,688.0,1958.0,1482.0,646.0,6766.0,44697.0,17494.0,10831.0,4605.0,2147.0,2175.0,7080.0,5873.0,11668.0,,,,1474.0,211.0,,25004.0,22037.0,14037.0,,,8039.0,2983.0,10561.0,11464.0,756.0,,111691.0,,,10923.0,12558.0,1750.0,94690.0,17040.0,111691.0,111691.0,,,,,,,,,78729.0,,,22102.0,,,,,,,,,,,,,78729.0,52480.0,23988.0,7804.0,5631.0,2234.0,8588.0,2006.0,440.0,2436.0,435.0,2655.0,1096.0,8144.0,3661.0,4708.0,28624.0,9741.0,4157.0,2339.0,1448.0,2636.0,4198.0,4646.0,52597.0,1282.0,1404.0,26278.0,16869.0,9398.0,78729.0,69302.0,9398.0,22566.0,22840.0,6715.0,6411.0,3837.0,2167.0,414.0,1736.0,109.0,68.0,86.0,4831.0,168.0,4031.0,1195.0,2896.0,143.0,295.0,22566.0,22840.0,793.0,4737.0,12515.0,4616.0,295.0,55007.0,3957.0,3408.0,7388.0,2187.0,1421.0,6857.0,8693.0,1964.0,3942.0,4206.0,2151.0,1857.0,1222.0,11537.0,1404.0,121.0,-373.0,43700.0,33513.0,12426.0,121.0,11189.0,1404.0,10159.0,-373.0,45236.0,2680.0,7776.0,3135.0,2546.0,1751.0,3176.0,5691.0,1806.0,3556.0,4188.0,2021.0,2989.0,958.0,8896.0,1282.0,-373.0,34968.0,36201.0,-1233.0,10028.0,9127.0,861.0,12558.0,11464.0,1091.0,1750.0,756.0,818.0
1,vlwans,1995KW02,159172.0,112241.0,47749.0,35141.0,12266.0,159172.0,103463.0,81057.0,52977.0,28078.0,24597.0,20784.0,3830.0,-2155.0,55940.0,43468.0,12306.0,100349.0,27718.0,2331.0,17623.0,3801.0,12626.0,3072.0,306.0,1130.0,262.0,1484.0,1108.0,1483.0,912.0,865.0,585.0,1791.0,1369.0,542.0,7646.0,45886.0,18221.0,11566.0,4317.0,2464.0,2405.0,6173.0,6567.0,12517.0,,,,1831.0,204.0,,27070.0,24579.0,15955.0,,,8650.0,2496.0,11661.0,12809.0,928.0,,112241.0,,,12038.0,13839.0,1852.0,95206.0,17059.0,112241.0,112241.0,,,,,,,,,81057.0,,,22463.0,,,,,,,,,,,,,81057.0,52977.0,23666.0,8513.0,6040.0,2525.0,8485.0,2010.0,539.0,2624.0,461.0,2183.0,1238.0,7198.0,2235.0,5097.0,28807.0,9466.0,4575.0,2216.0,1562.0,2641.0,4128.0,4796.0,52476.0,2250.0,1740.0,28078.0,17510.0,10506.0,81057.0,70540.0,10506.0,24597.0,24764.0,7586.0,7351.0,4407.0,2526.0,412.0,1995.0,114.0,75.0,87.0,5475.0,175.0,3447.0,1123.0,2280.0,154.0,188.0,24597.0,24764.0,882.0,5242.0,13651.0,4793.0,188.0,55940.0,4398.0,2510.0,8221.0,1659.0,1271.0,6210.0,8586.0,1950.0,3571.0,4989.0,2229.0,1945.0,1195.0,12239.0,1740.0,93.0,-387.0,43468.0,33132.0,12311.0,93.0,12306.0,1740.0,10963.0,-387.0,47749.0,2245.0,8523.0,3635.0,1683.0,1765.0,2881.0,5700.0,1946.0,3619.0,3892.0,1935.0,4052.0,1001.0,9686.0,2250.0,-387.0,35141.0,36386.0,-1242.0,12266.0,11367.0,854.0,13839.0,12809.0,1033.0,1852.0,928.0,657.0
2,vlwans,1995KW03,153170.0,108765.0,45450.0,32393.0,12989.0,153170.0,101137.0,79151.0,53879.0,25200.0,20892.0,17333.0,3568.0,1076.0,52750.0,39858.0,12894.0,96891.0,26386.0,2572.0,17169.0,2800.0,13007.0,3376.0,322.0,1025.0,356.0,1487.0,1015.0,1652.0,1145.0,1079.0,554.0,1552.0,1220.0,693.0,6821.0,46169.0,18135.0,11332.0,4529.0,2420.0,2308.0,6144.0,7233.0,12630.0,,,,2261.0,405.0,,24559.0,21478.0,13571.0,,,7949.0,3091.0,11347.0,12310.0,848.0,,108765.0,,,11857.0,13414.0,1636.0,91738.0,17044.0,108765.0,108765.0,,,,,,,,,79151.0,,,22081.0,,,,,,,,,,,,,79151.0,53879.0,22952.0,8650.0,6024.0,2693.0,8193.0,2054.0,609.0,2564.0,500.0,1650.0,1330.0,6714.0,1634.0,5112.0,28843.0,9779.0,4726.0,2397.0,1706.0,2791.0,3808.0,4290.0,51819.0,4164.0,2074.0,25200.0,15525.0,9633.0,79151.0,69503.0,9633.0,20892.0,21003.0,7842.0,6914.0,3862.0,2612.0,447.0,1558.0,120.0,79.0,85.0,3228.0,48.0,3037.0,1042.0,1887.0,181.0,141.0,20892.0,21003.0,731.0,3586.0,12733.0,3928.0,141.0,52750.0,3915.0,1776.0,7733.0,2538.0,1231.0,5930.0,7619.0,1742.0,3269.0,4657.0,2158.0,1347.0,1006.0,12768.0,2074.0,70.0,-375.0,39858.0,30186.0,11719.0,70.0,12894.0,2074.0,11220.0,-375.0,45450.0,2053.0,7464.0,3358.0,2531.0,1566.0,3568.0,5505.0,1676.0,3494.0,3579.0,1826.0,2605.0,877.0,8932.0,4164.0,-375.0,32393.0,33559.0,-1164.0,12989.0,12182.0,789.0,13414.0,12310.0,1109.0,1636.0,848.0,590.0
3,vlwans,1995KW04,163349.0,115973.0,48553.0,34997.0,13442.0,163349.0,108438.0,80776.0,53373.0,27294.0,25626.0,21213.0,4429.0,1991.0,56069.0,42289.0,13860.0,103373.0,29227.0,2130.0,19695.0,6187.0,13014.0,3190.0,288.0,1125.0,246.0,1452.0,1020.0,1512.0,1129.0,951.0,596.0,1728.0,1289.0,637.0,7740.0,48508.0,18838.0,12174.0,4588.0,2189.0,2473.0,6903.0,7083.0,13595.0,,,,2215.0,122.0,,25951.0,23167.0,15182.0,,,8032.0,2793.0,13753.0,14954.0,960.0,,115973.0,,,14250.0,16033.0,1759.0,98861.0,17116.0,115973.0,115973.0,,,,,,,,,80776.0,,,27685.0,,,,,,,,,,,,,80776.0,53373.0,24554.0,8903.0,6469.0,2484.0,8286.0,2333.0,555.0,2865.0,502.0,1546.0,1070.0,7993.0,3044.0,5088.0,28337.0,10138.0,4158.0,2020.0,1576.0,2531.0,3853.0,4668.0,52921.0,1773.0,1307.0,27294.0,16240.0,10962.0,80776.0,69805.0,10962.0,25626.0,25833.0,8590.0,8258.0,4588.0,3203.0,450.0,2182.0,170.0,121.0,94.0,4650.0,44.0,3661.0,1415.0,2130.0,147.0,249.0,25626.0,25833.0,844.0,4520.0,15029.0,5347.0,249.0,56069.0,3201.0,3306.0,8165.0,1558.0,1256.0,8489.0,7449.0,1670.0,3340.0,5845.0,2406.0,1702.0,1539.0,14675.0,1307.0,134.0,-378.0,42289.0,32461.0,11968.0,134.0,13860.0,1307.0,12931.0,-378.0,48553.0,2649.0,7585.0,3852.0,1577.0,1796.0,3642.0,5110.0,1958.0,4055.0,4262.0,2345.0,3507.0,1249.0,11488.0,1773.0,-378.0,34997.0,36167.0,-1170.0,13442.0,12642.0,793.0,16033.0,14954.0,1072.0,1759.0,960.0,484.0
4,vlwans,1995JJ00,631284.0,448664.0,186952.0,137473.0,48745.0,631284.0,413732.0,319718.0,212728.0,106866.0,93704.0,78178.0,15537.0,466.0,219673.0,169213.0,50278.0,400377.0,113694.0,9185.0,75686.0,19415.0,51965.0,12449.0,1234.0,4395.0,1171.0,6227.0,4213.0,6381.0,4038.0,3890.0,2423.0,7028.0,5364.0,2518.0,28961.0,185270.0,72701.0,45914.0,18038.0,9218.0,9361.0,26313.0,26765.0,50407.0,,,,7785.0,940.0,,102593.0,91271.0,58750.0,,,32675.0,11367.0,47314.0,51526.0,3490.0,754.0,448664.0,,,49051.0,55837.0,6992.0,380485.0,68259.0,448664.0,448664.0,,,,,,,,,319718.0,,,94295.0,,,,,,,,,,,,,319718.0,212728.0,95160.0,33870.0,24164.0,9936.0,33551.0,8403.0,2142.0,10490.0,1899.0,8038.0,4735.0,30045.0,10546.0,20006.0,114615.0,39114.0,17615.0,8971.0,6292.0,10597.0,15975.0,18397.0,209822.0,9469.0,6526.0,106866.0,66173.0,40501.0,319718.0,279156.0,40501.0,93704.0,94464.0,30734.0,28923.0,16688.0,10506.0,1726.0,7469.0,511.0,340.0,353.0,18197.0,434.0,14162.0,4776.0,9140.0,635.0,870.0,93704.0,94464.0,3252.0,18097.0,53911.0,18694.0,870.0,219673.0,15480.0,10977.0,31506.0,7943.0,5179.0,27459.0,32349.0,7328.0,14122.0,19689.0,8949.0,6852.0,4965.0,51260.0,6526.0,416.0,-1513.0,169213.0,129216.0,48393.0,416.0,50278.0,6526.0,45300.0,-1513.0,186952.0,9617.0,31345.0,13978.0,8339.0,6878.0,13253.0,22007.0,7385.0,14724.0,15924.0,8135.0,13154.0,4083.0,38998.0,9469.0,-1513.0,137473.0,142284.0,-4810.0,48745.0,45344.0,3297.0,55837.0,51526.0,4305.0,6992.0,3490.0,2520.0
5,vlwans,1996KW01,161180.0,114458.0,47855.0,36777.0,10871.0,161180.0,103665.0,81228.0,55277.0,25901.0,22447.0,18851.0,3540.0,112.0,57544.0,45494.0,11968.0,101911.0,30296.0,1960.0,22113.0,8463.0,13191.0,2898.0,293.0,1052.0,264.0,1812.0,928.0,1670.0,867.0,1121.0,673.0,1913.0,1613.0,695.0,5717.0,46900.0,18125.0,11321.0,4719.0,2163.0,2309.0,7525.0,5952.0,12678.0,,,,1914.0,226.0,,24935.0,22012.0,14025.0,,,8026.0,2937.0,11149.0,11829.0,641.0,,114458.0,,,11210.0,12974.0,1871.0,96988.0,17505.0,114458.0,114458.0,,,,,,,,,81228.0,,,22588.0,,,,,,,,,,,,,81228.0,55277.0,25497.0,8145.0,5908.0,2292.0,8889.0,2104.0,475.0,2421.0,473.0,2690.0,1186.0,9262.0,4494.0,5170.0,29770.0,10074.0,4250.0,2480.0,1488.0,2871.0,4434.0,4719.0,55276.0,1427.0,1428.0,25901.0,16612.0,9278.0,81228.0,71932.0,9278.0,22447.0,22727.0,5886.0,5617.0,3115.0,2007.0,515.0,1934.0,178.0,119.0,99.0,4954.0,174.0,4373.0,1541.0,2735.0,200.0,299.0,22447.0,22727.0,797.0,4559.0,12774.0,4447.0,299.0,57544.0,4075.0,4067.0,7453.0,2092.0,1375.0,7407.0,8752.0,1889.0,3484.0,4582.0,2596.0,1986.0,1417.0,12172.0,1428.0,141.0,-402.0,45494.0,34124.0,13438.0,141.0,11968.0,1428.0,10941.0,-402.0,47855.0,2753.0,8038.0,3107.0,2623.0,1772.0,2987.0,5692.0,1862.0,3595.0,4687.0,2472.0,3031.0,1014.0,9344.0,1427.0,-402.0,36777.0,38047.0,-1270.0,10871.0,9974.0,868.0,12974.0,11829.0,1141.0,1871.0,641.0,1194.0
6,vlwans,1996KW02,164835.0,116775.0,48992.0,35579.0,13150.0,164835.0,109185.0,83469.0,55631.0,27723.0,25918.0,21711.0,4221.0,-304.0,56159.0,42995.0,13121.0,104062.0,28479.0,2205.0,18385.0,4280.0,13042.0,3136.0,303.0,1120.0,234.0,1521.0,1149.0,1503.0,966.0,977.0,580.0,1922.0,1409.0,598.0,7812.0,48666.0,19186.0,12367.0,4437.0,2495.0,2580.0,6528.0,6651.0,13800.0,,,,2358.0,215.0,,27094.0,24611.0,15937.0,,,8705.0,2488.0,12476.0,13317.0,768.0,,116775.0,,,12643.0,14391.0,1822.0,99291.0,17526.0,116775.0,116775.0,,,,,,,,,83469.0,,,25767.0,,,,,,,,,,,,,83469.0,55631.0,24991.0,8801.0,6247.0,2606.0,8986.0,2041.0,581.0,2726.0,515.0,2325.0,1367.0,7781.0,2376.0,5537.0,30027.0,9826.0,4708.0,2331.0,1628.0,2899.0,4321.0,4906.0,55039.0,2420.0,1815.0,27723.0,17234.0,10422.0,83469.0,73039.0,10422.0,25918.0,26151.0,8395.0,8031.0,4654.0,2849.0,519.0,1745.0,157.0,105.0,104.0,5490.0,177.0,3596.0,1233.0,2277.0,180.0,251.0,25918.0,26151.0,910.0,5242.0,14727.0,5125.0,251.0,56159.0,4462.0,2805.0,7461.0,1608.0,1242.0,5706.0,8365.0,1900.0,3258.0,4854.0,2444.0,2179.0,1343.0,12921.0,1815.0,138.0,-387.0,42995.0,32664.0,12219.0,138.0,13121.0,1815.0,11694.0,-387.0,48992.0,2236.0,8261.0,3413.0,1734.0,1749.0,2278.0,5538.0,2001.0,3563.0,4265.0,2160.0,3846.0,1126.0,10518.0,2420.0,-387.0,35579.0,36796.0,-1215.0,13150.0,12295.0,828.0,14391.0,13317.0,1077.0,1822.0,768.0,934.0
7,vlwans,1996KW03,160828.0,113112.0,48629.0,35004.0,13486.0,160828.0,105823.0,81397.0,56228.0,25009.0,23206.0,19107.0,4100.0,1160.0,55696.0,41904.0,13823.0,100655.0,27174.0,2550.0,17932.0,3213.0,13465.0,3489.0,316.0,1037.0,323.0,1571.0,1031.0,1702.0,1222.0,1169.0,508.0,1607.0,1277.0,731.0,6803.0,48926.0,18971.0,12049.0,4629.0,2421.0,2459.0,6621.0,7332.0,13910.0,,,,2773.0,430.0,,24646.0,21551.0,13570.0,,,8029.0,3106.0,11872.0,12658.0,750.0,,113112.0,,,12168.0,13815.0,1720.0,95630.0,17511.0,113112.0,113112.0,,,,,,,,,81397.0,,,24500.0,,,,,,,,,,,,,81397.0,56228.0,24265.0,8775.0,6137.0,2698.0,8880.0,2172.0,641.0,2705.0,563.0,1867.0,1456.0,7189.0,1724.0,5493.0,30190.0,10072.0,4842.0,2529.0,1786.0,3094.0,4056.0,4462.0,54495.0,4010.0,2267.0,25009.0,15412.0,9555.0,81397.0,71826.0,9555.0,23206.0,23415.0,8590.0,7437.0,3898.0,2989.0,556.0,1516.0,183.0,126.0,100.0,3795.0,62.0,3396.0,1267.0,1964.0,236.0,231.0,23206.0,23415.0,792.0,4142.0,14104.0,4329.0,231.0,55696.0,3598.0,2026.0,7778.0,2582.0,1360.0,6035.0,7977.0,1800.0,3299.0,5156.0,2449.0,1599.0,1151.0,13484.0,2267.0,134.0,-379.0,41904.0,31344.0,12538.0,134.0,13823.0,2267.0,11961.0,-379.0,48629.0,2095.0,7307.0,3397.0,2778.0,1719.0,3193.0,5861.0,1802.0,3671.0,3910.0,2207.0,2871.0,1034.0,9545.0,4010.0,-379.0,35004.0,36228.0,-1223.0,13486.0,12617.0,844.0,13815.0,12658.0,1159.0,1720.0,750.0,858.0
8,vlwans,1996KW04,171096.0,120307.0,51793.0,37376.0,14287.0,171096.0,112657.0,83582.0,56115.0,27252.0,27847.0,23019.0,4843.0,1196.0,59498.0,44682.0,14943.0,106782.0,29862.0,2015.0,20307.0,6093.0,13470.0,3301.0,292.0,1122.0,210.0,1546.0,1054.0,1596.0,1193.0,1017.0,549.0,1771.0,1377.0,673.0,7938.0,51038.0,19597.0,12762.0,4704.0,2243.0,2630.0,7321.0,7191.0,14772.0,,,,2644.0,129.0,,26074.0,23255.0,15159.0,,,8151.0,2829.0,14769.0,15696.0,823.0,,120307.0,,,15017.0,16827.0,1797.0,102738.0,17585.0,120307.0,120307.0,,,,,,,,,83582.0,,,29085.0,,,,,,,,,,,,,83582.0,56115.0,25862.0,9248.0,6739.0,2555.0,8753.0,2354.0,599.0,3002.0,555.0,1626.0,1205.0,8534.0,3207.0,5459.0,29869.0,10440.0,4466.0,2138.0,1645.0,2819.0,4116.0,4870.0,55761.0,1652.0,1288.0,27252.0,16223.0,10939.0,83582.0,72638.0,10939.0,27847.0,28098.0,9258.0,8387.0,4426.0,3406.0,526.0,2384.0,232.0,169.0,107.0,5242.0,55.0,3993.0,1572.0,2260.0,187.0,293.0,27847.0,28098.0,879.0,5076.0,16304.0,5714.0,293.0,59498.0,3189.0,3248.0,8469.0,1655.0,1311.0,8049.0,8026.0,1709.0,3428.0,5930.0,2782.0,2015.0,1590.0,16059.0,1288.0,193.0,-415.0,44682.0,34275.0,12622.0,193.0,14943.0,1288.0,14066.0,-415.0,51793.0,2699.0,8034.0,3846.0,1695.0,1956.0,5165.0,5483.0,1883.0,4003.0,4404.0,2733.0,3719.0,1401.0,12222.0,1652.0,-415.0,37376.0,38699.0,-1326.0,14287.0,13355.0,910.0,16827.0,15696.0,1124.0,1797.0,823.0,768.0
9,vlwans,1996JJ00,657939.0,464667.0,197259.0,144738.0,51811.0,657939.0,431314.0,329676.0,223266.0,105897.0,99464.0,82693.0,16772.0,2164.0,228851.0,175014.0,53887.0,413421.0,115830.0,8748.0,78698.0,22069.0,53178.0,12834.0,1204.0,4331.0,1052.0,6448.0,4160.0,6473.0,4262.0,4281.0,2312.0,7214.0,5683.0,2697.0,28247.0,195541.0,75887.0,48504.0,18487.0,9321.0,9978.0,28019.0,27135.0,55156.0,,,,9690.0,999.0,,102756.0,91437.0,58694.0,,,32914.0,11364.0,50254.0,53484.0,2979.0,853.0,464667.0,,,51018.0,57996.0,7204.0,394663.0,70127.0,464667.0,464667.0,,,,,,,,,329676.0,,,101793.0,,,,,,,,,,,,,329676.0,223266.0,100612.0,34969.0,25031.0,10151.0,35507.0,8672.0,2296.0,10853.0,2105.0,8510.0,5215.0,32728.0,11697.0,21659.0,119862.0,40403.0,18265.0,9478.0,6548.0,11682.0,16917.0,18956.0,220582.0,9510.0,6799.0,105897.0,65505.0,40194.0,329676.0,289439.0,40194.0,99464.0,100439.0,32113.0,29464.0,16086.0,11248.0,2116.0,7573.0,747.0,515.0,411.0,19488.0,468.0,15347.0,5617.0,9217.0,817.0,1073.0,99464.0,100439.0,3379.0,19044.0,57882.0,19653.0,1073.0,228851.0,15339.0,12118.0,31166.0,7937.0,5287.0,27198.0,33122.0,7298.0,13471.0,20514.0,10279.0,7782.0,5501.0,54677.0,6799.0,606.0,-1583.0,175014.0,132354.0,50791.0,606.0,53887.0,6799.0,48688.0,-1583.0,197259.0,9772.0,31627.0,13760.0,8832.0,7195.0,13431.0,22570.0,7547.0,14832.0,17264.0,9583.0,13472.0,4574.0,41629.0,9510.0,-1583.0,144738.0,149772.0,-5033.0,51811.0,48262.0,3450.0,57996.0,53484.0,4500.0,7204.0,2979.0,3716.0
10,vlwans,1997KW01,169500.0,118791.0,51599.0,39296.0,12156.0,169500.0,108947.0,84084.0,57368.0,26654.0,25785.0,21949.0,3762.0,-790.0,60572.0,47377.0,13209.0,105694.0,30312.0,2153.0,21297.0,6840.0,13213.0,2754.0,296.0,1097.0,139.0,1829.0,952.0,1658.0,880.0,1159.0,721.0,1918.0,1527.0,730.0,6494.0,50070.0,19349.0,12176.0,4922.0,2353.0,2662.0,8084.0,6133.0,13491.0,,,,2198.0,240.0,,25480.0,22431.0,14268.0,,,8205.0,3065.0,11681.0,12362.0,653.0,,118791.0,,,11529.0,13494.0,2059.0,100714.0,18119.0,118791.0,118791.0,,,,,,,,,84084.0,,,24920.0,,,,,,,,,,,,,84084.0,57368.0,26225.0,8327.0,5983.0,2415.0,9453.0,2259.0,499.0,2563.0,497.0,2854.0,1275.0,9076.0,3846.0,5382.0,31160.0,10230.0,4517.0,2626.0,1650.0,2860.0,4830.0,4939.0,57378.0,1450.0,1460.0,26654.0,17183.0,9468.0,84084.0,74601.0,9468.0,25785.0,26071.0,7362.0,6265.0,3861.0,1949.0,486.0,1886.0,210.0,142.0,110.0,5946.0,198.0,4751.0,1631.0,3043.0,209.0,312.0,25785.0,26071.0,922.0,5269.0,14815.0,4892.0,312.0,60572.0,3958.0,3638.0,7556.0,2099.0,1414.0,7058.0,8935.0,1952.0,3553.0,4503.0,3344.0,2256.0,1436.0,13410.0,1460.0,174.0,-431.0,47377.0,34607.0,14607.0,174.0,13209.0,1460.0,12173.0,-431.0,51599.0,2755.0,7623.0,3139.0,2748.0,1866.0,4016.0,5859.0,1870.0,3696.0,4634.0,3032.0,3413.0,1179.0,10551.0,1450.0,-431.0,39296.0,40643.0,-1348.0,12156.0,11219.0,917.0,13494.0,12362.0,1132.0,2059.0,653.0,1413.0
