ID,CoalAndCoalProducts,Periods,TotalEnergySupply_1,Production_2,RecoveredProducts_3,ImportsTotal_4,OfWhichFromOutsideEU_5,Exports_6,StocksBeginningOfPeriod_7,StocksEndOfPeriod_8,StockChange_9,StatisticalDifferences_10,TotalConsumption_11,TotalEnergyCompanies_12,CokeOvenPlants_13,IndustryTotal_14,OfWhichIronAndSteel_15,TotalOtherConsumers_16
0,E006461,2015MM01,1601,,,1141,1134.0,,1538.0,1078.0,460.0,,1601,1220.0,251.0,130.0,128.0,0.0
1,E006461,2015MM02,1412,,,1444,1435.0,,1078.0,1110.0,-32.0,,1412,1078.0,213.0,121.0,119.0,0.0
2,E006461,2015MM03,1505,,,1624,1615.0,,1110.0,1229.0,-119.0,,1505,1128.0,241.0,137.0,135.0,0.0
3,E006461,2015KW01,4518,,,4209,4184.0,,1538.0,1229.0,309.0,,4518,3426.0,704.0,388.0,382.0,0.0
4,E006461,2015MM04,1630,,,1745,1736.0,,1229.0,1344.0,-116.0,,1630,1264.0,240.0,126.0,123.0,0.0
5,E006461,2015MM05,1482,,,1497,1488.0,,1344.0,1359.0,-15.0,,1482,1104.0,254.0,124.0,121.0,0.0
6,E006461,2015MM06,1371,,,1398,1390.0,,1359.0,1386.0,-27.0,,1371,991.0,249.0,131.0,129.0,0.0
7,E006461,2015KW02,4483,,,4640,4614.0,,1229.0,1386.0,-157.0,,4483,3359.0,743.0,381.0,373.0,0.0
8,E006461,2015MM07,1441,,,1435,1427.0,,1386.0,1380.0,7.0,,1441,1059.0,259.0,122.0,119.0,0.0
9,E006461,2015MM08,1389,,,1188,1181.0,,1380.0,1178.0,201.0,,1389,1007.0,255.0,128.0,125.0,0.0
10,E006461,2015MM09,1717,,,1466,1458.0,,1178.0,927.0,251.0,,1717,1332.0,251.0,134.0,131.0,0.0
11,E006461,2015KW03,4548,,,4089,4066.0,,1386.0,927.0,459.0,,4548,3398.0,765.0,385.0,375.0,0.0
12,E006461,2015MM10,1605,,,1903,1893.0,,927.0,1225.0,-298.0,,1605,1213.0,253.0,139.0,135.0,0.0
13,E006461,2015MM11,1314,,,1155,1148.0,,1225.0,1066.0,159.0,,1314,947.0,241.0,125.0,121.0,0.0
14,E006461,2015MM12,1509,,,1387,1379.0,,1066.0,944.0,122.0,,1509,1133.0,262.0,115.0,111.0,0.0
15,E006461,2015KW04,4428,,,4445,4420.0,,927.0,944.0,-17.0,,4428,3294.0,756.0,379.0,368.0,0.0
16,E006461,2015JJ00,17977,,,17383,17284.0,,1538.0,944.0,594.0,,17977,13476.0,2968.0,1533.0,1498.0,0.0
17,E006461,2016MM01,1356,,,1353,1352.0,,944.0,941.0,3.0,,1356,982.0,249.0,125.0,125.0,0.0
18,E006461,2016MM02,1359,,,1198,1197.0,,941.0,779.0,162.0,,1359,997.0,242.0,120.0,119.0,0.0
19,E006461,2016MM03,1486,,,1401,1401.0,,779.0,695.0,84.0,,1486,1111.0,248.0,127.0,127.0,0.0
20,E006461,2016KW01,4201,,,3952,3950.0,,944.0,695.0,249.0,,4201,3090.0,739.0,372.0,371.0,0.0
21,E006461,2016MM04,1384,,,1709,1708.0,,695.0,1020.0,-325.0,,1384,1022.0,255.0,107.0,104.0,0.0
22,E006461,2016MM05,1390,,,1330,1330.0,,1020.0,960.0,60.0,,1390,1030.0,231.0,130.0,126.0,0.0
23,E006461,2016MM06,1288,,,1674,1674.0,,960.0,1346.0,-387.0,,1288,953.0,214.0,121.0,117.0,0.0
24,E006461,2016KW02,4062,,,4713,4711.0,,695.0,1346.0,-651.0,,4062,3004.0,700.0,357.0,347.0,0.0
25,E006461,2016MM07,1179,,,841,841.0,,1346.0,1009.0,337.0,,1179,806.0,241.0,132.0,127.0,0.0
26,E006461,2016MM08,1148,,,1245,1244.0,,1009.0,1106.0,-97.0,,1148,768.0,236.0,144.0,139.0,0.0
27,E006461,2016MM09,1414,,,1296,1295.0,,1106.0,988.0,118.0,,1414,1050.0,243.0,121.0,117.0,0.0
28,E006461,2016KW03,3740,,,3382,3380.0,,1346.0,988.0,359.0,,3740,2623.0,721.0,396.0,384.0,0.0
29,E006461,2016MM10,1566,,,1602,1602.0,,988.0,1024.0,-36.0,,1566,1184.0,255.0,127.0,123.0,0.0
30,E006461,2016MM11,1490,,,1233,1232.0,,1024.0,767.0,257.0,,1490,1127.0,242.0,122.0,117.0,0.0
31,E006461,2016MM12,1420,,,1469,1467.0,,767.0,816.0,-49.0,,1420,1056.0,239.0,124.0,119.0,0.0
32,E006461,2016KW04,4476,,,4305,4301.0,,988.0,816.0,172.0,,4476,3367.0,736.0,373.0,360.0,0.0
33,E006461,2016JJ00,16479,,,16351,16342.0,,944.0,816.0,128.0,,16479,12085.0,2895.0,1499.0,1461.0,0.0
34,E006461,2017MM01,1484,,,1373,1372.0,,816.0,704.0,112.0,,1484,1096.0,246.0,142.0,141.0,0.0
35,E006461,2017MM02,1468,,,1562,1562.0,,704.0,798.0,-94.0,,1468,1139.0,145.0,184.0,183.0,0.0
36,E006461,2017MM03,1295,,,1605,1604.0,,798.0,1109.0,-310.0,,1295,923.0,246.0,125.0,123.0,0.0
37,E006461,2017KW01,4247,,,4540,4539.0,,816.0,1109.0,-293.0,,4247,3158.0,638.0,451.0,446.0,0.0
38,E006461,2017MM04,1146,,,1036,1036.0,,1109.0,999.0,110.0,,1146,785.0,210.0,152.0,148.0,0.0
39,E006461,2017MM05,1144,,,936,935.0,,999.0,791.0,208.0,,1144,751.0,241.0,152.0,147.0,0.0
40,E006461,2017MM06,1293,,,1421,1421.0,,791.0,919.0,-128.0,,1293,899.0,236.0,159.0,154.0,0.0
41,E006461,2017KW02,3583,,,3393,3393.0,,1109.0,919.0,190.0,,3583,2434.0,687.0,462.0,449.0,0.0
42,E006461,2017MM07,1207,,,1151,1151.0,,919.0,863.0,56.0,,1207,835.0,235.0,137.0,132.0,0.0
43,E006461,2017MM08,1097,,,1152,1152.0,,863.0,918.0,-55.0,,1097,714.0,245.0,138.0,133.0,0.0
44,E006461,2017MM09,908,,,1170,1170.0,,918.0,1180.0,-262.0,,908,576.0,239.0,92.0,88.0,0.0
45,E006461,2017KW03,3212,,,3473,3472.0,,919.0,1180.0,-261.0,,3212,2125.0,719.0,368.0,353.0,0.0
46,E006461,2017MM10,1145,,,886,886.0,,1180.0,921.0,259.0,,1145,764.0,249.0,132.0,127.0,0.0
47,E006461,2017MM11,1252,,,1155,1155.0,,921.0,824.0,96.0,,1252,876.0,233.0,143.0,139.0,0.0
48,E006461,2017MM12,1243,,,1419,1419.0,,824.0,1001.0,-176.0,,1243,883.0,227.0,133.0,128.0,0.0
49,E006461,2017KW04,3640,,,3461,3460.0,,1180.0,1001.0,179.0,,3640,2523.0,709.0,408.0,394.0,0.0
