ID,SoortAfzet,Perioden,TotaalVervoer_1,TotaalWegverkeer_2,AutogasLpg_3,TotaalMotorbenzine_4,Euro95_5,SuperOngelood98_6,NormaalGelood_7,SuperGelood_8,TotaalAutodiesel_9,Laagzwavelig_10,Hoogzwavelig_11,Aardgas_12,Elektriciteit_13,TotaalScheepvaart_14,TotaalGasolieEnLichteStookolie_15,AfzetAanBinnenvaart_16,AfzetAanZeevaart_17,AfzetAanHandelarenScheepvaart_18,TotaalStookolie_19,Laagzwavelig_20,Hoogzwavelig_21,TotaalLuchtvaart_22,Vliegtuigkerosine_23,Vliegtuigbenzine_24,JetfuelOpBenzinebasis_25,TotaalRailverkeer_26,GasolieEnLichteStookolie_27,Elektriciteit_28,AutogasLpg_29,TotaalMotorbenzine_30,Euro95_31,SuperOngelood98_32,NormaalGelood_33,SuperGelood_34,TotaalAutodiesel_35,Laagzwavelig_36,Hoogzwavelig_37,Aardgas_38,Elektriciteit_39,TotaalGasolieEnLichteStookolie_40,AfzetAanBinnenvaart_41,AfzetAanZeevaart_42,AfzetAanHandelarenScheepvaart_43,TotaalStookolie_44,Laagzwavelig_45,Hoogzwavelig_46,Vliegtuigkerosine_47,Vliegtuigbenzine_48,JetfuelOpBenzinebasis_49,GasolieEnLichteStookolie_50,Elektriciteit_51,AutogasLpg_52,TotaalMotorbenzine_53,Euro95_54,SuperOngelood98_55,NormaalGelood_56,SuperGelood_57,TotaalAutodiesel_58,Laagzwavelig_59,Hoogzwavelig_60
67,a,2000MM11,95.5,38.6,2.2,15.3,13.9,1.4,,,21.2,21.2,0.0,,,44.6,7.5,3.6,3.9,0.0,37.1,0.1,37.0,11.7,11.7,0.0,,,,,48.0,347.0,316.0,31.0,,,497.0,497.0,0.0,,,175.0,84.0,91.0,0.0,904.0,2.0,903.0,268.0,0.0,,,,90.0,461.0,419.0,42.0,,,594.0,594.0,0.0
68,a,2000MM12,98.8,36.2,2.0,15.5,14.1,1.4,,,18.7,18.7,0.0,,,51.1,8.5,4.3,4.0,0.2,42.6,0.2,42.4,11.0,10.9,0.0,,,,,43.0,353.0,321.0,31.0,,,437.0,437.0,0.0,,,198.0,100.0,93.0,5.0,1039.0,5.0,1034.0,252.0,0.0,,,,82.0,468.0,427.0,42.0,,,523.0,523.0,0.0
69,a,2000KW04,292.9,111.5,6.3,45.4,41.2,4.2,,,59.8,59.8,0.0,0.0,0.0,145.3,24.6,12.0,11.9,0.7,120.7,0.4,120.3,34.3,34.2,0.0,,1.8,0.4,1.5,139.0,1031.0,936.0,95.0,,,1401.0,1401.0,0.0,0.0,1.0,576.0,281.0,278.0,17.0,2944.0,10.0,2934.0,787.0,1.0,,9.0,407.0,261.0,1369.0,1243.0,126.0,,,1677.0,1677.0,0.0
70,a,2000JJ00,1148.3,434.2,25.6,177.3,157.7,19.6,,,231.3,231.3,0.0,0.0,0.0,564.8,92.0,42.5,47.2,2.3,472.8,1.7,471.1,141.8,141.6,0.2,,7.4,1.5,5.9,566.0,4030.0,3583.0,446.0,,,5416.0,5416.0,0.0,0.0,5.0,2154.0,995.0,1105.0,54.0,11533.0,42.0,11491.0,3256.0,4.0,,36.0,1625.0,1069.0,5347.0,4756.0,592.0,,,6483.0,6483.0,0.0
71,a,2001MM01,95.8,34.7,2.0,14.5,13.3,1.2,,,18.3,18.3,0.0,,,50.0,7.6,3.9,3.7,0.0,42.4,0.1,42.3,10.4,10.4,0.0,,,,,44.0,329.0,301.0,28.0,,,428.0,428.0,0.0,,,179.0,91.0,88.0,0.0,1035.0,2.0,1033.0,238.0,0.0,,,,82.0,438.0,401.0,37.0,,,511.0,511.0,0.0
72,a,2001MM02,88.2,32.9,1.9,13.7,12.5,1.2,,,17.3,17.3,0.0,,,44.2,6.7,3.3,3.4,0.0,37.5,0.2,37.3,10.4,10.4,0.0,,,,,43.0,312.0,284.0,28.0,,,405.0,405.0,0.0,,,157.0,78.0,79.0,0.0,915.0,4.0,911.0,238.0,0.0,,,,81.0,415.0,378.0,37.0,,,484.0,484.0,0.0
73,a,2001MM03,104.6,39.4,2.1,15.0,13.7,1.3,,,22.2,22.2,0.0,,,52.8,8.5,4.2,4.2,0.1,44.3,0.1,44.2,11.8,11.7,0.0,,,,,46.0,342.0,312.0,30.0,,,521.0,521.0,0.0,,,200.0,98.0,99.0,3.0,1080.0,3.0,1078.0,270.0,0.0,,,,87.0,455.0,416.0,39.0,,,622.0,622.0,0.0
74,a,2001KW01,288.5,107.0,6.0,43.2,39.5,3.7,,,57.8,57.8,0.0,0.0,0.0,147.1,22.9,11.4,11.4,0.1,124.2,0.3,123.9,32.5,32.5,0.0,,1.9,0.4,1.6,132.0,982.0,897.0,85.0,,,1353.0,1353.0,0.0,0.0,1.0,536.0,267.0,266.0,3.0,3030.0,8.0,3021.0,746.0,1.0,,9.0,438.0,250.0,1308.0,1195.0,113.0,,,1618.0,1618.0,0.0
75,a,2001MM04,98.5,35.8,2.0,14.8,13.5,1.3,,,19.1,19.1,0.0,,,51.4,7.6,3.9,3.5,0.2,43.8,0.1,43.7,10.7,10.7,0.0,,,,,44.0,336.0,306.0,30.0,,,447.0,447.0,0.0,,,178.0,91.0,83.0,4.0,1067.0,2.0,1065.0,246.0,0.0,,,,82.0,447.0,408.0,40.0,,,534.0,534.0,0.0
76,a,2001MM05,107.2,40.2,2.0,16.5,15.1,1.5,,,21.6,21.6,0.0,,,54.2,8.8,4.6,3.8,0.4,45.4,0.1,45.3,12.3,12.3,0.0,,,,,45.0,376.0,342.0,33.0,,,506.0,506.0,0.0,,,205.0,109.0,88.0,8.0,1108.0,2.0,1106.0,282.0,1.0,,,,85.0,500.0,456.0,44.0,,,605.0,605.0,0.0
77,a,2001MM06,95.7,36.4,1.9,14.9,13.6,1.3,,,19.5,19.5,0.0,,,47.5,7.1,3.7,3.6,-0.2,40.5,0.1,40.5,11.2,11.1,0.0,,,,,43.0,340.0,309.0,30.0,,,457.0,457.0,0.0,,,165.0,86.0,84.0,-5.0,988.0,2.0,987.0,256.0,0.0,,,,81.0,452.0,412.0,40.0,,,547.0,547.0,0.0
78,a,2001KW02,301.4,112.4,5.9,46.3,42.2,4.1,,,60.2,60.2,0.0,0.0,0.0,153.1,23.4,12.2,10.9,0.3,129.7,0.3,129.5,34.2,34.1,0.1,,1.7,0.4,1.3,131.0,1052.0,958.0,93.0,,,1410.0,1410.0,0.0,0.0,1.0,547.0,285.0,254.0,8.0,3164.0,6.0,3158.0,784.0,1.0,,9.0,369.0,248.0,1399.0,1275.0,124.0,,,1685.0,1685.0,0.0
79,a,2001MM07,95.5,34.8,1.9,14.3,13.0,1.3,,,18.7,18.7,0.0,,,47.3,7.7,4.0,3.7,0.0,39.5,0.1,39.4,12.8,12.8,0.0,,,,,41.0,325.0,296.0,29.0,,,438.0,438.0,0.0,,,182.0,94.0,87.0,1.0,963.0,2.0,961.0,294.0,0.0,,,,78.0,432.0,394.0,38.0,,,524.0,524.0,0.0
80,a,2001MM08,99.3,34.7,1.9,14.9,13.6,1.3,,,17.9,17.9,0.0,,,51.7,8.3,4.0,4.1,0.2,43.4,0.1,43.3,12.4,12.4,0.0,,,,,41.0,339.0,309.0,29.0,,,419.0,419.0,0.0,,,195.0,93.0,96.0,6.0,1059.0,2.0,1057.0,284.0,1.0,,,,77.0,450.0,411.0,39.0,,,501.0,501.0,0.0
81,a,2001MM09,96.8,35.6,1.8,14.4,13.2,1.3,,,19.4,19.4,0.0,,,48.8,7.4,4.0,3.4,0.0,41.5,0.1,41.3,11.8,11.7,0.0,,,,,40.0,328.0,299.0,28.0,,,455.0,455.0,0.0,,,173.0,94.0,80.0,-1.0,1011.0,3.0,1008.0,270.0,0.0,,,,76.0,436.0,398.0,38.0,,,544.0,544.0,0.0
82,a,2001KW03,291.6,105.1,5.5,43.6,39.8,3.8,,,56.0,56.0,0.0,0.0,0.0,147.8,23.5,12.0,11.2,0.3,124.3,0.3,124.0,37.0,36.9,0.1,,1.6,0.4,1.3,122.0,991.0,905.0,87.0,,,1312.0,1312.0,0.0,0.0,1.0,550.0,282.0,262.0,6.0,3033.0,7.0,3026.0,848.0,1.0,,9.0,357.0,230.0,1318.0,1203.0,115.0,,,1568.0,1568.0,0.0
83,a,2001MM10,101.1,40.8,2.1,16.4,15.1,1.3,,,22.3,22.3,0.0,,,48.2,8.2,4.2,3.8,0.2,39.9,0.1,39.8,11.5,11.5,0.0,,,,,47.0,373.0,342.0,30.0,,,522.0,522.0,0.0,,,193.0,99.0,89.0,5.0,973.0,3.0,970.0,264.0,0.0,,,,88.0,496.0,455.0,40.0,,,624.0,624.0,0.0
84,a,2001MM11,109.8,39.6,2.1,16.1,14.8,1.3,,,21.5,21.5,0.0,,,58.4,8.5,4.3,4.0,0.2,49.8,0.3,49.5,11.2,11.2,0.0,,,,,46.0,365.0,336.0,29.0,,,503.0,503.0,0.0,,,202.0,102.0,94.0,6.0,1214.0,7.0,1207.0,258.0,0.0,,,,86.0,486.0,447.0,39.0,,,602.0,602.0,0.0
85,a,2001MM12,109.3,36.0,1.9,15.7,14.4,1.3,,,18.4,18.4,0.0,,,61.3,7.6,4.0,3.4,0.2,53.7,0.2,53.5,11.4,11.4,0.0,,,,,43.0,357.0,328.0,28.0,,,430.0,430.0,0.0,,,178.0,94.0,80.0,4.0,1310.0,4.0,1306.0,262.0,0.0,,,,81.0,474.0,436.0,38.0,,,514.0,514.0,0.0
86,a,2001KW04,320.3,116.4,6.1,48.2,44.3,3.9,,,62.1,62.1,0.0,0.0,0.0,167.9,24.4,12.6,11.2,0.6,143.4,0.6,142.8,34.2,34.1,0.0,,1.8,0.4,1.5,135.0,1095.0,1007.0,88.0,,,1455.0,1455.0,0.0,0.0,1.0,573.0,295.0,263.0,15.0,3497.0,14.0,3483.0,785.0,1.0,,9.0,408.0,254.0,1455.0,1338.0,117.0,,,1739.0,1739.0,0.0
87,a,2001JJ00,1201.8,441.0,23.5,181.3,165.7,15.5,,,236.1,236.1,0.0,0.0,0.0,615.9,94.1,48.2,44.6,1.3,521.7,1.5,520.2,137.8,137.6,0.2,,7.1,1.5,5.7,521.0,4120.0,3767.0,353.0,,,5530.0,5530.0,0.0,0.0,5.0,2207.0,1129.0,1046.0,32.0,12724.0,36.0,12688.0,3164.0,4.0,,34.0,1572.0,982.0,5481.0,5012.0,469.0,,,6611.0,6611.0,0.0
88,a,2002MM01,96.8,35.8,1.9,14.9,13.7,1.2,,,19.0,19.0,0.0,,,49.1,7.2,3.7,3.3,0.2,41.8,0.1,41.7,11.3,11.3,0.0,,,,,43.0,338.0,311.0,27.0,,,445.0,445.0,0.0,,,170.0,87.0,77.0,6.0,1020.0,2.0,1018.0,260.0,0.0,,,,80.0,452.0,417.0,36.0,,,536.0,536.0,0.0
89,a,2002MM02,94.2,35.0,1.8,14.0,12.9,1.1,,,19.2,19.2,0.0,,,47.8,6.9,3.6,3.2,0.1,40.9,0.1,40.8,10.7,10.7,0.0,,,,,41.0,318.0,292.0,26.0,,,450.0,450.0,0.0,,,162.0,84.0,75.0,3.0,997.0,2.0,995.0,245.0,0.0,,,,77.0,427.0,392.0,35.0,,,539.0,539.0,0.0
90,a,2002MM03,100.6,38.6,1.8,15.6,14.4,1.2,,,21.2,21.2,0.0,,,50.5,7.8,4.1,3.3,0.4,42.8,0.1,42.7,10.8,10.8,0.0,,,,,39.0,355.0,328.0,28.0,,,497.0,497.0,0.0,,,181.0,96.0,76.0,9.0,1044.0,3.0,1041.0,247.0,0.0,,,,74.0,474.0,437.0,37.0,,,593.0,593.0,0.0
91,a,2002KW01,291.5,109.4,5.5,44.5,41.0,3.5,,,59.4,59.4,0.0,0.0,0.0,147.4,22.0,11.4,9.8,0.8,125.5,0.3,125.2,32.7,32.7,0.0,,1.9,0.4,1.6,122.0,1011.0,931.0,80.0,,,1391.0,1391.0,0.0,0.0,1.0,512.0,266.0,228.0,18.0,3062.0,8.0,3054.0,752.0,1.0,,8.0,443.0,231.0,1354.0,1246.0,108.0,,,1668.0,1668.0,0.0
92,a,2002MM04,100.4,37.5,2.1,15.2,13.9,1.2,,,20.3,20.3,0.0,,,50.7,7.7,4.0,3.3,0.4,43.1,0.1,43.0,11.6,11.6,0.0,,,,,46.0,345.0,316.0,28.0,,,475.0,475.0,0.0,,,180.0,94.0,77.0,9.0,1050.0,2.0,1048.0,267.0,0.0,,,,87.0,462.0,424.0,39.0,,,567.0,567.0,0.0
93,a,2002MM05,107.3,39.2,2.0,16.2,14.9,1.3,,,20.9,20.9,0.0,,,54.4,8.1,4.1,3.6,0.4,46.4,0.2,46.1,13.2,13.2,0.0,,,,,45.0,369.0,338.0,31.0,,,489.0,489.0,0.0,,,188.0,96.0,83.0,9.0,1131.0,6.0,1125.0,303.0,0.0,,,,85.0,494.0,452.0,41.0,,,585.0,585.0,0.0
94,a,2002MM06,107.7,36.5,1.7,14.7,13.4,1.3,,,20.0,20.0,0.0,,,58.6,7.9,3.8,3.7,0.4,50.7,0.1,50.6,12.2,12.1,0.0,,,,,38.0,334.0,305.0,29.0,,,469.0,469.0,0.0,,,183.0,89.0,85.0,9.0,1237.0,2.0,1235.0,279.0,0.0,,,,72.0,448.0,409.0,39.0,,,560.0,560.0,0.0
95,a,2002KW02,315.5,113.1,5.9,46.1,42.2,3.9,,,61.2,61.2,0.0,0.0,0.0,163.7,23.5,11.9,10.5,1.1,140.1,0.4,139.7,37.0,36.9,0.1,,1.7,0.4,1.4,130.0,1048.0,960.0,88.0,,,1433.0,1433.0,0.0,0.0,1.0,552.0,279.0,246.0,27.0,3418.0,10.0,3408.0,848.0,1.0,,8.0,379.0,244.0,1404.0,1285.0,119.0,,,1712.0,1712.0,0.0
96,a,2002MM07,100.3,37.7,1.8,15.7,14.5,1.2,,,20.2,20.2,0.0,,,48.4,7.3,3.9,3.3,0.1,41.1,0.1,41.0,13.7,13.7,0.0,,,,,40.0,357.0,330.0,27.0,,,474.0,474.0,0.0,,,170.0,91.0,76.0,3.0,1002.0,2.0,1000.0,315.0,0.0,,,,76.0,475.0,439.0,36.0,,,566.0,566.0,0.0
97,a,2002MM08,103.7,35.0,1.7,14.4,13.3,1.2,,,18.8,18.8,0.0,,,55.4,7.4,3.9,3.2,0.3,48.0,0.2,47.8,12.8,12.8,0.0,,,,,38.0,328.0,302.0,27.0,,,441.0,441.0,0.0,,,174.0,91.0,76.0,7.0,1171.0,6.0,1165.0,293.0,0.0,,,,71.0,439.0,403.0,36.0,,,526.0,526.0,0.0
98,a,2002MM09,97.4,37.0,1.8,14.7,13.6,1.1,,,20.5,20.5,0.0,,,47.3,7.4,4.0,3.0,0.4,39.9,0.2,39.7,12.6,12.6,0.0,,,,,40.0,334.0,310.0,24.0,,,481.0,481.0,0.0,,,174.0,95.0,71.0,8.0,972.0,4.0,968.0,289.0,0.0,,,,76.0,448.0,415.0,33.0,,,574.0,574.0,0.0
99,a,2002KW03,301.4,109.7,5.3,44.8,41.4,3.4,,,59.6,59.6,0.0,0.0,0.0,151.0,22.1,11.8,9.5,0.8,128.9,0.5,128.4,39.1,39.0,0.1,,1.6,0.4,1.3,118.0,1019.0,941.0,77.0,,,1395.0,1395.0,0.0,0.0,1.0,517.0,276.0,223.0,18.0,3145.0,13.0,3132.0,897.0,1.0,,8.0,351.0,222.0,1361.0,1257.0,104.0,,,1666.0,1666.0,0.0
100,a,2002MM10,105.5,41.3,2.0,16.3,15.2,1.1,,,23.0,23.0,0.0,,,51.3,8.0,4.3,3.4,0.3,43.3,0.1,43.2,12.4,12.4,0.0,,,,,43.0,370.0,345.0,25.0,,,540.0,540.0,0.0,,,188.0,100.0,80.0,8.0,1055.0,2.0,1053.0,284.0,0.0,,,,82.0,495.0,461.0,34.0,,,645.0,645.0,0.0
101,a,2002MM11,101.6,38.7,1.8,15.9,14.8,1.0,,,21.1,21.1,0.0,,,51.0,8.0,4.3,3.3,0.4,42.9,0.1,42.8,11.4,11.4,0.0,,,,,39.0,361.0,337.0,24.0,,,494.0,494.0,0.0,,,189.0,101.0,78.0,10.0,1046.0,3.0,1043.0,261.0,0.0,,,,74.0,481.0,449.0,32.0,,,589.0,589.0,0.0
102,a,2002MM12,97.4,37.8,1.7,15.9,14.8,1.0,,,20.3,20.3,0.0,,,47.7,7.4,3.8,3.3,0.3,40.3,0.2,40.1,11.4,11.4,0.0,,,,,37.0,361.0,337.0,24.0,,,475.0,475.0,0.0,,,174.0,89.0,78.0,7.0,982.0,4.0,978.0,261.0,0.0,,,,69.0,484.0,452.0,32.0,,,568.0,568.0,0.0
103,a,2002KW04,304.6,117.8,5.4,48.0,44.8,3.2,,,64.4,64.4,0.0,0.0,0.0,149.9,23.6,12.4,10.1,1.1,126.4,0.4,126.0,35.1,35.1,0.0,,1.7,0.4,1.4,120.0,1091.0,1019.0,72.0,,,1508.0,1508.0,0.0,0.0,1.0,551.0,290.0,236.0,25.0,3083.0,9.0,3074.0,806.0,1.0,,8.0,379.0,226.0,1460.0,1362.0,98.0,,,1802.0,1802.0,0.0
104,a,2002JJ00,1213.1,450.1,22.1,183.4,169.4,14.0,,,244.6,244.6,0.0,0.0,0.0,612.1,91.1,47.5,39.9,3.7,521.0,1.6,519.4,143.9,143.7,0.2,,7.0,1.4,5.6,489.0,4169.0,3851.0,318.0,,,5727.0,5727.0,0.0,1.0,6.0,2132.0,1112.0,933.0,87.0,12708.0,40.0,12668.0,3304.0,4.0,,33.0,1551.0,923.0,5579.0,5150.0,429.0,,,6848.0,6848.0,0.0
105,a,2003MM01,90.0,35.8,1.7,14.8,13.9,0.9,,,19.4,19.4,0.0,,,44.3,6.4,3.6,2.6,0.2,38.0,0.1,37.9,9.2,9.2,0.0,,,,,37.0,336.0,315.0,20.0,,,454.0,454.0,0.0,,,147.0,83.0,60.0,4.0,928.0,3.0,925.0,212.0,0.0,,,,70.0,447.0,420.0,27.0,,,542.0,542.0,0.0
106,a,2003MM02,93.4,36.3,1.7,14.4,13.5,0.9,,,20.2,20.2,0.0,,,47.0,6.6,3.8,2.6,0.2,40.5,0.1,40.4,9.5,9.5,0.0,,,,,38.0,326.0,306.0,20.0,,,473.0,473.0,0.0,,,154.0,89.0,61.0,4.0,987.0,2.0,985.0,217.0,0.0,,,,71.0,435.0,408.0,27.0,,,565.0,565.0,0.0
107,a,2003MM03,96.2,37.3,1.6,14.7,13.8,1.0,,,21.0,21.0,0.0,,,46.4,6.7,3.7,2.9,0.1,39.7,0.1,39.6,11.9,11.9,0.0,,,,,36.0,335.0,313.0,22.0,,,491.0,491.0,0.0,,,156.0,87.0,67.0,2.0,968.0,2.0,966.0,273.0,0.0,,,,68.0,447.0,418.0,29.0,,,587.0,587.0,0.0
108,a,2003KW01,279.6,109.4,5.0,43.8,41.1,2.7,,,60.6,60.6,0.0,0.0,0.0,137.7,19.5,11.1,8.0,0.4,118.2,0.3,117.9,30.6,30.5,0.0,,1.8,0.3,1.5,111.0,996.0,934.0,62.0,,,1418.0,1418.0,0.0,0.0,1.0,457.0,259.0,188.0,10.0,2883.0,7.0,2876.0,702.0,1.0,,8.0,417.0,209.0,1329.0,1246.0,83.0,,,1694.0,1694.0,0.0
109,a,2003MM04,98.4,38.7,1.7,15.6,14.5,1.0,,,21.5,21.5,0.0,,,47.9,7.2,3.8,3.2,0.2,40.7,0.1,40.6,11.2,11.2,0.0,,,,,37.0,354.0,330.0,24.0,,,503.0,503.0,0.0,,,168.0,89.0,74.0,5.0,993.0,2.0,991.0,257.0,0.0,,,,70.0,472.0,440.0,32.0,,,601.0,601.0,0.0
110,a,2003MM05,98.9,40.1,1.8,16.0,14.9,1.1,,,22.3,22.3,0.0,,,45.8,7.5,4.0,3.2,0.3,38.3,0.0,38.3,12.4,12.4,0.0,,,,,40.0,363.0,339.0,24.0,,,523.0,523.0,0.0,,,176.0,95.0,74.0,7.0,935.0,0.0,935.0,286.0,0.0,,,,76.0,484.0,452.0,32.0,,,624.0,624.0,0.0
111,a,2003MM06,97.8,37.6,1.7,15.5,14.4,1.1,,,20.4,20.4,0.0,,,47.4,6.8,2.0,4.6,0.2,40.5,0.0,40.5,12.2,12.2,0.0,,,,,37.0,352.0,328.0,24.0,,,479.0,479.0,0.0,,,162.0,48.0,109.0,5.0,987.0,0.0,987.0,281.0,0.0,,,,70.0,470.0,437.0,32.0,,,572.0,572.0,0.0
112,a,2003KW02,295.1,116.4,5.2,47.0,43.8,3.2,,,64.2,64.2,0.0,0.0,0.0,141.1,21.6,9.9,11.0,0.7,119.5,0.1,119.4,35.9,35.8,0.0,,1.7,0.3,1.4,115.0,1068.0,996.0,72.0,,,1504.0,1504.0,0.0,0.0,1.0,505.0,231.0,257.0,17.0,2915.0,2.0,2913.0,823.0,1.0,,8.0,378.0,217.0,1425.0,1329.0,96.0,,,1797.0,1797.0,0.0
113,a,2003MM07,98.1,37.6,1.6,15.6,14.5,1.1,,,20.5,20.5,0.0,,,46.9,6.2,3.4,2.7,0.1,40.6,0.0,40.6,13.0,13.0,0.0,,,,,36.0,353.0,329.0,25.0,,,479.0,479.0,0.0,,,147.0,80.0,64.0,3.0,991.0,0.0,991.0,298.0,0.0,,,,69.0,472.0,438.0,33.0,,,572.0,572.0,0.0
114,a,2003MM08,94.6,34.5,1.4,14.3,13.3,1.0,,,18.8,18.8,0.0,,,45.9,7.1,3.3,3.5,0.3,38.8,0.0,38.8,13.6,13.6,0.0,,,,,31.0,325.0,303.0,22.0,,,439.0,439.0,0.0,,,168.0,78.0,82.0,8.0,947.0,0.0,947.0,313.0,0.0,,,,59.0,434.0,404.0,30.0,,,525.0,525.0,0.0
115,a,2003MM09,103.3,40.0,1.7,15.8,14.8,1.0,,,22.6,22.6,0.0,,,50.4,6.7,3.5,2.9,0.3,43.7,0.0,43.7,12.3,12.3,0.0,,,,,37.0,358.0,335.0,23.0,,,529.0,529.0,0.0,,,158.0,82.0,69.0,7.0,1066.0,0.0,1066.0,282.0,0.0,,,,69.0,478.0,447.0,31.0,,,632.0,632.0,0.0
116,a,2003KW03,296.0,112.1,4.7,45.6,42.5,3.1,,,61.8,61.8,0.0,0.0,0.0,143.3,20.2,10.3,9.2,0.7,123.1,0.0,123.1,38.9,38.9,0.0,,1.6,0.3,1.3,104.0,1037.0,967.0,70.0,,,1447.0,1447.0,0.0,0.0,1.0,471.0,240.0,214.0,17.0,3004.0,0.0,3004.0,894.0,1.0,,8.0,361.0,197.0,1384.0,1290.0,94.0,,,1729.0,1729.0,0.0
117,a,2003MM10,105.0,41.5,1.8,16.4,15.3,1.0,,,23.4,23.4,0.0,,,50.3,7.1,3.8,3.1,0.2,43.1,0.0,43.1,12.5,12.5,0.0,,,,,39.0,372.0,349.0,23.0,,,548.0,548.0,0.0,,,169.0,90.0,74.0,5.0,1052.0,0.0,1052.0,288.0,0.0,,,,74.0,496.0,465.0,31.0,,,655.0,655.0,0.0
118,a,2003MM11,97.9,37.3,1.3,14.5,13.7,0.9,,,21.4,21.4,0.0,,,47.8,6.6,3.6,2.7,0.3,41.3,0.0,41.3,12.2,12.2,0.0,,,,,30.0,331.0,311.0,20.0,,,500.0,500.0,0.0,,,153.0,85.0,62.0,6.0,1007.0,0.0,1007.0,281.0,0.0,,,,56.0,441.0,415.0,26.0,,,597.0,597.0,0.0
119,a,2003MM12,105.3,40.9,1.5,16.8,15.8,1.0,,,22.6,22.6,0.0,,,52.6,7.0,3.8,2.7,0.5,45.6,0.0,45.5,11.2,11.2,0.0,,,,,33.0,382.0,359.0,23.0,,,529.0,529.0,0.0,,,164.0,89.0,63.0,12.0,1112.0,1.0,1111.0,258.0,0.0,,,,63.0,509.0,479.0,31.0,,,632.0,632.0,0.0
120,a,2003KW04,308.2,119.7,4.6,47.7,44.8,2.9,,,67.3,67.3,0.0,0.0,0.0,150.7,20.7,11.2,8.5,1.0,130.0,0.0,129.9,36.0,36.0,0.0,,1.9,0.3,1.5,103.0,1084.0,1019.0,66.0,,,1577.0,1577.0,0.0,0.0,1.0,485.0,263.0,199.0,23.0,3170.0,1.0,3169.0,827.0,1.0,,8.0,424.0,193.0,1446.0,1358.0,88.0,,,1884.0,1884.0,0.0
121,a,2003JJ00,1178.9,457.7,19.5,184.2,172.3,11.9,,,254.0,254.0,0.0,0.0,0.0,572.8,82.0,42.5,36.7,2.8,490.8,0.4,490.4,141.3,141.2,0.2,,7.1,1.4,5.7,433.0,4186.0,3916.0,269.0,,,5947.0,5947.0,0.0,1.0,6.0,1919.0,994.0,858.0,67.0,11971.0,10.0,11962.0,3246.0,3.0,,33.0,1579.0,816.0,5584.0,5224.0,360.0,,,7104.0,7104.0,0.0
122,a,2004MM01,95.5,35.5,1.5,14.2,13.5,0.7,,,19.8,19.8,0.0,,,46.9,6.4,3.7,2.7,0.0,40.5,0.0,40.5,12.5,12.4,0.0,,,,,34.0,322.0,306.0,16.0,,,464.0,464.0,0.0,,,151.0,87.0,64.0,0.0,987.0,0.0,987.0,286.0,0.0,,,,64.0,430.0,408.0,22.0,,,554.0,554.0,0.0
123,a,2004MM02,93.9,35.8,1.5,13.8,12.7,1.1,,,20.6,20.6,0.0,,,46.3,6.2,3.4,2.7,0.1,40.1,0.2,39.8,11.1,11.1,0.0,,,,,32.0,313.0,288.0,25.0,,,482.0,482.0,0.0,,,146.0,81.0,62.0,3.0,978.0,6.0,972.0,256.0,0.0,,,,61.0,417.0,384.0,33.0,,,576.0,576.0,0.0
124,a,2004MM03,108.1,41.9,1.7,16.4,15.1,1.2,,,23.8,23.8,0.0,,,52.6,6.7,3.8,2.7,0.2,45.9,0.0,45.9,12.9,12.9,0.0,,,,,38.0,372.0,343.0,28.0,,,557.0,557.0,0.0,,,156.0,89.0,63.0,4.0,1120.0,0.0,1120.0,297.0,0.0,,,,73.0,496.0,458.0,38.0,,,666.0,666.0,0.0
125,a,2004KW01,297.6,113.2,4.7,44.3,41.2,3.1,,,64.2,64.2,0.0,0.0,0.0,145.8,19.4,11.0,8.1,0.3,126.5,0.3,126.2,36.5,36.5,0.0,,2.0,0.4,1.7,104.0,1007.0,937.0,70.0,,,1503.0,1503.0,0.0,0.0,1.0,453.0,257.0,189.0,7.0,3085.0,6.0,3079.0,839.0,1.0,,9.0,463.0,197.0,1343.0,1250.0,93.0,,,1796.0,1796.0,0.0
126,a,2004MM04,105.3,40.3,1.5,16.7,15.3,1.4,,,22.1,22.1,0.0,,,52.3,6.8,3.8,2.9,0.1,45.5,0.0,45.5,12.1,12.1,0.0,,,,,33.0,379.0,347.0,32.0,,,517.0,517.0,0.0,,,158.0,89.0,67.0,2.0,1111.0,0.0,1111.0,278.0,0.0,,,,63.0,505.0,463.0,42.0,,,618.0,618.0,0.0
127,a,2004MM05,102.9,37.2,1.4,14.9,14.0,0.9,,,20.9,20.9,0.0,,,52.5,7.0,3.8,2.8,0.4,45.6,0.0,45.5,12.6,12.6,0.0,,,,,31.0,338.0,318.0,20.0,,,490.0,490.0,0.0,,,162.0,88.0,65.0,9.0,1111.0,1.0,1110.0,290.0,0.0,,,,59.0,450.0,424.0,26.0,,,585.0,585.0,0.0
128,a,2004MM06,106.6,39.8,1.4,15.6,14.8,0.9,,,22.7,22.7,0.0,,,53.6,6.6,3.6,2.9,0.1,47.1,0.0,47.0,12.6,12.6,0.0,,,,,32.0,356.0,336.0,20.0,,,533.0,533.0,0.0,,,153.0,85.0,67.0,1.0,1148.0,1.0,1147.0,289.0,0.0,,,,59.0,475.0,448.0,27.0,,,637.0,637.0,0.0
