ID,BelastingschijfElektriciteit,SBI2008,Perioden,AantalDoorDeSchijfGehaaldeEenheden_1,LeveringVoorEigenGebruik_2,ElektriciteitsproductieTotaal_3,ElektriciteitsproductieAflevering_4,ElektriciteitsproductieVerbruik_5
0,A050892,T001081,2019JJ00,947410,81551600.0,117798900.0,,
1,A050892,T001081,2020JJ00,949125,78643400.0,118471400.0,,
2,A050892,T001081,2022JJ00,940410,76529300.0,112872100.0,,
3,A050892,301000 ,2019JJ00,78330,7104400.0,12158300.0,,
4,A050892,301000 ,2020JJ00,79170,6990300.0,12446600.0,,
5,A050892,301000 ,2022JJ00,67535,4715800.0,10529200.0,,
6,A050892,305700 ,2019JJ00,1560,2386500.0,0.0,,
7,A050892,305700 ,2020JJ00,1565,2064200.0,0.0,,
8,A050892,305700 ,2022JJ00,1520,2097400.0,5300.0,,
9,A050892,307500 ,2019JJ00,32945,33151400.0,7009400.0,2506900.0,4502500.0
10,A050892,307500 ,2020JJ00,32700,31808900.0,10022200.0,4469500.0,5552700.0
11,A050892,307500 ,2022JJ00,34010,30638900.0,9385800.0,4268800.0,5117000.0
12,A050892,307610 ,2019JJ00,4515,5768800.0,1255700.0,287300.0,968400.0
13,A050892,307610 ,2020JJ00,4405,5680300.0,1410000.0,348000.0,1062000.0
14,A050892,307610 ,2022JJ00,4625,5787500.0,1335100.0,369200.0,966000.0
15,A050892,307700 ,2019JJ00,335,800500.0,3500.0,0.0,3500.0
16,A050892,307700 ,2020JJ00,335,720400.0,10700.0,3800.0,6900.0
17,A050892,307700 ,2022JJ00,330,732600.0,14300.0,3200.0,11100.0
18,A050892,308300 ,2019JJ00,140,623400.0,,,
19,A050892,308300 ,2020JJ00,135,610400.0,,,
20,A050892,308300 ,2022JJ00,150,646400.0,,1400.0,
21,A050892,308700 ,2019JJ00,30,193600.0,283100.0,,
22,A050892,308700 ,2020JJ00,30,177600.0,294500.0,,
23,A050892,308700 ,2022JJ00,25,176700.0,,,207800.0
24,A050892,309000 ,2019JJ00,175,1036200.0,80400.0,13800.0,66600.0
25,A050892,309000 ,2020JJ00,180,1044100.0,179200.0,46800.0,132400.0
26,A050892,309000 ,2022JJ00,190,1019900.0,,,110600.0
27,A050892,309300 ,2019JJ00,65,392800.0,524100.0,124900.0,399200.0
28,A050892,309300 ,2020JJ00,70,451500.0,565600.0,137900.0,427700.0
29,A050892,309300 ,2022JJ00,70,476100.0,,178200.0,
30,A050892,310000 ,2019JJ00,3300,1557500.0,146200.0,15100.0,131100.0
31,A050892,310000 ,2020JJ00,3170,1641600.0,145300.0,15700.0,129700.0
32,A050892,310000 ,2022JJ00,3275,1691000.0,155600.0,14600.0,141000.0
33,A050892,311000 ,2019JJ00,165,712900.0,,,1900.0
34,A050892,311000 ,2020JJ00,165,639300.0,,,4500.0
35,A050892,311000 ,2022JJ00,160,661700.0,,,6500.0
36,A050892,312200 ,2019JJ00,300,451900.0,92100.0,9200.0,82800.0
37,A050892,312200 ,2020JJ00,330,395300.0,88400.0,13000.0,75300.0
38,A050892,312200 ,2022JJ00,420,383100.0,99900.0,7800.0,92100.0
39,A050892,312500 ,2019JJ00,860,276900.0,2100.0,100.0,2000.0
40,A050892,312500 ,2020JJ00,870,371800.0,4000.0,300.0,3600.0
41,A050892,312500 ,2022JJ00,935,332400.0,16000.0,7600.0,8400.0
42,A050892,312505 ,2019JJ00,1655,329000.0,5400.0,2800.0,2600.0
43,A050892,312505 ,2020JJ00,1630,433000.0,5800.0,300.0,5500.0
44,A050892,312505 ,2022JJ00,1730,378000.0,21100.0,11700.0,9400.0
45,A050892,314000 ,2019JJ00,600,7900.0,300.0,0.0,300.0
46,A050892,314000 ,2020JJ00,570,6700.0,300.0,0.0,300.0
47,A050892,314000 ,2022JJ00,585,5200.0,,700.0,
48,A050892,315200 ,2019JJ00,200,44200.0,3000.0,2700.0,300.0
49,A050892,315200 ,2020JJ00,195,54500.0,1500.0,0.0,1500.0
50,A050892,315200 ,2022JJ00,210,40400.0,,3400.0,
51,A050892,315800 ,2019JJ00,1340,161000.0,39000.0,17200.0,21800.0
52,A050892,315800 ,2020JJ00,1385,208600.0,45700.0,20600.0,25100.0
53,A050892,315800 ,2022JJ00,1500,254600.0,49300.0,23600.0,25700.0
54,A050892,317105 ,2019JJ00,1890,1638000.0,727700.0,201600.0,526000.0
55,A050892,317105 ,2020JJ00,1835,1575800.0,661100.0,135800.0,525300.0
56,A050892,317105 ,2022JJ00,1705,1461500.0,637400.0,184200.0,453200.0
57,A050892,317100 ,2019JJ00,305,1331600.0,726000.0,201100.0,524800.0
58,A050892,317100 ,2020JJ00,310,1223500.0,659600.0,135700.0,524000.0
59,A050892,317100 ,2022JJ00,285,1180400.0,619200.0,175900.0,443400.0
60,A050892,318600 ,2019JJ00,1585,306400.0,1700.0,500.0,1200.0
61,A050892,318600 ,2020JJ00,1520,352300.0,1500.0,200.0,1400.0
62,A050892,318600 ,2022JJ00,1420,281100.0,18200.0,8300.0,9800.0
63,A050892,320000 ,2019JJ00,10,1648400.0,1725800.0,477800.0,1248100.0
64,A050892,320000 ,2020JJ00,10,1277700.0,1796200.0,458600.0,1337600.0
65,A050892,320000 ,2022JJ00,10,1544200.0,1614600.0,439400.0,1175100.0
66,A050892,320705 ,2019JJ00,795,11226400.0,3011800.0,1368600.0,1643200.0
67,A050892,320705 ,2020JJ00,810,11075600.0,5779800.0,3318700.0,2461200.0
68,A050892,320705 ,2022JJ00,815,11187700.0,5022200.0,2760600.0,2261600.0
69,A050892,B000645,2019JJ00,255,7859500.0,1870200.0,897600.0,972600.0
70,A050892,B000645,2020JJ00,240,7576800.0,4750000.0,2819200.0,1930800.0
71,A050892,B000645,2022JJ00,245,7771100.0,3936500.0,2214200.0,1722300.0
72,A050892,321100 ,2019JJ00,20,1968600.0,1090300.0,454100.0,636200.0
73,A050892,321100 ,2020JJ00,15,2101800.0,989800.0,488000.0,501800.0
74,A050892,321100 ,2022JJ00,20,1935000.0,1049500.0,534100.0,515400.0
75,A050892,800046 ,2019JJ00,520,1398300.0,51300.0,16900.0,34400.0
76,A050892,800046 ,2020JJ00,555,1397000.0,40100.0,11500.0,28600.0
77,A050892,800046 ,2022JJ00,550,1481600.0,36200.0,12100.0,24000.0
78,A050892,323700 ,2019JJ00,1055,1696800.0,,,7100.0
79,A050892,323700 ,2020JJ00,1045,1690600.0,,,16900.0
80,A050892,323700 ,2022JJ00,1075,1659200.0,49600.0,19000.0,30600.0
81,A050892,324600 ,2019JJ00,995,1129800.0,21600.0,2100.0,19500.0
82,A050892,324600 ,2020JJ00,965,1052600.0,35500.0,3300.0,32200.0
83,A050892,324600 ,2022JJ00,1000,1138800.0,55100.0,17100.0,38100.0
84,A050892,B000646,2019JJ00,345,603100.0,5400.0,,
85,A050892,B000646,2020JJ00,330,577700.0,10900.0,,
86,A050892,B000646,2022JJ00,350,676100.0,19100.0,6400.0,12800.0
87,A050892,B000647,2019JJ00,650,526700.0,16300.0,,
88,A050892,B000647,2020JJ00,630,474900.0,24500.0,,
89,A050892,B000647,2022JJ00,645,462700.0,36000.0,10900.0,25100.0
90,A050892,328100 ,2019JJ00,265,5157100.0,,,900.0
91,A050892,328100 ,2020JJ00,185,4819200.0,,,1700.0
92,A050892,328100 ,2022JJ00,230,3259900.0,258500.0,256100.0,2400.0
93,A050892,800047 ,2019JJ00,155,2459700.0,,,300.0
94,A050892,800047 ,2020JJ00,150,2212300.0,,,
95,A050892,800047 ,2022JJ00,135,2173600.0,258300.0,256000.0,2300.0
96,A050892,800048 ,2019JJ00,110,2697500.0,,,600.0
97,A050892,800048 ,2020JJ00,35,2607000.0,,900.0,
98,A050892,800048 ,2022JJ00,95,1086300.0,,0.0,
99,A050892,330300 ,2019JJ00,6605,1655500.0,42200.0,5800.0,36400.0
100,A050892,330300 ,2020JJ00,6730,1507500.0,88400.0,41600.0,46800.0
101,A050892,330300 ,2022JJ00,6900,1523100.0,184000.0,107600.0,76400.0
102,A050892,332905 ,2019JJ00,4000,1533600.0,15000.0,4000.0,11000.0
103,A050892,332905 ,2020JJ00,3790,1385900.0,21400.0,3300.0,18000.0
104,A050892,332905 ,2022JJ00,3730,1408100.0,72900.0,38700.0,34200.0
105,A050892,339200 ,2019JJ00,490,461100.0,14000.0,7700.0,6300.0
106,A050892,339200 ,2020JJ00,480,391800.0,6000.0,2000.0,4000.0
107,A050892,339200 ,2022JJ00,505,327400.0,25300.0,12400.0,12900.0
108,A050892,339205 ,2019JJ00,1110,666500.0,17300.0,7700.0,9600.0
109,A050892,339205 ,2020JJ00,1080,613000.0,10000.0,2700.0,7300.0
110,A050892,339205 ,2022JJ00,1100,580400.0,35000.0,16600.0,18500.0
111,A050892,340200 ,2019JJ00,620,205300.0,3300.0,0.0,3300.0
112,A050892,340200 ,2020JJ00,600,221200.0,4000.0,600.0,3300.0
113,A050892,340200 ,2022JJ00,595,253000.0,9700.0,4100.0,5600.0
114,A050892,300023 ,2019JJ00,8715,540300.0,9500.0,1600.0,7900.0
115,A050892,300023 ,2020JJ00,8835,489300.0,17500.0,4300.0,13200.0
116,A050892,300023 ,2022JJ00,9590,455900.0,50800.0,24100.0,26800.0
117,A050892,341600 ,2019JJ00,3070,196100.0,4400.0,1000.0,3400.0
118,A050892,341600 ,2020JJ00,3090,175100.0,9200.0,2500.0,6700.0
119,A050892,341600 ,2022JJ00,3330,189000.0,35500.0,15500.0,20000.0
120,A050892,342400 ,2019JJ00,2040,124000.0,2200.0,0.0,2200.0
121,A050892,342400 ,2020JJ00,2030,116100.0,3600.0,200.0,3400.0
122,A050892,342400 ,2022JJ00,2105,93100.0,6500.0,2800.0,3800.0
123,A050892,344400 ,2019JJ00,3605,220200.0,2900.0,600.0,2300.0
124,A050892,344400 ,2020JJ00,3715,198100.0,4700.0,1700.0,3100.0
125,A050892,344400 ,2022JJ00,4155,173800.0,8800.0,5800.0,3000.0
126,A050892,346600 ,2019JJ00,20,558000.0,92351700.0,90210300.0,2141400.0
127,A050892,346600 ,2020JJ00,15,288900.0,88997000.0,87029700.0,1967300.0
128,A050892,346600 ,2022JJ00,15,274500.0,83705000.0,81315000.0,2390000.0
129,A050892,348000 ,2019JJ00,1195,2178900.0,4710200.0,3666000.0,1044200.0
130,A050892,348000 ,2020JJ00,1170,2155300.0,4808400.0,3782500.0,1025900.0
131,A050892,348000 ,2022JJ00,1180,2138300.0,5179100.0,3968800.0,1210200.0
132,A050892,350000 ,2019JJ00,51610,882100.0,96100.0,,
133,A050892,350000 ,2020JJ00,58325,962100.0,170400.0,,
134,A050892,350000 ,2022JJ00,65440,994700.0,348300.0,,
135,A050892,354200 ,2019JJ00,199960,8171900.0,305400.0,,
136,A050892,354200 ,2020JJ00,196080,7953700.0,454300.0,,
137,A050892,354200 ,2022JJ00,185505,7717300.0,,,
138,A050892,383100 ,2019JJ00,50850,5668900.0,142600.0,,
139,A050892,383100 ,2020JJ00,56095,5598200.0,216900.0,,
140,A050892,383100 ,2022JJ00,65740,5909900.0,,,
141,A050892,389100 ,2019JJ00,97125,3302200.0,35900.0,,
142,A050892,389100 ,2020JJ00,98630,2986300.0,56400.0,,
143,A050892,389100 ,2022JJ00,98885,3232600.0,,,
144,A050892,391600 ,2019JJ00,45155,4026000.0,7400.0,,
145,A050892,391600 ,2020JJ00,46325,4408400.0,12300.0,,
146,A050892,391600 ,2022JJ00,45025,5391800.0,,,
147,A050892,396300 ,2019JJ00,36570,1267500.0,80700.0,,
148,A050892,396300 ,2020JJ00,34955,1172500.0,138600.0,,
149,A050892,396300 ,2022JJ00,35500,1109300.0,,,
150,A050892,402000 ,2019JJ00,20585,997800.0,60300.0,,
151,A050892,402000 ,2020JJ00,20205,943300.0,104800.0,,
152,A050892,402000 ,2022JJ00,23680,976400.0,,,
153,A050892,403300 ,2019JJ00,46875,1422800.0,77300.0,,
154,A050892,403300 ,2020JJ00,46785,1415500.0,125100.0,,
155,A050892,403300 ,2022JJ00,48530,1520000.0,,,
156,A050892,410200 ,2019JJ00,17080,638800.0,35100.0,,
157,A050892,410200 ,2020JJ00,15925,593800.0,50500.0,,
158,A050892,410200 ,2022JJ00,15510,560300.0,,,
159,A050892,417400 ,2019JJ00,103980,2968300.0,97000.0,,
160,A050892,417400 ,2020JJ00,103050,2884000.0,141100.0,,
161,A050892,417400 ,2022JJ00,102590,2729600.0,,,
162,A050892,419000 ,2019JJ00,16830,1450500.0,207200.0,,
163,A050892,419000 ,2020JJ00,16415,1366000.0,205900.0,,
164,A050892,419000 ,2022JJ00,17080,1486700.0,,,
165,A050892,422400 ,2019JJ00,82050,3338100.0,308000.0,,
166,A050892,422400 ,2020JJ00,80260,3279100.0,349700.0,,
167,A050892,422400 ,2022JJ00,70955,3170500.0,,,
168,A050892,428100 ,2019JJ00,28355,1444700.0,92500.0,,
169,A050892,428100 ,2020JJ00,27125,1249500.0,135400.0,,
170,A050892,428100 ,2022JJ00,27975,1352500.0,,,
171,A050892,435500 ,2019JJ00,35785,541800.0,23900.0,,
172,A050892,435500 ,2020JJ00,33750,475000.0,35900.0,,
173,A050892,435500 ,2022JJ00,33180,469900.0,,,
174,A050892,440900 ,2019JJ00,560,51100.0,0.0,,
175,A050892,440900 ,2020JJ00,570,48100.0,0.0,,
176,A050892,440900 ,2022JJ00,560,43000.0,,,
177,A050893,T001081,2019JJ00,947410,5958000.0,,,
178,A050893,T001081,2020JJ00,949125,5943100.0,,,
179,A050893,T001081,2022JJ00,940410,5818700.0,,,
180,A050893,301000 ,2019JJ00,78330,613100.0,,,
181,A050893,301000 ,2020JJ00,79170,612300.0,,,
182,A050893,301000 ,2022JJ00,67535,530000.0,,,
183,A050893,305700 ,2019JJ00,1560,7800.0,,,
184,A050893,305700 ,2020JJ00,1565,7600.0,,,
185,A050893,305700 ,2022JJ00,1520,7300.0,,,
186,A050893,307500 ,2019JJ00,32945,329000.0,9800.0,9700.0,100.0
187,A050893,307500 ,2020JJ00,32700,326500.0,32200.0,32000.0,200.0
188,A050893,307500 ,2022JJ00,34010,338600.0,113200.0,113000.0,200.0
189,A050893,307610 ,2019JJ00,4515,45100.0,1200.0,1200.0,0.0
190,A050893,307610 ,2020JJ00,4405,44000.0,2700.0,2700.0,0.0
191,A050893,307610 ,2022JJ00,4625,46200.0,7000.0,7000.0,0.0
192,A050893,307700 ,2019JJ00,335,3300.0,0.0,0.0,0.0
193,A050893,307700 ,2020JJ00,335,3300.0,100.0,100.0,0.0
194,A050893,307700 ,2022JJ00,330,3300.0,300.0,300.0,0.0
195,A050893,308300 ,2019JJ00,140,1400.0,200.0,200.0,0.0
196,A050893,308300 ,2020JJ00,135,1400.0,400.0,400.0,0.0
197,A050893,308300 ,2022JJ00,150,1500.0,600.0,600.0,0.0
198,A050893,308700 ,2019JJ00,30,300.0,0.0,0.0,0.0
199,A050893,308700 ,2020JJ00,30,300.0,100.0,100.0,0.0
200,A050893,308700 ,2022JJ00,25,300.0,0.0,0.0,0.0
201,A050893,309000 ,2019JJ00,175,1800.0,100.0,100.0,0.0
