ID,VerblijfsrecreatieveLogiesvormen,Perioden,AlleLanden_1,Nederland_2,BuitenlandTotaal_3,EuropaExclusiefNederland_4,Duitsland_5,Belgie_6,GrootBrittannie_7,Frankrijk_8,Zwitserland_9,Italie_10,Spanje_11,Denemarken_12,Zweden_13,OverigeLandenEurozone_14,OverigEuropa_15,Amerika_16,Azie_17,AustralieEnOceanie_18,Afrika_19,AlleLanden_20,Nederland_21,BuitenlandTotaal_22,EuropaExclusiefNederland_23,Duitsland_24,Belgie_25,GrootBrittannie_26,Frankrijk_27,Zwitserland_28,Italie_29,Spanje_30,Denemarken_31,Zweden_32,OverigeLandenEurozone_33,OverigEuropa_34,Amerika_35,Azie_36,AustralieEnOceanie_37,Afrika_38
0,1000,2000MM01,357.6,286.1,71.5,71.3,58.6,9.5,1.2,,,,,,,,1.2,,,,,1547.6,1221.3,326.3,324.3,268.2,38.3,6.4,,,,,,,,6.7,,,,
1,1000,2000MM02,334.1,287.3,46.8,46.7,32.4,8.9,3.7,,,,,,,,,,,,,1335.0,1132.2,202.8,202.0,138.4,29.4,19.2,,,,,,,,,,,,
2,1000,2000MM03,494.8,422.0,72.8,72.5,54.4,12.1,2.9,1.4,,,,,,,,,,,,2048.3,1705.7,342.6,339.9,253.6,50.7,16.1,9.6,,,,,,,,,,,
3,1000,2000KW01,1186.4,995.4,191.0,190.4,145.3,30.4,7.9,2.6,,,,,,,2.3,,,,,4930.9,4059.2,871.7,866.2,660.3,118.4,41.7,19.7,,,,,,,18.5,,,,
4,1000,2000MM04,962.3,669.7,292.6,290.6,211.2,39.4,15.9,8.1,1.4,7.2,,2.3,,,4.4,,,,,4031.1,2646.8,1384.4,1376.4,1056.9,168.1,71.0,25.0,4.6,18.0,,7.4,,,21.7,,,,
5,1000,2000MM05,1077.9,889.1,188.8,185.9,140.5,19.6,12.3,6.3,1.6,1.0,,1.1,,,3.1,1.1,,1.1,,4565.3,3743.7,821.7,806.4,636.0,74.3,48.0,20.4,5.3,2.4,,3.4,,,15.0,4.8,,4.7,
6,1000,2000MM06,1470.5,1141.6,328.9,324.3,253.1,25.3,14.7,6.6,1.7,2.9,2.7,4.0,,,13.3,2.3,,1.7,,6606.8,5146.2,1460.6,1442.5,1181.7,95.1,61.9,16.3,6.4,7.1,7.8,12.0,,,54.2,10.1,,5.0,
7,1000,2000KW02,3510.6,2700.4,810.3,800.9,604.8,84.4,43.0,21.0,4.7,11.1,3.8,7.4,,,20.8,4.3,1.2,3.4,,15203.3,11536.6,3666.6,3625.3,2874.7,337.5,180.9,61.7,16.3,27.5,13.1,22.7,,,90.9,18.9,8.7,11.5,
8,1000,2000MM07,1365.5,1009.1,356.5,350.0,231.2,33.9,12.2,15.1,4.8,16.2,10.3,9.0,,,17.3,3.1,1.2,1.9,,9082.5,6854.0,2228.5,2200.3,1733.8,173.4,57.4,42.0,20.5,45.4,32.3,30.1,,,65.4,13.1,7.5,5.8,
9,1000,2000MM08,1648.2,1247.5,400.7,393.8,203.6,37.3,28.9,27.8,4.7,57.2,19.4,2.6,,,12.2,1.9,2.3,2.2,,11494.3,9367.4,2126.9,2095.3,1411.3,194.9,145.6,80.5,17.4,118.8,63.5,8.3,,,55.0,7.1,14.8,5.8,
10,1000,2000MM09,979.6,787.0,192.6,187.7,138.9,23.5,11.7,4.2,,2.4,1.2,,,,4.4,1.9,,2.4,,4679.1,3614.3,1064.7,1050.2,816.6,113.7,57.9,12.7,,6.2,4.3,,,,33.6,5.8,,6.3,
11,1000,2000KW03,3993.4,3043.6,949.8,931.5,573.7,94.7,52.8,47.1,10.3,75.8,30.9,12.4,,,33.9,6.9,3.8,6.5,1.2,25255.8,19835.6,5420.1,5345.8,3961.8,482.0,260.9,135.1,41.0,170.5,100.0,40.7,,,154.0,26.0,24.1,17.9,6.3
12,1000,2000MM10,806.4,624.6,181.8,179.7,149.6,17.8,5.1,3.3,,,,,,,1.8,,,1.0,,3786.9,2785.6,1001.4,993.9,870.0,65.3,25.8,13.6,,,,,,,10.9,,,3.1,
13,1000,2000MM11,444.6,362.0,82.6,82.3,50.8,24.2,2.5,,,,,,,,3.0,,,,,1812.9,1460.1,352.8,351.5,222.7,99.6,11.8,,,,,,,,7.9,,,,
