ID,Bedrijfsgrootte,PersoneelDatWerktMetInternet_1,OnlineVergaderen_2,VeiligheidsrichtlijnenOnlineVergaderen_3,VoorkeurOnlineVergaderen_4,Bedrijfsemails_5,Bedrijfsdocumenten_6,BedrijfsapplicatiesOfSoftware_7,Bedrijfsemails_8,Bedrijfsrichtlijnen_9,Telewerkers_10,TelewerkKomtVoor_11,ICTPersAangenomenWillenAannemen_12,ICTVacaturesLastigTeVullen_13,TekortAanSollicitanten_14,SollicitantenMissenJuisteICTKennis_15,SollicitantenMissenWerkervaring_16,SollicitantenEisenTeHoogSalaris_17,ExterneLeverancier_18,EigenPersoneel_19,EigenPersoneelEnExterneLeverancier_20,NietVanToepassing_21,ICTSpecialistenInLoondienst_22,ICTCursusAanICTSpecialisten_23,ICTCursusAanOverigPersoneel_24,InternetVast_25,MinderDan30MbitS_26,k_30Tot100MbitS_27,k_100Tot500MbitS_28,k_500MbitSTot1GbitS_29,TenMinste1GbitS_30,MobielInternetVerstrekt_31,PersoneelDatWerktMetMobielInternet_32,BedrijvenMetWebsite_33,BeschrijvingenVanProductenPrijslijst_34,OnlineBestellenBoekenOfReserveren_35,ProductaanpassingDoorKlant_36,BestellingOnlineVolgen_37,KlantspecifiekeInfoVoorDeBezoeker_38,VerwijzingNaarSocialeMedia_39,AntiVirussoftware_40,BeleidVoorSterkeWachtwoorden_41,BiometrischeMethoden_42,AuthenticatieViaSoftOfHardwaretoken_43,EncryptieVanData_44,GegevensOpAndereFysiekeLocatie_45,NetworkAccessControl_46,VPNInternetgebruikBuitenHetBedrijf_47,LogbestandenVoorAnalyseIncidenten_48,MethodesVoorBeoordelenICTVeiligheid_49,Risicoanalyses_50,ICTVeiligheidVolgEnDetectiesysteem_51,VrijwilligeTraining_52,VerplichteTraining_53,MetContract_54,ICTVeiligheidsdocumentenAanwezig_55,MinderDan12MaandenGeleden_56,TussenDe12En24MaandenGeleden_57,MeerDan24MaandenGeleden_58,UitbesteedAanExternBedrijf_59,EigenPersoneel_60,EigenPersoneelEnExternBedrijf_61,NietVanToepassing_62,IncidentMetInterneOorzaakGehad_63,IncidentDoorAanvalVanBuitenGehad_64,UitvalICTDienstDoorVeiligheidsinc_65,VernietigingDataDoorVeiligheidsinc_66,OnthullingDoorInternIncident_67,UitvalICTDienstDoorAanvalBuitenaf_68,VernietigingDataAanvalVanBuitenaf_69,OnthullingGegevensDoorICTInbraak_70,KostenIncidentInternGehad_71,KostenIncidentAanvalBuitenafGehad_72,UitvalICTDienstDoorVeiligheidsinc_73,VernietigingDataDoorVeiligheidsinc_74,OnthullingDoorInternIncident_75,UitvalICTDienstDoorAanvalBuitenaf_76,VernietigingDataAanvalBuitenaf_77,OnthullingDoorICTInbraak_78,Kosten1VanDeTotaleOmzet_79,Kosten1Tot2VanDeTotaleOmzet_80,Kosten2Tot5VanDeTotaleOmzet_81,Kosten5Tot10VanDeTotaleOmzet_82,Kosten10Tot50VanDeTotaleOmzet_83,Kosten50VanDeTotaleOmzet_84,Kosten1VanDeTotaleOmzet_85,Kosten1Tot2VanDeTotaleOmzet_86,Kosten2Tot5VanDeTotaleOmzet_87,Kosten5Tot10VanDeTotaleOmzet_88,Kosten10Tot50VanDeTotaleOmzet_89,Kosten50VanDeTotaleOmzet_90,RansomwareAanvalGehad_91,LosgeldBetaald_92,BetalingLosgeldZinvol_93,AndereKostenRansomwareAanvalGehad_94,k_1VanDeTotaleOmzet_95,k_1Tot2VanDeTotaleOmzet_96,k_2Tot5VanDeTotaleOmzet_97,k_5Tot10VanDeTotaleOmzet_98,k_10Tot50VanDeTotaleOmzet_99,k_50VanDeTotaleOmzet_100,Kosten1VanDeTotaleOmzet_101,Kosten1Tot2VanDeTotaleOmzet_102,Kosten2Tot5VanDeTotaleOmzet_103,Kosten5Tot10VanDeTotaleOmzet_104,Kosten10Tot50VanDeTotaleOmzet_105,Kosten50VanDeTotaleOmzet_106,Politie_107,Cybersecurity_108,VerzekeringICTVeiligheidsincidenten_109,GezochtNaarMeldingenCyberdreigingen_110,BekendMetDTC_111,DTCWebsiteAlsBronGebruikt_112,MilieuBetrokken_113,Papierverbruik_114,Energieverbruik_115,MilieuBewustBijICTAanschaf_116,Ja_117,Nee_118,NVT_119,Ja_120,Nee_121,NVT_122,Ja_123,Nee_124,NVT_125,VerkoopViaWebsiteOfApp_126,Verkoopwaarde1VanDeTotaleOmzet_127,Verkoopwaarde1VanDeTotaleOmzet_128,Verkoopwaarde2VanDeTotaleOmzet_129,Verkoopwaarde5VanDeTotaleOmzet_130,Verkoopwaarde10VanDeTotaleOmzet_131,Verkoopwaarde25VanDeTotaleOmzet_132,Verkoopwaarde50VanDeTotaleOmzet_133,ViaWebsiteOfAppsVanEigenBedrijf_134,PercentageOmzetViaOnlinePlatforms_135,VerkoopViaECommerce_136,Verkoopwaarde1VanDeTotaleOmzet_137,Verkoopwaarde1VanDeTotaleOmzet_138,Verkoopwaarde2VanDeTotaleOmzet_139,Verkoopwaarde5VanDeTotaleOmzet_140,Verkoopwaarde10VanDeTotaleOmzet_141,Verkoopwaarde25VanDeTotaleOmzet_142,Verkoopwaarde50VanDeTotaleOmzet_143,ViaEen_144,ViaTwee_145,ViaDrieOfMeer_146,MeerDan75VanOmzetUitEenPlatform_147,VerkoopViaEDI_148,Verkoopwaarde1VanDeTotaleOmzet_149,Verkoopwaarde1VanDeTotaleOmzet_150,Verkoopwaarde2VanDeTotaleOmzet_151,Verkoopwaarde5VanDeTotaleOmzet_152,Verkoopwaarde10VanDeTotaleOmzet_153,Verkoopwaarde25VanDeTotaleOmzet_154,Verkoopwaarde50VanDeTotaleOmzet_155
0,WP19115,82,36,22,12,56,49,44,,36,56,52,5,3,,,,,32,25,13,30,13,7,9,90,9,28,30,16,7,62,42,77,64,30,5,9,21,43,85,68,23,46,36,74,46,33,38,29,29,21,16,8,15,22,16,4,2,29,20,9,42,13,5,11,2,1,4,1,2,3,2,3,0,0,1,1,0,72.0,13.0,12.0,3.0,0.0,0.0,76.0,15.0,7.0,0.0,2.0,0.0,1,11.0,5.0,38.0,16.0,28.0,2.0,1.0,0.0,52.0,63.0,18.0,13.0,5.0,1.0,0.0,13.0,39.0,17,9,10,3,100,66,40,35,61,8,31,32,32,36,17,33,50,23,5,18,16,14,12,10,8,76,24,24,5,19,17,15,13,11,8,4,3,2,3,2,1,2,2,2,1,1,1
1,WP19116,81,35,21,11,56,49,44,,36,44,52,4,3,,,,,32,25,13,30,12,6,9,90,9,28,30,16,7,62,37,77,64,30,5,9,21,42,85,68,22,45,35,73,46,33,38,29,29,21,16,8,14,21,16,4,2,29,20,9,42,12,5,11,2,1,4,1,2,3,2,3,0,0,1,1,0,72.0,13.0,12.0,3.0,0.0,0.0,75.0,15.0,7.0,0.0,2.0,0.0,1,11.0,5.0,38.0,15.0,28.0,2.0,1.0,0.0,53.0,63.0,18.0,13.0,6.0,1.0,0.0,12.0,38.0,17,8,10,3,100,66,40,35,61,8,31,32,32,36,17,33,50,23,5,18,16,14,12,10,8,76,24,24,5,19,17,15,13,11,8,4,3,2,3,2,1,2,2,1,1,1,1
2,WP19082,93,28,14,9,46,38,31,,22,32,40,2,1,,,,,20,29,7,44,7,3,4,87,12,28,28,13,5,57,44,66,53,25,3,8,15,32,79,61,25,36,28,66,31,22,25,18,18,13,9,4,6,12,9,2,1,17,21,4,57,7,4,6,1,0,2,1,1,1,1,1,0,0,1,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,10,6,8,2,100,60,38,31,54,7,39,27,28,45,12,30,58,20,4,16,14,13,11,8,7,70,30,20,4,16,15,13,11,9,7,5,3,2,3,1,0,0,0,0,0,0,0
3,WP19083,82,29,16,9,53,45,41,,32,33,49,3,2,,,,,33,26,11,30,9,3,6,91,10,31,29,14,6,58,33,79,66,30,5,10,23,42,86,68,20,44,34,72,45,31,36,26,26,19,14,6,14,18,13,4,2,31,20,6,43,11,5,10,1,1,4,1,1,2,1,2,0,0,1,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,15,6,8,2,100,67,38,32,60,9,31,32,33,35,15,34,51,24,5,19,17,15,14,10,8,76,24,25,5,20,18,16,14,11,8,5,3,2,2,2,0,1,1,1,1,1,0
4,WP19085,80,35,22,11,60,54,50,,43,33,58,5,3,,,,,46,23,13,18,13,6,11,94,6,32,32,17,7,61,29,86,72,37,8,10,27,48,90,72,19,48,42,79,56,39,47,39,36,29,17,8,21,24,18,5,2,42,18,10,30,14,6,13,2,1,4,2,2,4,2,4,0,0,1,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,21,8,10,2,100,69,41,37,66,9,25,37,34,29,21,33,45,26,5,21,18,15,13,12,9,79,21,27,6,22,19,16,14,13,10,4,3,4,4,3,1,2,2,1,1,1,1
5,WP19089,80,50,34,16,74,69,64,,56,39,72,8,6,5.0,5.0,4.0,3.0,51,18,21,10,18,10,16,96,6,24,35,21,10,72,32,91,78,38,7,10,27,57,95,77,19,58,41,86,67,49,54,41,42,28,23,12,25,35,26,6,2,47,17,15,21,21,8,19,2,2,6,2,2,6,3,6,1,0,2,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,26,10,12,4,100,74,44,44,70,9,20,38,37,25,24,38,38,25,6,19,17,14,12,10,8,86,14,27,6,21,19,16,14,12,9,3,2,3,2,4,1,3,3,3,2,2,1
6,WP19092,80,67,45,21,86,82,77,,71,45,84,14,9,8.0,7.0,6.0,6.0,50,15,30,5,31,20,24,97,3,20,36,24,14,84,37,93,79,36,8,11,26,65,97,84,25,68,51,92,79,64,69,53,54,40,35,20,32,49,37,8,4,49,16,24,11,27,11,26,3,3,7,2,3,7,3,7,1,0,2,1,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,34,16,17,6,100,75,47,50,75,10,15,42,40,18,30,37,32,26,5,21,19,17,14,11,9,85,15,30,5,25,23,21,18,15,11,2,2,4,3,7,1,7,6,5,5,4,2
7,WP19096,79,81,61,29,92,90,86,,83,52,91,21,15,13.0,11.0,10.0,8.0,40,17,40,3,47,33,37,98,2,17,38,25,17,88,38,94,80,33,8,14,29,73,98,90,32,78,62,94,87,73,81,65,67,49,51,30,40,62,50,9,2,40,18,34,8,32,11,30,4,4,8,3,4,9,3,9,2,1,2,1,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,35,26,25,10,100,77,49,52,76,12,12,43,42,15,37,37,27,24,6,17,16,14,12,10,7,86,14,30,7,23,22,20,18,15,10,2,2,4,2,12,3,9,9,8,7,5,3
8,WP19100,78,91,73,37,96,94,92,,91,56,95,36,24,23.0,20.0,15.0,13.0,24,18,56,1,70,54,53,98,2,13,40,25,19,94,44,97,82,36,11,15,36,78,99,95,37,86,75,97,91,83,88,76,75,60,64,42,49,76,64,10,3,28,21,47,4,39,13,36,5,7,9,3,5,10,5,10,2,1,4,1,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,41,40,35,18,100,81,56,58,81,10,9,43,44,13,43,35,22,25,6,19,18,15,13,10,7,85,15,36,7,29,28,25,23,19,14,2,2,4,2,18,3,15,15,13,12,9,7
9,WP19108,80,96,80,45,97,96,94,,92,62,96,53,40,35.0,31.0,25.0,20.0,16,18,66,0,79,67,66,99,0,10,40,25,25,95,46,97,80,36,14,18,38,81,99,97,42,94,83,98,91,82,91,83,81,69,77,49,55,84,75,8,2,18,21,58,3,42,17,37,5,10,9,3,9,13,6,12,1,2,3,2,2,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,43,55,46,25,100,83,64,63,83,9,8,38,50,12,50,34,16,27,6,21,19,16,13,10,7,85,15,38,7,31,29,26,23,18,14,1,2,6,2,18,3,15,14,13,12,9,6
