ID,Perioden,OutputBasisprijzen_1,Totaal_2,Totaal_3,ZaaiEnPantgoedGeleverdDoorAnder_4,ZaaiEnPlantgoedGekochtBuitenDe_5,Totaal_6,Elektriciteit_7,Gas_8,AndereBrandstoffen_9,Andere_10,Totaal_11,MeststoffenGeleverdDoorAndereLand_12,MeststoffenGekochtBuitenDeBedrijf_13,FytosanitaireProductenEnPesticiden_14,UitgavenVoorVeeartsen_15,Totaal_16,VeevoederGeleverdDoorAndereLandbo_17,VeevoederGekochtBuitenDeBedrijfst_18,VeevoederGeproduceerdEnVerbruiktO_19,OnderhoudVanMateriaal_20,OnderhoudVanGebouwen_21,Landbouwdiensten_22,IndirectGemetenDienstenVanFinanci_23,AndereGoederenEnDiensten_24,BrutoToegevoegdeWaardeBasisprijzen_25,Totaal_26,Werktuigen_27,Bouwwerken_28,Aanplantingen_29,Andere_30,NettoToegevoegdeWaardeBasisprijzen_31,OutputBasisprijzen_32,Totaal_33,Totaal_34,ZaaiEnPantgoedGeleverdDoorAnder_35,ZaaiEnPlantgoedGekochtBuitenDe_36,Totaal_37,Elektriciteit_38,Gas_39,AndereBrandstoffen_40,Andere_41,Totaal_42,MeststoffenGeleverdDoorAndereLand_43,MeststoffenGekochtBuitenDeBedrijf_44,FytosanitaireProductenEnPesticiden_45,UitgavenVoorVeeartsen_46,Totaal_47,VeevoederGeleverdDoorAndereLandbo_48,VeevoederGekochtBuitenDeBedrijfst_49,VeevoederGeproduceerdEnVerbruiktO_50,OnderhoudVanMateriaal_51,OnderhoudVanGebouwen_52,Landbouwdiensten_53,IndirectGemetenDienstenVanFinanci_54,AndereGoederenEnDiensten_55,BrutoToegevoegdeWaardeBasisprijzen_56,Totaal_57,Werktuigen_58,Bouwwerken_59,Aanplantingen_60,Andere_61,NettoToegevoegdeWaardeBasisprijzen_62,OutputBasisprijzen_63,Totaal_64,Totaal_65,ZaaiEnPantgoedGeleverdDoorAnder_66,ZaaiEnPlantgoedGekochtBuitenDe_67,Totaal_68,Elektriciteit_69,Gas_70,AndereBrandstoffen_71,Andere_72,MeststoffenEnGrondverbeterendeMidd_73,MeststoffenGeleverdDoorAndereLand_74,MeststoffenGekochtBuitenDeBedrijf_75,FytosanitaireProductenEnPesticiden_76,UitgavenVoorVeeartsen_77,Totaal_78,VeevoederGeleverdDoorAndereLandbo_79,VeevoederGekochtBuitenDeBedrijfst_80,VeevoederGeproduceerdEnVerbruiktO_81,OnderhoudVanMateriaal_82,OnderhoudVanGebouwen_83,Landbouwdiensten_84,IndirectGemetenDienstenVanFinanci_85,AndereGoederenEnDiensten_86,BrutoToegevoegdeWaardeBasisprijzen_87,Totaal_88,Werktuigen_89,Bouwwerken_90,Aanplantingen_91,Andere_92,NettoToegevoegdeWaardeBasisprijzen_93,OutputBasisprijzen_94,Totaal_95,Totaal_96,ZaaiEnPantgoedGeleverdDoorAnder_97,ZaaiEnPlantgoedGekochtBuitenDe_98,Totaal_99,Elektriciteit_100,Gas_101,AndereBrandstoffen_102,Andere_103,Totaal_104,MeststoffenGeleverdDoorAndereLand_105,MeststoffenGekochtBuitenDeBedrijf_106,FytosanitaireProductenEnPesticiden_107,UitgavenVoorVeeartsen_108,Totaal_109,VeevoederGeleverdDoorAndereLandbo_110,VeevoederGekochtBuitenDeBedrijfst_111,VeevoederGeproduceerdEnVerbruiktO_112,OnderhoudVanMateriaal_113,OnderhoudVanGebouwen_114,Landbouwdiensten_115,IndirectGemetenDienstenVanFinanci_116,AndereGoederenEnDiensten_117,BrutoToegevoegdeWaardeBasisprijzen_118,Totaal_119,Werktuigen_120,Bouwwerken_121,Aanplantingen_122,Andere_123,NettoToegevoegdeWaardeBasisprijzen_124,NettoToegevoegdeWaardeBasisprijzen_125,NietProductgebondenBelastingen_126,NietProductgebondenSubsidies_127,Landbouwinkomen_128,BeloningVanWerknemers_129,ExploitatieoverschotGemengdInkomen_130,NettoToegevoegdeWaardeBasisprijzen_131,NietProductgebondenBelastingen_132,NietProductgebondenSubsidies_133,Landbouwinkomen_134,BeloningVanWerknemers_135,ExploitatieoverschotGemengdInkomen_136,NettoToegevoegdeWaardeBasisprijzen_137,NietProductgebondenBelastingen_138,NietProductgebondenSubsidies_139,Landbouwinkomen_140,BeloningVanWerknemers_141,ExploitatieoverschotGemengdInkomen_142,NettoToegevoegdeWaardeBasisprijzen_143,NietProductgebondenBelastingen_144,NietProductgebondenSubsidies_145,Landbouwinkomen_146,BeloningVanWerknemers_147,ExploitatieoverschotGemengdInkomen_148,ExploitatieoverschotGemengdInkomen_149,BetaaldePachtED_150,BetaaldeRente_151,OntvangenRente_152,InkomenUitBedrijfsuitoefening_153,Totaal_154,Werknemers_155,Zelfstandigen_156,Inkomensindex2015100_157,MutatieTOVVoorafgaandJaar_158
0,1995JJ00,18891.0,9788.0,852.0,556.0,296.0,848.0,187.0,457.0,182.0,22.0,302.0,,302.0,252.0,203.0,4020.0,80.0,3459.0,481.0,491.0,161.0,1084.0,57.0,1516.0,9103.0,2064,970.0,789.0,79.0,226.0,7039.0,21855.0,13882.0,1209.0,945.0,321.0,1600.0,244.0,886.0,485.0,32.0,546.0,,546.0,316.0,310.0,5486.0,63.0,4847.0,608.0,734.0,210.0,1547.0,54.0,2069.0,7858.0,2963.0,1198.0,1299.0,106.0,346.0,4971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.4,70.5,70.5,58.9,92.5,53.0,76.7,51.6,37.4,71.0,55.3,,55.3,79.8,65.6,73.3,127.7,71.4,79.1,66.9,76.6,70.1,106.0,73.3,115.9,69.7,80.9,60.7,74.8,65.3,141.6,7039.0,286.0,383.0,7136.0,1429.0,5707.0,4971.0,362.0,901.0,5423.0,,,,,,,,,141.6,79.1,42.5,131.6,,,5707.0,326.0,1084.0,41.0,4337.0,191.0,66.0,125.0,108.8,
1,1996JJ00,19172.0,10392.0,865.0,559.0,305.0,1013.0,238.0,542.0,204.0,29.0,295.0,,295.0,255.0,213.0,4344.0,98.0,3755.0,491.0,486.0,169.0,1104.0,57.0,1592.0,8780.0,2098,964.0,811.0,86.0,237.0,6682.0,21727.0,14363.0,1186.0,906.0,328.0,1829.0,300.0,993.0,530.0,42.0,515.0,,515.0,320.0,316.0,5720.0,75.0,5098.0,580.0,721.0,220.0,1556.0,57.0,2156.0,7469.0,2966.0,1202.0,1287.0,111.0,350.0,4652.0,-0.6,3.5,-1.9,-4.2,2.2,14.3,22.9,12.0,9.3,31.2,-5.6,,-5.6,1.3,2.0,4.3,19.1,5.2,-4.7,-1.8,4.4,0.6,5.6,4.2,-4.9,0.1,0.3,-0.9,5.2,0.9,-6.4,88.2,72.4,72.9,61.8,93.1,55.4,79.5,54.6,38.5,69.3,57.2,,57.2,79.8,67.3,75.9,131.6,73.6,84.7,67.4,77.0,71.0,100.4,73.8,117.6,70.7,80.2,63.0,77.5,67.9,143.6,6682.0,262.0,527.0,6948.0,1497.0,5451.0,4652.0,338.0,1237.0,5202.0,,,-6.4,-6.5,37.2,-4.1,,,143.6,77.4,42.6,133.6,,,5451.0,336.0,1021.0,36.0,4130.0,195.0,66.0,129.0,102.4,-5.9
2,1997JJ00,20323.0,10561.0,874.0,565.0,309.0,1014.0,255.0,528.0,200.0,31.0,288.0,,288.0,296.0,228.0,4166.0,98.0,3590.0,478.0,519.0,181.0,1194.0,55.0,1747.0,9762.0,2121,965.0,819.0,90.0,248.0,7641.0,22622.0,14489.0,1197.0,919.0,328.0,1696.0,319.0,861.0,483.0,44.0,522.0,,522.0,361.0,327.0,5548.0,80.0,4805.0,672.0,758.0,231.0,1673.0,59.0,2324.0,8063.0,2954.0,1200.0,1270.0,113.0,353.0,5144.0,4.1,0.9,1.0,1.5,0.0,-7.3,6.4,-13.3,-8.9,4.9,1.4,,1.4,12.9,3.5,-3.0,7.8,-5.8,15.9,5.1,5.1,7.5,3.8,7.8,8.0,-0.4,-0.1,-1.4,1.6,1.1,10.6,89.8,72.9,73.0,61.5,94.2,59.8,80.1,61.3,41.5,70.8,55.2,,55.2,81.9,69.7,75.1,122.5,74.7,71.1,68.5,78.3,71.4,93.1,75.1,121.1,71.8,80.4,64.5,79.8,70.1,148.5,7641.0,268.0,418.0,7791.0,1556.0,6235.0,5144.0,338.0,1046.0,5670.0,,,10.6,-0.2,-15.4,9.0,,,148.5,79.3,39.9,137.4,,,6235.0,347.0,987.0,36.0,4936.0,195.0,68.0,128.0,111.9,9.4
3,1998JJ00,19416.0,10627.0,964.0,610.0,354.0,1012.0,277.0,536.0,168.0,30.0,273.0,,273.0,311.0,241.0,3898.0,79.0,3393.0,426.0,562.0,183.0,1236.0,56.0,1891.0,8789.0,2144,963.0,834.0,85.0,262.0,6646.0,22182.0,14733.0,1184.0,838.0,370.0,1751.0,359.0,864.0,478.0,44.0,518.0,,518.0,363.0,338.0,5521.0,58.0,4805.0,681.0,813.0,232.0,1712.0,69.0,2448.0,7590.0,2956.0,1204.0,1258.0,115.0,360.0,4757.0,-1.9,1.7,-1.1,-8.8,13.0,3.2,12.7,0.4,-1.1,0.1,-0.9,,-0.9,0.5,3.3,-0.5,-27.4,0.0,1.4,7.4,0.7,2.3,16.4,5.3,-5.9,0.1,0.3,-0.9,1.8,1.8,-7.5,87.5,72.1,81.4,72.8,95.5,57.8,77.1,62.0,35.2,69.8,52.7,,52.7,85.8,71.4,70.6,134.8,70.6,62.5,69.1,79.0,72.2,82.1,77.2,115.8,72.5,80.0,66.3,73.9,72.8,139.7,6646.0,261.0,430.0,6815.0,1627.0,5188.0,4757.0,330.0,1051.0,5258.0,,,-7.5,-2.1,0.4,-7.3,,,139.7,78.9,41.0,129.6,,,5188.0,366.0,989.0,34.0,3867.0,193.0,70.0,124.0,96.8,-13.5
4,1999JJ00,19096.0,10712.0,1016.0,615.0,401.0,1010.0,293.0,499.0,191.0,27.0,220.0,,220.0,328.0,244.0,3632.0,93.0,3108.0,431.0,611.0,199.0,1311.0,66.0,2075.0,8384.0,2200,971.0,853.0,90.0,286.0,6184.0,23111.0,15027.0,1287.0,838.0,458.0,1738.0,364.0,850.0,477.0,41.0,436.0,,436.0,378.0,339.0,5430.0,64.0,4707.0,675.0,858.0,250.0,1765.0,78.0,2626.0,8109.0,2976.0,1215.0,1248.0,117.0,374.0,5177.0,4.2,2.0,8.7,0.0,23.7,-0.7,1.4,-1.7,-0.3,-5.7,-15.8,,-15.8,4.3,0.4,-1.7,10.4,-2.0,-0.9,5.5,7.8,3.1,13.6,7.3,6.8,0.7,0.9,-0.7,2.0,3.9,8.8,82.6,71.3,78.9,73.3,87.5,58.1,80.5,58.7,40.0,66.2,50.4,,50.4,86.6,72.1,66.9,143.8,66.0,63.8,71.2,79.4,74.3,85.0,79.0,103.4,73.9,79.9,68.3,76.7,76.5,119.4,6184.0,258.0,637.0,6564.0,1732.0,4832.0,5177.0,335.0,945.0,5674.0,,,8.8,1.4,-10.1,7.9,,,119.4,76.9,67.4,115.7,,,4832.0,370.0,975.0,39.0,3527.0,195.0,73.0,122.0,91.0,-6.0
5,2000JJ00,20198.0,11225.0,1030.0,608.0,422.0,1143.0,288.0,566.0,258.0,32.0,250.0,,250.0,332.0,244.0,3589.0,72.0,3107.0,411.0,644.0,208.0,1388.0,78.0,2319.0,8972.0,2323,1003.0,901.0,97.0,321.0,6650.0,23403.0,15181.0,1342.0,877.0,475.0,1706.0,349.0,851.0,458.0,42.0,432.0,,432.0,382.0,333.0,5207.0,73.0,4489.0,648.0,890.0,253.0,1801.0,82.0,2857.0,8236.0,3029.0,1239.0,1252.0,120.0,394.0,5254.0,1.3,1.0,4.2,4.7,3.6,-1.8,-4.3,0.2,-4.0,2.8,-0.7,,-0.7,0.9,-1.8,-4.1,13.4,-4.6,-4.0,3.7,1.0,2.1,5.4,8.8,1.6,1.8,2.0,0.3,2.2,5.3,1.5,86.3,73.9,76.8,69.3,88.9,67.0,82.5,66.5,56.4,74.6,57.7,,57.7,86.9,73.4,68.9,98.1,69.2,63.4,72.4,82.1,77.1,94.7,81.2,108.9,76.7,81.0,72.0,81.4,81.6,126.6,6650.0,271.0,450.0,6829.0,1833.0,4996.0,5254.0,340.0,1019.0,5794.0,,,1.5,1.4,7.8,2.1,,,126.6,79.8,44.2,117.9,,,4996.0,401.0,992.0,60.0,3662.0,189.0,73.0,116.0,95.0,4.3
6,2001JJ00,20968.0,11771.0,1060.0,654.0,405.0,1196.0,285.0,637.0,238.0,37.0,261.0,,261.0,305.0,265.0,3723.0,88.0,3157.0,478.0,675.0,214.0,1552.0,64.0,2455.0,9197.0,2447,1037.0,954.0,104.0,351.0,6751.0,22714.0,15157.0,1284.0,863.0,436.0,1692.0,341.0,861.0,439.0,44.0,393.0,,393.0,339.0,348.0,5002.0,72.0,4290.0,644.0,916.0,257.0,1948.0,89.0,2961.0,7707.0,3082.0,1277.0,1251.0,121.0,407.0,4766.0,-2.9,-0.2,-4.3,-1.7,-8.1,-0.8,-2.3,1.2,-4.0,3.5,-9.2,,-9.2,-11.2,4.5,-3.9,-1.8,-4.4,-0.6,2.9,1.5,8.1,8.7,3.7,-6.4,1.8,3.0,-0.1,0.8,3.3,-9.3,92.3,77.7,82.5,75.8,92.9,70.7,83.7,73.9,54.1,84.1,66.5,,66.5,89.8,76.2,74.4,123.3,73.6,74.2,73.7,83.3,79.7,71.9,82.9,119.3,79.4,81.2,76.3,85.9,86.4,141.6,6751.0,320.0,538.0,6969.0,1915.0,5054.0,4766.0,378.0,1149.0,5293.0,,,-9.3,11.3,12.8,-8.6,,,141.6,84.6,46.8,131.7,,,5054.0,433.0,1046.0,75.0,3650.0,180.0,73.0,107.0,97.3,2.4
7,2002JJ00,20781.0,11966.0,1097.0,688.0,409.0,1116.0,293.0,569.0,217.0,37.0,240.0,,240.0,327.0,256.0,3532.0,70.0,2954.0,508.0,660.0,218.0,1782.0,79.0,2659.0,8815.0,2548,1082.0,991.0,107.0,368.0,6267.0,22838.0,15228.0,1292.0,838.0,463.0,1628.0,345.0,815.0,414.0,43.0,380.0,,380.0,359.0,326.0,4763.0,77.0,4038.0,647.0,881.0,257.0,2143.0,91.0,3139.0,7757.0,3097.0,1302.0,1238.0,120.0,409.0,4800.0,0.5,0.5,0.6,-2.9,6.1,-3.8,1.3,-5.4,-5.8,-1.3,-3.1,,-3.1,5.8,-6.2,-4.8,7.0,-5.9,0.4,-3.8,0.1,10.0,1.5,6.0,0.6,0.5,2.0,-1.0,-0.9,0.7,0.7,91.0,78.6,84.9,82.0,88.4,68.6,85.0,69.9,52.3,86.3,63.1,,63.1,91.3,78.6,74.1,90.6,73.2,78.6,74.9,84.9,83.1,86.9,84.7,113.6,82.3,83.1,80.0,89.5,90.0,130.6,6267.0,320.0,369.0,6316.0,2071.0,4245.0,4800.0,376.0,869.0,5231.0,,,0.7,-0.6,-24.4,-1.2,,,130.6,85.1,42.5,120.8,,,4245.0,465.0,1062.0,93.0,2812.0,178.0,73.0,105.0,86.2,-11.4
8,2003JJ00,20800.0,11822.0,1061.0,653.0,408.0,1172.0,301.0,620.0,213.0,38.0,255.0,,255.0,327.0,262.0,3330.0,74.0,2807.0,449.0,650.0,221.0,1755.0,93.0,2695.0,8979.0,2583,1075.0,1024.0,110.0,373.0,6395.0,22840.0,14858.0,1246.0,810.0,446.0,1624.0,340.0,821.0,406.0,44.0,395.0,,395.0,357.0,328.0,4595.0,77.0,3915.0,602.0,857.0,259.0,2056.0,88.0,3089.0,8014.0,3103.0,1304.0,1250.0,118.0,403.0,5020.0,0.0,-2.4,-3.5,-3.4,-3.7,-0.3,-1.5,0.7,-1.8,2.8,3.8,,3.8,-0.6,0.4,-3.5,0.4,-3.0,-6.9,-2.7,0.9,-4.1,-3.0,-1.6,3.3,0.2,0.2,1.0,-1.4,-1.5,4.6,91.1,79.6,85.1,80.6,91.6,72.2,88.5,75.5,52.5,86.3,64.6,,64.6,91.7,79.9,72.5,95.5,71.7,74.7,75.9,85.3,85.4,105.9,87.2,112.0,83.3,82.4,81.9,93.5,92.6,127.4,6395.0,289.0,532.0,6638.0,2109.0,4529.0,5020.0,335.0,1231.0,5625.0,,,4.6,-10.8,41.6,7.5,,,127.4,86.3,43.2,118.0,,,4529.0,497.0,1077.0,112.0,3068.0,173.0,71.0,102.0,91.3,5.9
9,2004JJ00,20701.0,12335.0,999.0,580.0,420.0,1177.0,296.0,591.0,252.0,37.0,263.0,,263.0,352.0,279.0,3681.0,84.0,3031.0,566.0,682.0,232.0,1803.0,93.0,2773.0,8366.0,2635,1090.0,1074.0,103.0,368.0,5731.0,23828.0,15211.0,1233.0,773.0,466.0,1648.0,338.0,831.0,426.0,45.0,394.0,,394.0,371.0,344.0,4842.0,99.0,4035.0,699.0,877.0,269.0,2039.0,91.0,3156.0,8566.0,3122.0,1304.0,1287.0,116.0,390.0,5493.0,4.3,2.4,-1.1,-4.5,4.5,1.5,-0.6,1.3,4.9,1.7,-0.1,,-0.1,3.9,5.0,5.4,28.2,3.1,16.1,2.3,3.6,-0.8,3.8,2.2,6.9,0.6,0.0,2.9,-1.6,-3.2,9.4,86.9,81.1,81.0,75.0,90.1,71.4,87.8,71.1,59.1,82.3,66.6,,66.6,95.1,81.2,76.0,85.6,75.1,81.0,77.7,86.4,88.5,101.2,87.9,97.7,84.4,83.6,83.4,88.8,94.4,104.3,5731.0,289.0,523.0,5966.0,2082.0,3884.0,5493.0,329.0,1100.0,6092.0,,,9.4,-1.9,-10.6,8.3,,,104.3,87.9,47.5,97.9,,,3884.0,517.0,1011.0,103.0,2459.0,167.0,69.0,98.0,83.9,-8.1
