ID,Toepassingsgroepen,TeeltsectorenEnGewassen,Perioden,AantalBedrijven_1,PercentageBedrijven_2,GrootteOppervlakte_3,PercentageOppervlakte_4,Januari_5,Februari_6,Maart_7,April_8,Mei_9,Juni_10,Juli_11,Augustus_12,September_13,Oktober_14,November_15,December_16,Totaal_17,Januari_18,Februari_19,Maart_20,April_21,Mei_22,Juni_23,Juli_24,Augustus_25,September_26,Oktober_27,November_28,December_29,GebruikPerJaarPerHectare_30,DoseringPerJaarPerHectare_31
0,T001222,A048737,2012JJ00,,,749398,96.5,26.6,34.6,44.2,42.5,68.6,64.2,45.3,40.0,24.8,21.2,12.5,11.2,5880806,1.2,1.1,6.2,11.0,17.9,19.6,21.5,10.5,5.3,3.3,1.5,1.0,7.6,7.8
1,T001222,A048737,2016JJ00,,,710507,96.0,3.5,3.6,17.4,47.9,71.0,69.7,46.2,38.6,27.2,13.5,5.6,4.6,5673564,1.0,0.6,2.5,12.3,17.8,22.1,20.0,13.1,6.0,2.7,0.9,1.0,7.7,8.0
2,T001222,A044031,2012JJ00,,,657336,96.5,22.9,31.5,40.8,39.7,67.5,62.7,40.5,35.5,19.2,14.8,5.8,5.3,3722101,0.1,0.4,5.0,10.5,20.2,23.2,26.2,9.7,3.0,1.4,0.1,0.1,5.5,5.7
3,T001222,A044031,2016JJ00,,,615400,96.1,0.4,1.0,14.1,44.4,69.3,67.8,42.0,34.2,22.5,8.9,3.1,2.4,3581293,0.1,0.1,1.5,10.1,18.2,24.7,24.7,14.7,4.5,1.1,0.1,0.2,5.6,5.8
4,T001222,A042228,2012JJ00,,,20867,99.5,89.4,95.3,95.5,81.3,88.0,83.3,80.7,73.7,71.7,86.2,85.7,75.1,1196124,3.2,2.0,4.2,11.0,13.1,14.8,13.3,14.2,11.5,7.4,3.3,2.0,57.1,57.3
5,T001222,A042228,2016JJ00,,,23001,97.8,56.4,43.3,53.3,92.9,94.3,91.5,55.9,43.5,50.4,52.5,22.8,32.7,1205400,3.2,1.4,2.4,12.5,17.5,18.5,11.4,11.1,10.9,6.2,2.0,2.9,51.2,52.4
6,T001222,A044083,2012JJ00,,,3360,99.0,84.4,84.1,86.2,81.4,84.1,82.1,91.4,82.1,81.4,86.1,86.7,81.9,134579,7.5,8.2,7.5,7.6,7.8,7.8,13.6,8.6,8.2,8.4,7.5,7.2,39.7,40.1
7,T001222,A044083,2016JJ00,,,2818,98.4,84.5,88.9,91.4,89.7,92.0,91.9,88.6,87.2,86.5,83.2,84.6,83.0,84582,7.3,8.3,8.1,8.3,8.3,14.9,7.6,7.1,8.1,7.3,7.3,7.4,29.5,30.0
8,T001222,A042259,2012JJ00,,,15739,95.4,75.4,74.6,79.2,65.5,75.5,73.7,85.2,74.8,68.0,82.5,78.5,60.8,175134,6.3,5.1,13.4,7.9,10.2,13.6,13.5,9.2,9.2,5.2,3.6,2.9,10.6,11.1
9,T001222,A042259,2016JJ00,,,15910,93.5,18.1,19.6,37.4,62.4,76.4,77.8,75.7,73.6,62.6,38.6,17.4,13.8,124249,2.4,1.6,3.4,11.3,14.7,21.0,14.6,12.7,8.3,5.4,3.2,1.3,7.3,7.8
10,T001222,A042340,2012JJ00,35.0,26.7,17,25.5,2.1,2.1,2.8,3.7,3.7,13.6,5.4,11.4,11.4,22.0,19.0,19.7,40,0.4,0.5,0.4,4.9,3.6,13.7,0.8,5.6,3.0,14.3,18.3,34.6,0.6,2.4
11,T001222,A042340,2016JJ00,34.0,29.5,29,50.7,23.1,23.1,23.1,32.9,33.8,33.8,26.3,26.3,48.0,43.8,43.8,27.8,160,2.4,1.9,1.9,8.3,11.9,10.4,5.6,7.4,10.4,15.7,13.1,11.1,2.8,5.4
12,T001222,T001322,2012JJ00,,,16070,99.7,75.5,75.6,97.5,95.8,81.3,81.8,88.1,85.9,68.4,95.6,95.4,96.9,462042,0.4,0.7,17.7,18.4,16.2,10.9,11.3,7.4,2.7,5.8,5.3,3.4,28.7,28.8
13,T001222,T001322,2016JJ00,,,16455,98.0,4.6,5.1,57.9,96.9,98.6,93.3,93.3,85.8,60.3,59.6,34.0,15.7,499427,0.2,0.3,8.2,29.7,17.4,15.2,12.1,7.2,2.3,4.1,2.5,0.8,29.7,30.4
14,T001222,A042271,2012JJ00,,,3833,97.9,49.9,56.8,71.2,80.1,85.5,81.1,90.8,87.4,87.9,82.1,44.6,43.4,45304,3.8,4.2,7.2,8.9,10.0,11.5,11.6,14.6,12.6,8.5,3.4,3.8,11.6,11.8
