ID,BedrijfstakkenBranchesSBI2008,Milieudomeinen,Perioden,ArbeidsvolumeWerkzamePersonen_1,ProductieBasisprijzen_2,BrutoToegevoegdeWaardeBasisprijzen_3
0,20000 ,10000 ,1995JJ00,82.0,13222.0,6081.0
1,20000 ,10000 ,1996JJ00,85.5,14175.0,6397.0
2,20000 ,10000 ,1997JJ00,87.4,14970.0,6605.0
3,20000 ,10000 ,1998JJ00,91.5,16180.0,7031.0
4,20000 ,10000 ,1999JJ00,93.5,17743.0,7597.0
5,20000 ,10000 ,2000JJ00,95.8,19278.0,8223.0
6,20000 ,10000 ,2001JJ00,101.3,20798.0,8656.0
7,20000 ,10000 ,2002JJ00,104.6,22351.0,9192.0
8,20000 ,10000 ,2003JJ00,106.9,23807.0,9666.0
9,20000 ,10000 ,2004JJ00,104.6,24178.0,9975.0
10,20000 ,10000 ,2005JJ00,106.5,24574.0,9949.0
11,20000 ,10000 ,2006JJ00,107.2,26512.0,11016.0
12,20000 ,10000 ,2007JJ00,109.7,28225.0,11847.0
13,20000 ,10000 ,2008JJ00,111.4,30638.0,12701.0
14,20000 ,10000 ,2009JJ00,113.2,29926.0,12232.0
15,20000 ,10000 ,2010JJ00,112.3,31916.0,13876.0
16,20000 ,10000 ,2011JJ00,112.7,34036.0,14328.0
17,20000 ,10100 ,1995JJ00,61.4,9991.0,4845.0
18,20000 ,10100 ,1996JJ00,62.7,10335.0,4959.0
19,20000 ,10100 ,1997JJ00,62.9,10750.0,5028.0
20,20000 ,10100 ,1998JJ00,66.3,11793.0,5390.0
21,20000 ,10100 ,1999JJ00,68.9,12955.0,5803.0
22,20000 ,10100 ,2000JJ00,69.4,14104.0,6324.0
23,20000 ,10100 ,2001JJ00,73.1,15147.0,6564.0
24,20000 ,10100 ,2002JJ00,74.6,16275.0,6942.0
25,20000 ,10100 ,2003JJ00,76.5,17300.0,7324.0
26,20000 ,10100 ,2004JJ00,74.8,17783.0,7562.0
27,20000 ,10100 ,2005JJ00,76.0,17952.0,7564.0
28,20000 ,10100 ,2006JJ00,76.5,19243.0,8319.0
29,20000 ,10100 ,2007JJ00,77.1,20222.0,8748.0
30,20000 ,10100 ,2008JJ00,76.0,21283.0,9033.0
31,20000 ,10100 ,2009JJ00,75.2,20648.0,8610.0
32,20000 ,10100 ,2010JJ00,74.4,22201.0,10126.0
33,20000 ,10100 ,2011JJ00,73.7,22715.0,10291.0
34,20000 ,10700 ,1995JJ00,20.7,3232.0,1236.0
35,20000 ,10700 ,1996JJ00,22.8,3841.0,1438.0
36,20000 ,10700 ,1997JJ00,24.5,4220.0,1578.0
37,20000 ,10700 ,1998JJ00,25.2,4387.0,1641.0
38,20000 ,10700 ,1999JJ00,24.7,4788.0,1794.0
39,20000 ,10700 ,2000JJ00,26.4,5174.0,1900.0
40,20000 ,10700 ,2001JJ00,28.3,5651.0,2092.0
41,20000 ,10700 ,2002JJ00,30.1,6077.0,2250.0
42,20000 ,10700 ,2003JJ00,30.4,6507.0,2342.0
43,20000 ,10700 ,2004JJ00,29.8,6395.0,2413.0
44,20000 ,10700 ,2005JJ00,30.5,6622.0,2385.0
45,20000 ,10700 ,2006JJ00,30.7,7269.0,2697.0
46,20000 ,10700 ,2007JJ00,32.6,8003.0,3099.0
47,20000 ,10700 ,2008JJ00,35.4,9355.0,3668.0
48,20000 ,10700 ,2009JJ00,38.0,9278.0,3622.0
49,20000 ,10700 ,2010JJ00,37.8,9715.0,3751.0
50,20000 ,10700 ,2011JJ00,39.0,11322.0,4038.0
51,300025,10000 ,1995JJ00,71.5,11969.0,5519.0
52,300025,10000 ,1996JJ00,75.1,12893.0,5832.0
53,300025,10000 ,1997JJ00,77.5,13633.0,6010.0
54,300025,10000 ,1998JJ00,81.5,14723.0,6405.0
55,300025,10000 ,1999JJ00,84.4,16233.0,6942.0
56,300025,10000 ,2000JJ00,87.5,17748.0,7570.0
57,300025,10000 ,2001JJ00,93.0,19211.0,7994.0
58,300025,10000 ,2002JJ00,96.3,20716.0,8496.0
59,300025,10000 ,2003JJ00,99.6,22192.0,8987.0
60,300025,10000 ,2004JJ00,97.8,22605.0,9341.0
61,300025,10000 ,2005JJ00,99.7,23026.0,9360.0
