ID,KenmerkenGezondheidEnLeefstijl,Cijfersoort,Perioden,ScoreGeluk_1,Ongelukkig_2,NietGelukkigNietOngelukkig_3,Gelukkig_4,ScoreTevredenheidMetHetLeven_5,Ontevreden_6,NietTevredenNietOntevreden_7,Tevreden_8,ScoreTevredenheidMetLichGezondheid_9,Ontevreden_10,NietTevredenNietOntevreden_11,Tevreden_12,ScoreTevredenheidPsychischeGezondheid_13,Ontevreden_14,NietTevredenNietOntevreden_15,Tevreden_16,ScoreTevredenheidMetGewicht_17,Ontevreden_18,NietTevredenNietOntevreden_19,Tevreden_20
0,T009002,B000167,2013JJ00,7.7,2.5,10.0,87.5,7.5,3.4,13.0,83.6,7.1,9.7,19.9,70.5,7.8,4.7,10.4,85.0,6.9,11.9,22.5,65.6
1,T009002,B000167,2014JJ00,7.7,2.4,9.7,87.9,7.6,3.3,12.1,84.6,7.1,9.4,19.2,71.4,7.8,4.4,10.6,85.0,6.9,11.7,23.2,65.2
2,T009002,B000167,2015JJ00,7.7,2.8,9.8,87.4,7.5,3.9,12.2,83.9,7.0,10.9,19.9,69.3,7.8,5.1,11.3,83.6,6.9,12.6,21.8,65.5
3,T009002,B000167,2016JJ00,7.7,2.6,9.1,88.3,7.6,3.0,11.8,85.2,7.0,9.9,20.7,69.4,7.8,4.5,10.8,84.6,6.9,12.1,22.9,64.9
4,T009002,B000167,2017JJ00,7.7,2.8,9.8,87.5,7.6,3.5,11.1,85.4,7.0,10.7,19.6,69.8,7.7,5.0,12.0,83.0,6.9,12.3,23.4,64.3
5,T009002,B000167,2018JJ00,7.7,2.8,9.4,87.7,7.6,2.4,11.8,85.7,7.0,10.0,20.7,69.3,7.7,5.6,12.3,82.1,6.9,11.9,22.5,65.5
6,T009002,B000167,2019JJ00,7.7,2.6,8.5,88.9,7.7,2.4,10.3,87.3,7.0,9.8,20.8,69.5,7.7,5.2,11.6,83.1,6.9,11.3,22.6,66.2
7,T009002,B000167,2020JJ00,7.7,2.7,10.5,86.8,7.6,2.7,12.4,84.8,7.0,9.5,20.7,69.8,7.6,5.6,12.7,81.7,6.9,11.5,23.5,65.1
8,T009002,B000167,2021JJ00,7.6,3.3,10.3,86.4,7.5,3.3,13.0,83.6,7.0,10.1,21.0,68.9,7.5,6.6,13.8,79.6,7.0,11.8,21.2,66.9
9,T009002,B000150,2013JJ00,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.4,0.0,0.4,0.5,0.5,0.0,0.3,0.4,0.4,0.0,0.4,0.5,0.6
