ID,Prijscomponenten,Belastingen,Perioden,MinderDan569M3_1,k_569Tot5687M3_2,k_5687M3EnMeer_3,MinderDan28433M3_4,k_28433Tot284333M3_5,k_284333Tot2843332M3_6,k_2843332Tot28433324M3_7,k_28433324M3EnMeer_8,MinderDan1MWh_9,k_1Tot25MWh_10,k_25Tot5MWh_11,k_5Tot15MWh_12,k_15MWhEnMeer_13,MinderDan20MWh_14,k_20Tot500MWh_15,k_500Tot2000MWh_16,k_2000Tot20000MWh_17,k_20000Tot70000MWh_18,k_70000Tot150000MWh_19,k_150000MWhEnMeer_20
406,A047658,A047661,2013JJ00,0.328,0.143,0.037,0.061,0.093,0.023,0.007,0.003,0.29,0.123,0.063,0.031,0.023,0.097,0.046,0.027,0.019,0.007,0.007,0.004
407,A047658,A047661,2014HJ01,0.268,0.117,0.031,0.05,0.083,0.021,0.006,0.003,0.292,0.124,0.064,0.031,0.023,0.098,0.048,0.029,0.02,0.007,0.007,0.002
408,A047658,A047661,2014HJ02,0.402,0.175,0.046,0.074,0.102,0.025,0.007,0.003,0.292,0.124,0.064,0.031,0.023,0.098,0.048,0.029,0.02,0.007,0.007,0.002
409,A047658,A047661,2014JJ00,0.322,0.14,0.037,0.06,0.092,0.023,0.007,0.003,0.292,0.124,0.064,0.031,0.023,0.098,0.048,0.029,0.02,0.007,0.007,0.002
410,A047658,A047661,2015HJ01,0.282,0.123,0.032,0.052,0.089,0.022,0.007,0.003,0.261,0.111,0.057,0.028,0.02,0.088,0.044,0.026,0.018,0.006,0.006,0.004
411,A047658,A047661,2015HJ02,0.423,0.184,0.048,0.078,0.109,0.027,0.008,0.003,0.261,0.111,0.057,0.028,0.02,0.088,0.044,0.026,0.018,0.006,0.006,0.004
412,A047658,A047661,2015JJ00,0.338,0.147,0.039,0.062,0.098,0.025,0.007,0.003,0.261,0.111,0.057,0.028,0.02,0.088,0.044,0.026,0.018,0.006,0.006,0.004
413,A047658,A047661,2016HJ01,0.234,0.102,0.027,0.043,0.066,0.016,0.005,0.003,0.286,0.121,0.062,0.03,0.022,0.096,0.047,0.028,0.019,0.007,0.007,0.005
414,A047658,A047661,2016HJ02,0.351,0.153,0.04,0.065,0.08,0.02,0.006,0.003,0.286,0.121,0.062,0.03,0.022,0.096,0.047,0.028,0.019,0.007,0.007,0.005
415,A047658,A047661,2016JJ00,0.281,0.122,0.032,0.052,0.072,0.018,0.005,0.003,0.286,0.121,0.062,0.03,0.022,0.096,0.047,0.028,0.019,0.007,0.007,0.005
416,A047658,A047661,2017HJ01,0.244,0.106,0.028,0.045,0.07,0.017,0.005,0.003,0.259,0.11,0.057,0.028,0.02,0.087,0.039,0.023,0.016,0.006,0.006,0.003
417,A047658,A047661,2017HJ02,0.366,0.16,0.042,0.068,0.085,0.021,0.006,0.003,0.259,0.11,0.057,0.028,0.02,0.087,0.039,0.023,0.016,0.006,0.006,0.003
418,A047658,A047661,2017JJ00,0.293,0.128,0.033,0.054,0.077,0.019,0.006,0.003,0.259,0.11,0.057,0.028,0.02,0.087,0.039,0.023,0.016,0.006,0.006,0.003
419,A047658,A047661,2018HJ01,0.276,0.12,0.031,0.051,0.077,0.019,0.006,0.003,0.287,0.122,0.063,0.031,0.022,0.097,0.039,0.023,0.016,0.006,0.006,0.003
420,A047658,A047661,2018HJ02,0.414,0.18,0.047,0.076,0.095,0.024,0.007,0.003,0.287,0.122,0.063,0.031,0.022,0.097,0.039,0.023,0.016,0.006,0.006,0.003
421,A047658,A047661,2018JJ00,0.331,0.144,0.038,0.061,0.085,0.021,0.006,0.003,0.287,0.122,0.063,0.031,0.022,0.097,0.039,0.023,0.016,0.006,0.006,0.003
422,A047658,A047661,2019HJ01,0.247,0.107,0.028,0.046,0.075,0.019,0.006,0.003,0.264,0.112,0.058,0.028,0.021,0.089,0.041,0.024,0.017,0.006,0.006,0.003
423,A047658,A047661,2019HJ02,0.37,0.161,0.042,0.068,0.091,0.023,0.007,0.003,0.264,0.112,0.058,0.028,0.021,0.089,0.041,0.024,0.017,0.006,0.006,0.003
424,A047658,A047661,2019JJ00,0.296,0.129,0.034,0.055,0.082,0.021,0.006,0.003,0.264,0.112,0.058,0.028,0.021,0.089,0.041,0.024,0.017,0.006,0.006,0.003
425,A047658,A047661,2020HJ01,0.262,0.114,0.03,0.048,0.077,0.019,0.006,0.003,0.272,0.115,0.059,0.029,0.021,0.091,0.042,0.025,0.017,0.006,0.006,0.004
426,A047658,A047661,2020HJ02,0.392,0.171,0.045,0.072,0.094,0.023,0.007,0.003,0.272,0.115,0.059,0.029,0.021,0.091,0.042,0.025,0.017,0.006,0.006,0.004
427,A047658,A047661,2020JJ00,0.314,0.137,0.036,0.058,0.084,0.021,0.006,0.003,0.272,0.115,0.059,0.029,0.021,0.091,0.042,0.025,0.017,0.006,0.006,0.004
428,A047658,A047661,2021HJ01,0.263,0.115,0.03,0.049,0.077,0.019,0.006,0.003,0.289,0.123,0.063,0.031,0.023,0.099,0.045,0.027,0.019,0.007,0.007,0.004
429,A047658,A047661,2021HJ02,0.394,0.173,0.046,0.074,0.094,0.024,0.007,0.003,0.289,0.123,0.063,0.031,0.023,0.099,0.045,0.027,0.019,0.007,0.007,0.004
430,A047658,A047661,2021JJ00,0.315,0.138,0.036,0.059,0.084,0.021,0.006,0.003,0.289,0.123,0.063,0.031,0.023,0.099,0.045,0.027,0.019,0.007,0.007,0.004
431,A047658,A047661,2022HJ01,0.269,0.117,0.03,0.049,0.076,0.019,0.006,0.003,0.302,0.128,0.066,0.032,0.024,0.103,0.047,0.029,0.02,0.008,0.007,0.005
432,A047658,A047661,2022HJ02,0.404,0.175,0.045,0.073,0.093,0.023,0.007,0.003,0.302,0.128,0.066,0.032,0.024,0.103,0.047,0.029,0.02,0.008,0.007,0.005
433,A047658,A047661,2022JJ00,0.323,0.14,0.036,0.059,0.083,0.021,0.007,0.003,0.302,0.128,0.066,0.032,0.024,0.103,0.047,0.029,0.02,0.008,0.007,0.005
434,A047658,A047661,2023HJ01,0.303,0.134,0.036,0.057,0.089,0.022,0.007,0.004,0.383,0.163,0.084,0.041,0.032,0.143,0.064,0.039,0.027,0.01,0.01,0.009
435,A047658,A047661,2023HJ02,0.454,0.201,0.053,0.086,0.109,0.027,0.008,0.004,0.383,0.163,0.084,0.041,0.032,0.143,0.064,0.039,0.027,0.01,0.01,0.009
436,A047658,A047661,2023JJ00,0.363,0.16,0.043,0.069,0.098,0.025,0.008,0.004,0.383,0.163,0.084,0.041,0.032,0.143,0.064,0.039,0.027,0.01,0.01,0.009
437,A047658,A047661,2024HJ01,0.323,0.144,0.037,0.064,0.113,0.024,0.007,0.003,0.463,0.197,0.101,0.048,0.036,0.181,0.081,0.051,0.035,0.014,0.016,0.019
438,A047658,A047661,2024HJ02,0.485,0.215,0.056,0.096,0.138,0.029,0.008,0.003,0.463,0.197,0.101,0.048,0.036,0.181,0.081,0.051,0.035,0.014,0.016,0.019
439,A047658,A047661,2024JJ00,0.388,0.172,0.045,0.077,0.124,0.026,0.007,0.003,0.463,0.197,0.101,0.048,0.036,0.181,0.081,0.051,0.035,0.014,0.016,0.019
440,A047658,A047661,2025HJ01,0.345,0.152,0.039,0.067,0.12,0.025,0.008,0.004,0.521,0.222,0.114,0.054,0.04,0.2,0.09,0.056,0.04,0.015,0.018,0.019
